Receptor	Ligand	Score(pK)	stdev	Best	NN#1	NN#2	NN#3	NN#4	NN#5	NN#6	NN#7	NN#8	NN#9	NN#10	NN#11	NN#12	NN#13	NN#14	NN#15	NN#16	NN#17	NN#18	NN#19	NN#20
1lkk_protein	1lkk_ligand	8.771	2.34	12.9	4.677	11.146	11.087	7.702	7.337	9.989	12.343	8.389	5.259	11.274	5.571	7.039	7.177	9.269	9.062	10.891	7.281	8.642	12.9		
1lpg_protein	1lpg_ligand	7.792	1.865	13.448	10.716	5.323	8.328	8.3	7.039	8.028	6.068	8.031	7.52	7.909	8.436	6.4	9.405	13.448	6.82	7.493	6.241	5.652	8.303		
1loq_protein	1loq_ligand	6.088	1.793	9.797	3.427	9.797	6.525	6.235	8.699	7.735	4.632	3.222	7.005	4.95	6.962	6.031	3.587	3.102	6.597	6.892	6.441	6.337	6.699		
1lst_protein	1lst_ligand	7.037	2.359	15.673	7.409	15.673	6.518	8.094	7.57	5.957	6.031	6.099	7.265	7.126	7.013	8.533	4.172	6.46	4.337	6.162	7.726	6.783	7.369		
1lpz_protein	1lpz_ligand	8.106	1.771	11.81	9.768	7.775	9.911	8.972	7.247	5.758	7.454	7.314	8.565	8.262	8.9	7.641	3.898	9.3	9.846	7.95	11.81	5.583	9.101		
1lpk_protein	1lpk_ligand	6.498	1.248	9.473	8.149	5.781	6.263	5.117	7.404	6.181	7.438	4.642	6.049	4.408	5.495	6.671	5.631	6.628	5.439	7.37	7.488	7.449	9.473		
1lzq_protein	1lzq_ligand	7.451	1.586	11.104	8.693	6.1	7.256	5.535	7.438	7.069	8.6	9.154	6.149	7.491	5.591	6.378	6.318	6.975	8.432	10.682	7.584	11.104	5.603		
1m0b_protein	1m0b_ligand	7.451	1.288	11.075	7.174	7.234	8.117	7.002	7.417	8.336	7.14	8.735	6.39	7.591	6.639	5.874	9.749	6.885	5.764	7.637	7.301	11.075	6.019		
1lyb_protein	1lyb_ligand	7.673	3.139	18.481	8.435	5.806	7.406	4.68	8.212	9.031	10.238	4.787	6.286	7.768	5.204	10.383	4.495	4.815	8.444	8.571	6.21	8.216	5.991		
1lyx_protein	1lyx_ligand	4.224	2.697	11.619	7.196	3.335	3.899	2.599	8.383	6.714	3.246	3.807	5.299	4.639	3.515	4.981	-0.225	11.619	0.177	3.385	3.384	2.305	3.546		
1m2p_protein	1m2p_ligand	7.514	2.013	11.616	7.387	6.715	7.563	7.86	8.11	5.294	7.496	7.594	11.389	3.135	5.201	11.616	6.453	8.318	8.063	8.005	8.957	6.505	9.434		
1m2q_protein	1m2q_ligand	6.329	1.557	9.23	5.044	7.854	6.74	2.907	7.605	6.439	5.495	6.886	8.873	4.484	4.673	9.23	5.423	6.924	6.584	5.724	5.949	4.888	7.817		
1m48_protein	1m48_ligand	5.594	0.815	6.971	5.865	5.678	5.716	5.649	4.613	6.524	5.065	4.647	5.948	4.597	6.26	6.319	4.132	6.971	6.196	5.572	5.211	5.56	4.477		
1m2r_protein	1m2r_ligand	6.28	2.219	12.788	7.289	7.547	4.493	2.224	4.861	6.097	6.652	7.57	5.17	4.427	6.419	12.788	6.219	6.004	6.297	3.724	7.139	5.721	5.266		
1m7d_protein	1m7d_ligand	2.622	1.914	6.415	2.199	3.868	3.647	4.725	1.619	3.357	6.067	1.163	2.796	3.901	0.481	3.002	1.604	0.486	1.331	2.279	6.415	-1.564	3.285		
1kc7_protein	1kc7_ligand	3.925	1.987	8.375	3.729	3.26	5.316	3.395	5.772	3.046	2.985	5.954	3.265	3.009	5.88	3.473	2.256	2.636	8.375	5.59	5.317	-0.985	1.802		
1m7i_protein	1m7i_ligand	2.981	1.944	6.867	1.399	2.358	6.867	2.989	3.314	4.334	1.258	4.391	0.724	3.836	3.08	2.306	4.753	0.338	3.549	1.732	6.863	-0.47	3.896		
1m4h_protein	1m4h_ligand	7.545	2.976	12.35	9.236	10.026	5.033	8.094	7.998	6.552	11.468	12.35	6.742	7.386	4.507	8.702	7.612	7.5	8.596	-2.351	8.538	8.571	6.72		
1mai_protein	1mai_ligand	7.133	3.039	17.652	7.605	17.652	6.671	6.243	4.81	2.784	6.189	5.421	8.317	4.912	4.551	8.176	6.543	9.875	10.103	5.144	7.256	6.442	7.29		
1mes_protein	1mes_ligand	7.916	1.893	12.884	10.477	7.864	7.83	7.274	7.417	7.451	7.838	4.982	6.111	7.297	6.52	9.111	6.983	6.762	12.884	9.36	8.712	5.55	10.908		
1m83_protein	1m83_ligand	6.36	2.572	11.949	6.32	9.19	6.763	4.731	6.581	11.949	2.519	8.159	6.053	4.782	2.291	3.733	4.638	5.764	8.576	6.105	4.621	8.396	11.062		
1mfa_protein	1mfa_ligand	3.275	1.976	6.37	2.583	2.722	2.416	6.299	0.959	4.665	2.554	3.748	0.684	2.442	4.959	5.918	6.37	0.422	0.433	5.241	5.722	1.841	2.743		
1m1b_protein	1m1b_ligand	3.369	2.961	12.976	0.727	0.609	5.359	6.057	4.091	12.976	5.795	4.068	3.691	0.542	3.079	1.775	2.336	-0.704	0.753	4.655	2.797	4.514	2.188		
1met_protein	1met_ligand	8.067	1.544	12.55	9.263	5.972	9.491	7.667	8.112	6.992	8.664	6.451	5.972	7.262	8.296	7.04	12.55	6.99	7.008	9.14	8.372	7.91	9.89		
1mfi_protein	1mfi_ligand	5.374	1.303	7.977	4.685	4.935	3.364	6.098	5.774	3.672	5.489	4.069	4.877	3.943	4.143	7.523	7.201	5.485	5.801	4.166	6.442	6.322	5.52		
1mfd_protein	1mfd_ligand	4.36	1.887	9.198	5.951	3.857	2.927	4.77	9.198	5.495	2.991	4.407	3.14	4.724	5.061	5.981	3.814	2.087	1.641	4.653	6.237	1.952	2.035		
1m7y_protein	1m7y_ligand	8.99	2.609	16.543	8.389	9.956	14.159	10.761	7.423	7.718	6.186	16.543	10.12	7.698	7.002	9.842	9.487	7.109	8.382	8.612	9.536	7.706	5.224		
1mh5_protein	1mh5_ligand	8.616	1.43	12.798	7.125	9.461	9.35	7.82	7.831	8.468	8.891	8.669	12.798	8.523	6.811	10.137	9.035	8.633	9.211	6.208	7.25	7.915	8.138		
1mjj_protein	1mjj_ligand	8.791	1.556	12.301	8.287	10.834	8.254	11.278	8.816	7.083	9.003	8.886	12.301	6.695	7.145	7.345	8.142	9.751	10.632	8.069	7.566	8.11	7.507		
1mq6_protein	1mq6_ligand	10.711	1.443	14.454	8.954	8.962	10.204	9.748	12.173	12.614	9.934	11.075	11.239	9.554	9.204	11.364	10.22	14.454	11.529	9.16	12.44	9.847	10.366		
1mrw_protein	1mrw_ligand	8.61	0.798	10.356	9.231	7.95	10.356	8.446	8.589	9.118	8.482	8.151	8.881	9.428	8.137	7.838	8.17	8.88	9.241	8.784	9.924	7.276	7.914		
1mq5_protein	1mq5_ligand	8.635	1.252	10.522	9.085	8.661	9.12	5.604	9.18	6.891	9.569	7.916	10.522	8.942	9.382	10.172	8.303	8.626	8.259	8.904	8.064	10.299	8.886		
1mrx_protein	1mrx_ligand	8.474	1.391	11.499	9.354	8.755	8.619	8.618	8.632	6.936	8.865	6.888	10.534	7.848	9.804	6.912	8.641	6.743	9.245	7.682	11.499	6.057	7.839		
1moq_protein	1moq_ligand	4.504	1.603	7.52	6.245	7.157	4.503	3.262	4.47	4.107	5.888	4.292	4.069	4.588	2.108	6.098	5.557	1.474	4.59	2.16	4.73	7.52	3.352		
1mrs_protein	1mrs_ligand	4.836	1.047	7.094	3.885	5.249	4.167	4.589	3.423	3.427	3.409	4.019	7.094	4.748	5.015	5.352	6.234	6.398	5.868	4.251	4.39	5.372	5.563		
1msm_protein	1msm_ligand	10.602	0.572	11.66	10.157	10.579	10.786	10.64	11.66	10.499	10.134	9.513	11.245	9.881	10.537	10.393	9.706	10.373	10.514	11.325	11.509	10.746	11.04		
1lvu_protein	1lvu_ligand	5.132	1.683	8.611	7.084	2.056	5.41	2.687	6.737	5.115	6.113	4.589	4.061	3.91	4.858	5.937	3.273	3.749	5.56	6.473	3.533	5.487	8.611		
1msn_protein	1msn_ligand	8.554	0.995	10.385	5.285	7.557	10.385	8.518	9.027	7.354	9.167	8.77	8.168	8.969	9.206	8.301	9.016	8.512	9.005	8.515	9.125	8.763	8.595		
1mrn_protein	1mrn_ligand	5.938	2.507	11.243	5.441	3.491	5.04	7.898	6.434	8.284	11.243	5.3	6.654	4.395	7.025	8.678	6.205	9.45	4.563	2.543	-0.035	5.69	5.001		
1mtr_protein	1mtr_ligand	7.599	0.987	8.983	6.777	8.983	6.311	8.716	8.103	7.874	6.979	8.849	6.982	7.393	8.924	7.911	6.382	7.635	8.578	7.853	6.766	8.476	5.608		
1mu6_protein	1mu6_ligand	7.153	2.263	12.742	5.875	4.019	8.856	9.046	6.233	7.748	12.742	5.21	5.459	5.892	9.066	8.96	3.84	4.709	5.615	5.666	8.775	8.18	9.689		
1mue_protein	1mue_ligand	9.067	1.62	11.474	10.482	10.443	10.768	8.912	9.225	7.988	9.971	8.259	6.296	11.313	9.767	8.887	9.578	11.016	6.267	11.474	7.432	6.872	8.681		
1m0n_protein	1m0n_ligand	4.77	1.682	8.757	5.383	6.231	5.77	8.757	4.642	1.255	3.509	4.42	2.289	4.955	3.685	5.912	5.369	3.139	5.687	4.462	3.095	6.907	5.262		
1mu8_protein	1mu8_ligand	8.912	1.769	13.207	9.182	8.414	8.337	8.583	10.651	13.207	7.435	8.584	6.71	8.887	10.605	6.209	10.265	6.712	6.959	8.721	11.649	8.211	8.824		
1n0s_protein	1n0s_ligand	8.031	2.57	14.234	9.195	8.113	8.915	3.465	14.234	8.358	8.072	7.628	9.173	9.418	6.237	7.082	6.164	9.744	6.909	1.817	10.583	7.924	7.697		
1n4h_protein	1n4h_ligand	7.048	0.664	8.258	7.678	6.758	6.819	7.318	6.869	8.258	7.403	6.706	6.835	6.083	6.398	6.274	6.983	7.076	7.886	5.944	6.359	7.753	7.958		
1m0o_protein	1m0o_ligand	4.577	1.64	7.423	3.449	6.954	6.526	2.987	2.771	6.122	2.91	3.552	4.034	6.94	4.723	6.051	4.508	1.286	4.204	3.935	7.423	4.784	3.703		
1n4k_protein	1n4k_ligand	8.208	2.14	11.648	9.953	8.564	8.962	8.119	11.648	9.23	8.763	8.213	11.046	4.931	6.884	9.438	2.456	7.102	8.009	8.693	8.482	10.779	6.986		
1m0q_protein	1m0q_ligand	4.109	1.638	7.475	3.481	6.914	3.083	3.584	5.128	7.475	4.317	4.311	4.926	2.657	2.956	3.826	4.835	3.336	4.978	4.349	3.112	-0.487	4.725		
1nc1_protein	1nc1_ligand	5.638	3.135	11.172	0.84	5.264	4.564	0.696	3.736	7.397	11.172	5.844	4.915	7.618	9.535	6.39	9.785	0.467	6.51	8.009	5.313	7.34	6.81		
1n46_protein	1n46_ligand	9.746	2.301	12.297	12.144	8.668	10.731	8.682	7.792	10.103	9.754	10.64	9.049	1.512	9.825	11.635	9.965	11.074	11.231	8.749	9.115	12.297	10.985		
1n3i_protein	1n3i_ligand	8.59	2.224	12.483	9.386	7.626	6.61	10.503	5.302	8.462	8.305	8.154	10.204	10.429	10.248	5.268	12.483	4.512	11.089	10.201	5.701	10.486	7.601		
1nc3_protein	1nc3_ligand	6.816	2.501	12.083	7.753	4.414	7.813	5.899	9.785	5.952	7.811	4.212	4.242	12.083	1.415	8.713	9.024	7.146	7.054	6.722	6.338	10.343	4.963		
1m5w_protein	1m5w_ligand	6.403	4.946	17.517	1.597	7.316	5.351	-0.19	17.517	16.023	0.623	9.294	4.744	6.167	14.157	8.597	5.517	8.092	4.635	4.045	4.545	-0.308	7.042		
1nfu_protein	1nfu_ligand	7.873	0.45	8.571	7.72	6.954	7.817	7.89	8.178	8.571	8.362	8.18	7.176	8.363	7.222	7.143	8.009	7.725	8.368	7.878	7.945	7.88	8.167		
1nfx_protein	1nfx_ligand	8.764	1.21	10.614	8.427	10.209	10.465	8.382	8.468	8.213	10.594	7.932	8.447	9.056	7.913	7.818	7.562	5.638	9.066	8.797	8.813	8.834	10.614		
1nfw_protein	1nfw_ligand	9.023	2.149	16.188	16.188	8.037	10.311	7.412	8.636	8.545	9.141	9.954	7.282	9.468	9.557	9.202	11.841	7.357	8.218	8.214	8.152	8.391	9.159		
1nf8_protein	1nf8_ligand	6.195	1.042	8.523	4.782	5.7	6.308	6.219	6.986	8.523	5.297	7.046	4.527	4.886	7.232	5.584	7.625	6.433	5.136	6.013	6.649	5.435	7.06		
1nhz_protein	1nhz_ligand	8.153	0.975	9.838	8.086	8.591	9.512	7.856	9.838	8.63	7.343	9.713	8.937	8.184	6.196	8.004	8.289	7.157	6.739	8.03	6.964	7.911	8.047		
1nfy_protein	1nfy_ligand	8.703	2.031	14.544	7.229	10.079	9.225	8.457	5.966	8.99	6.435	7.477	8.946	8.503	9.209	12.537	7.297	14.544	8.626	9.172	9.68	7.442	7.765		
1nh0_protein	1nh0_ligand	7.977	1.66	12.125	9.053	6.462	7.932	7.686	7.785	8.701	12.125	8.046	6.774	10.661	7.615	5.948	4.623	6.775	8.629	9.763	6.705	8.43	7.947		
1nhu_protein	1nhu_ligand	5.749	1.07	8.51	5.711	6.137	6.063	6.481	5.912	5.621	4.049	8.51	5.637	5.543	6.328	4.554	6.651	5.042	6.303	6.713	5.099	6.247	3.696		
1n5r_protein	1n5r_ligand	4.604	1.71	8.639	4.515	2.199	8.639	4.118	2.332	5.421	3.491	1.951	3.331	3.432	6.172	4.714	5.894	6.017	6.056	5.006	5.498	2.972	3.805		
1nki_protein	1nki_ligand	3.361	4.273	14.179	6.714	3.251	1.53	-1.012	0.73	14.179	1.847	1.627	2.71	4.161	-0.858	7.261	0.751	0.783	-1.602	7.171	7.586	-0.31	10.736		
1nli_protein	1nli_ligand	3.689	3.029	9.384	4.434	7.275	1.012	1.051	-0.336	3.965	2.882	-0.227	5.743	0.115	6.535	2.302	6.929	7.551	4.401	-0.142	6.525	1.205	3.174		
1njs_protein	1njs_ligand	6.438	1.414	8.883	2.806	5.975	6.984	8.883	5.709	6.953	7.425	7.999	6.227	6.337	4.891	6.451	7.483	6.904	5.722	5.786	6.4	8.623	4.326		
1njc_protein	1njc_ligand	5.277	2.244	10.513	4.859	6.436	4.598	5.527	4.862	3.66	0.348	5.763	6.94	10.513	6.464	3.539	6.286	9.956	4.925	4.475	3.659	4.997	3.053		
1nja_protein	1nja_ligand	6.635	2.964	16.48	7.031	16.48	5.886	5.617	6.035	7.417	3.007	4.428	7.086	4.586	4.837	6.005	8.533	4.73	8.385	11.106	5.752	3.93	4.962		
1nm6_protein	1nm6_ligand	9.627	2.386	15.618	9.671	4.139	10.623	10.819	11.086	10.078	15.618	7.69	10.293	9.17	10.097	7.652	9.993	7.327	8.225	11.076	8.469	12.417	11.239		
1nl9_protein	1nl9_ligand	6.035	1.075	7.747	7.21	7.641	5.548	3.939	4.216	5.656	6.055	7.077	7.747	7.208	5.461	6.004	6.908	6.351	6.009	6.243	6.133	5.485	5.364		
1njd_protein	1njd_ligand	5.631	2.94	15.775	4.832	2.129	4.007	5.355	4.001	3.454	4.856	7.629	8.799	4.831	3.826	6.152	3.795	5.278	7.897	2.646	15.775	5.494	4.99		
1no6_protein	1no6_ligand	5.138	1.891	10.206	10.206	4.811	5.542	-0.1	3.215	5.09	4.915	4.422	5.142	7.203	3.998	5.423	4.302	5.815	4.922	6.543	5.624	5.301	5.966		
1nje_protein	1nje_ligand	5.42	1.595	8.602	4.929	2.326	3.812	8.036	5.044	8.602	4.899	4.936	4.035	4.796	6.983	3.655	6.368	5.101	7.423	4.807	4.493	7.304	5.984		
1nny_protein	1nny_ligand	7.013	1.052	9.369	5.908	9.369	5.545	6.505	8.293	5.628	8.521	7.1	7.469	7.207	6.786	6.011	6.879	6.501	7.986	6.543	6.71	8.441	5.966		
1nq7_protein	1nq7_ligand	7.432	0.798	9.194	7.247	8.974	6.984	7.179	7.595	6.218	6.458	7.939	9.194	7.431	8.228	7.36	6.949	7.15	7.213	6.14	7.095	8.082	8.018		
1nt1_protein	1nt1_ligand	8.867	1.146	11.811	8.263	9.618	8.265	9.21	8.327	7.359	10.873	7.253	7.393	9.182	9.356	9.246	8.956	9.017	8.586	8.884	8.622	7.403	11.811		
1n1m_protein	1n1m_ligand	4.484	1.72	7.476	1.757	3.088	1.744	7.476	3.812	5.176	4.871	5.985	6.921	4.441	5.965	1.469	5.735	5.959	4.617	5.378	3.418	4.62	4.766		
1nvq_protein	1nvq_ligand	7.894	1.3	11.406	6.435	7.454	7.855	8.762	8.53	7.753	6.711	11.406	8.378	9.152	8.929	7.372	7.143	8.046	6.005	9.505	6.767	7.903	5.98		
1nvs_protein	1nvs_ligand	8.057	1.207	11.36	8.178	6.976	7.265	7.248	8.405	7.455	7.804	7.938	8.151	8.358	7.485	11.36	10.98	8.157	6.688	7.606	6.916	7.68	9.008		
1nvr_protein	1nvr_ligand	7.623	1.088	9.496	8.071	7.46	6.224	8.825	8.831	8.558	7.711	8.75	8.409	8.216	8.463	6.661	6.868	7.875	6.02	9.496	6.751	6.668	5.687		
1o0f_protein	1o0f_ligand	5.306	2.652	10.689	6.465	2.561	7.127	1.301	9.496	4.436	4.923	4.943	5.884	5.353	5.001	10.689	5.953	-1.264	3.068	5.771	4.649	5.503	7.979		
1nw5_protein	1nw5_ligand	5.779	2.638	10.474	7.772	9.217	10.317	2.849	4.822	5.137	10.474	4.926	8.061	3.754	4.054	4.0	7.536	5.984	5.256	3.912	5.678	-0.303	7.421		
1np0_protein	1np0_ligand	0.222	1.807	5.518	3.02	-1.094	-0.419	0.011	-1.952	2.654	0.006	-0.008	-0.631	0.015	-1.37	-0.032	-1.865	-0.038	0.019	-0.812	1.045	5.518	-1.163		
1o0m_protein	1o0m_ligand	5.224	4.059	15.079	15.079	2.587	5.725	-0.128	2.708	1.568	3.552	4.528	8.855	10.027	0.584	6.123	0.67	4.066	1.626	5.842	5.076	4.971	12.4		
1o0h_protein	1o0h_ligand	6.018	3.848	13.915	7.602	12.717	5.137	-1.093	4.877	5.735	11.965	8.245	5.785	4.768	1.588	13.915	2.353	3.916	1.192	4.403	7.435	5.481	9.238		
1nw7_protein	1nw7_ligand	5.042	1.58	8.046	8.046	5.295	7.023	2.409	5.474	4.533	5.598	4.605	6.117	1.91	5.354	5.98	1.862	5.656	4.985	6.062	5.513	3.491	5.256		
1o0n_protein	1o0n_ligand	4.749	1.712	9.802	5.166	3.324	4.305	2.417	4.063	9.802	6.195	3.964	6.209	4.833	2.156	3.57	5.321	5.638	6.957	4.885	4.546	3.345	3.878		
1nwl_protein	1nwl_ligand	3.284	1.579	6.295	2.719	3.383	2.297	3.118	1.237	1.378	5.259	1.897	4.976	6.295	3.543	3.742	2.836	6.042	0.573	4.264	3.406	3.532	3.822		
1nz7_protein	1nz7_ligand	6.266	1.59	8.38	7.727	8.295	5.56	1.194	4.411	5.783	5.919	7.237	7.236	7.213	5.327	6.189	6.661	6.59	5.04	6.811	7.316	8.38	5.725		
1o2h_protein	1o2h_ligand	7.767	0.946	9.19	9.19	9.048	7.869	9.162	7.423	9.17	6.9	7.362	8.332	7.82	6.481	7.557	8.37	8.374	7.745	6.861	5.796	7.481	7.52		
1o2j_protein	1o2j_ligand	6.102	1.115	7.68	5.974	5.994	6.711	5.272	5.294	6.775	5.593	5.035	7.291	7.335	7.68	6.055	5.574	5.99	5.909	6.521	6.338	7.137	2.601		
1o2o_protein	1o2o_ligand	6.983	1.365	8.735	4.136	7.282	7.084	7.211	8.254	8.077	8.216	7.287	7.886	7.118	8.07	6.203	5.334	8.278	8.085	4.259	5.554	5.587	8.735		
1o2n_protein	1o2n_ligand	6.372	1.807	12.393	7.43	7.319	12.393	5.868	4.762	5.933	6.034	5.647	6.111	8.798	6.295	5.21	4.662	5.759	5.943	6.691	3.805	4.947	6.958		
1o2q_protein	1o2q_ligand	6.448	1.786	8.915	3.95	1.898	6.152	8.445	5.704	8.915	7.225	5.02	8.325	5.402	8.465	6.349	6.805	4.954	8.338	8.014	6.473	4.756	6.899		
1o3d_protein	1o3d_ligand	7.106	1.186	8.782	7.042	8.68	8.497	5.175	8.203	8.228	6.009	6.816	8.782	7.486	6.698	6.882	5.638	6.924	4.956	8.356	5.539	7.931	7.399		
1o2r_protein	1o2r_ligand	6.54	1.661	9.629	3.621	7.093	6.16	9.086	6.267	9.629	7.342	4.596	7.973	6.569	8.222	6.566	5.577	6.281	6.073	5.441	5.735	3.211	8.484		
1o2w_protein	1o2w_ligand	6.133	1.946	8.764	6.063	8.005	5.436	3.113	6.584	7.554	5.8	6.521	8.647	7.508	8.384	6.438	7.435	1.488	8.764	3.044	5.777	5.407	4.532		
1o2z_protein	1o2z_ligand	6.546	1.284	8.437	6.569	7.995	7.816	6.075	7.338	8.437	7.047	3.038	7.551	6.913	5.893	7.499	5.451	6.186	5.704	5.19	6.965	4.823	7.557		
1o3f_protein	1o3f_ligand	6.281	1.695	8.841	7.015	6.33	7.64	3.554	6.86	6.667	6.451	4.269	8.841	1.482	8.774	6.144	7.087	6.76	6.224	7.097	6.958	5.125	5.456		
1o3i_protein	1o3i_ligand	7.185	2.303	11.458	5.738	9.261	8.545	7.712	8.194	11.458	5.298	7.119	9.497	5.001	7.047	6.524	9.117	9.574	6.543	3.478	1.302	7.629	7.784		
1o3j_protein	1o3j_ligand	6.672	2.489	10.936	3.526	7.273	9.5	10.084	7.681	8.043	3.768	7.427	7.538	3.92	5.125	1.205	7.692	6.156	9.371	3.775	10.936	6.621	6.918		
1o3l_protein	1o3l_ligand	7.183	1.933	10.117	7.625	7.861	6.73	8.122	7.647	10.117	5.302	7.837	8.807	4.376	8.757	6.406	6.865	9.956	7.148	5.427	1.676	7.839	8.27		
1o5a_protein	1o5a_ligand	4.796	2.451	8.873	8.873	2.445	6.415	0.855	6.756	6.982	7.539	6.983	4.242	1.208	8.205	3.024	2.896	4.798	1.131	6.707	5.421	4.29	2.993		
1n51_protein	1n51_ligand	6.561	2.55	11.586	6.113	4.283	1.688	7.322	5.181	8.242	11.586	4.486	3.829	9.492	4.69	9.992	9.607	5.013	6.758	8.674	3.42	7.908	6.078		
1o5c_protein	1o5c_ligand	7.072	2.125	14.467	7.515	7.438	6.225	10.464	6.711	6.705	6.084	4.975	6.33	7.95	5.953	5.245	7.414	7.061	7.121	5.527	14.467	6.236	5.133		
1o5g_protein	1o5g_ligand	6.111	1.571	9.044	5.601	7.992	3.444	5.008	6.709	6.52	5.921	4.585	9.044	7.723	7.489	4.293	5.138	8.97	5.237	6.212	6.323	4.288	4.84		
1o33_protein	1o33_ligand	5.271	1.208	7.218	5.276	7.218	6.584	5.422	6.181	6.638	5.621	4.131	6.694	5.836	4.429	3.774	5.75	5.117	5.301	5.774	5.287	2.56	3.121		
1o5e_protein	1o5e_ligand	6.633	2.25	9.806	3.958	7.706	4.988	9.806	7.895	8.678	7.203	9.442	7.808	6.4	7.009	5.045	4.792	6.879	6.246	4.913	7.893	0.068	9.031		
1o7o_protein	1o7o_ligand	4.033	1.934	8.687	3.894	5.022	3.258	0.312	5.115	3.724	5.745	4.417	5.218	3.384	2.281	8.687	0.614	1.522	4.239	4.058	6.54	4.375	3.77		
1o35_protein	1o35_ligand	5.784	1.125	8.018	5.469	6.598	5.783	4.002	4.976	6.165	5.952	4.46	8.018	6.313	7.2	5.343	4.979	5.972	6.153	4.628	7.64	5.091	4.097		
1o30_protein	1o30_ligand	6.348	1.209	8.622	5.083	7.418	7.911	6.552	7.233	7.834	5.88	4.596	6.774	6.023	8.622	6.999	6.367	6.587	5.075	4.893	6.681	5.574	3.986		
1nw4_protein	1nw4_ligand	7.08	1.82	10.074	7.83	6.289	7.465	7.959	1.935	6.484	5.892	4.819	9.209	7.297	6.799	6.993	7.758	6.055	9.008	6.707	9.448	7.947	5.636		
1oau_protein	1oau_ligand	7.914	2.284	13.865	9.871	8.487	7.517	4.688	7.411	13.865	5.842	7.214	5.604	9.829	5.154	5.455	7.098	8.121	9.704	5.275	10.342	7.981	9.55		
1o38_protein	1o38_ligand	6.484	0.999	8.005	4.944	7.502	7.858	6.933	4.794	7.393	5.867	6.329	7.739	7.243	6.966	6.966	5.686	6.408	5.618	5.32	5.771	5.464	8.005		
1o36_protein	1o36_ligand	5.7	1.621	8.947	8.947	4.828	5.957	2.554	7.111	1.598	4.942	6.326	6.553	6.145	6.581	5.397	7.171	5.716	5.082	4.489	7.099	5.305	5.535		
1oar_protein	1oar_ligand	6.776	3.654	14.488	4.03	7.803	3.195	1.015	6.847	14.488	8.583	5.871	7.821	6.982	9.712	0.507	6.79	10.232	6.085	7.636	12.779	3.874	9.261		
1oba_protein	1oba_ligand	2.053	0.985	3.428	2.644	1.822	2.356	2.512	3.095	2.915	2.362	-1.009	2.246	1.446	0.274	2.042	2.759	2.009	1.914	2.319	1.651	3.428	1.829		
1od8_protein	1od8_ligand	4.827	1.664	8.695	4.844	5.264	5.946	5.023	5.131	5.368	5.553	3.928	6.485	5.93	4.97	4.453	4.58	3.379	4.831	4.335	-0.334	8.695	3.767		
1ocq_protein	1ocq_ligand	4.93	2.67	10.324	10.324	8.364	5.858	5.555	-0.145	5.289	7.513	5.262	4.716	0.537	7.09	4.611	5.172	-0.071	5.724	4.071	3.413	5.44	3.004		
1ogx_protein	1ogx_ligand	6.425	1.898	9.485	4.904	8.374	5.641	8.672	7.277	2.74	4.087	7.399	7.494	5.571	5.165	9.485	8.158	7.838	6.22	6.791	4.089	4.729	4.807		
1ogz_protein	1ogz_ligand	6.435	1.522	10.0	7.586	3.68	5.453	8.005	5.563	6.213	8.451	5.165	7.377	6.046	6.742	5.337	5.617	7.422	5.269	5.844	8.281	4.66	5.984		
1oe8_protein	1oe8_ligand	5.565	1.608	8.016	5.012	8.007	7.9	7.469	5.513	4.023	8.007	4.412	5.684	3.032	8.016	3.655	2.994	5.52	5.16	5.702	5.197	5.429	5.969		
1ohr_protein	1ohr_ligand	8.672	0.823	9.849	8.092	9.446	9.471	8.127	8.67	9.415	9.223	9.653	8.246	7.821	8.091	8.871	8.104	6.671	8.742	9.009	9.467	7.506	8.96		
1om1_protein	1om1_ligand	8.105	1.222	11.92	9.432	8.266	7.265	6.509	7.545	8.282	8.354	8.658	7.195	7.166	6.805	11.92	8.976	8.243	6.727	7.281	8.668	8.123	7.687		
1onz_protein	1onz_ligand	5.136	0.936	7.204	5.841	4.728	5.542	3.582	5.677	5.516	4.864	3.903	4.383	7.204	4.597	5.869	3.665	5.926	5.552	6.17	4.241	5.329	5.712		
1oif_protein	1oif_ligand	5.167	2.214	9.202	8.926	4.042	3.677	3.691	4.748	5.28	1.056	4.611	8.129	9.202	5.081	7.056	5.251	4.906	5.181	3.58	0.67	6.418	4.969		
1ony_protein	1ony_ligand	6.561	1.736	9.49	5.23	8.908	5.57	5.025	4.787	6.721	6.349	7.032	5.122	6.695	5.921	3.087	5.543	6.586	9.391	9.426	8.068	9.49	5.851		
1ork_protein	1ork_ligand	7.121	3.56	13.425	6.886	4.004	11.174	-0.586	1.961	8.746	5.903	8.87	4.246	4.212	7.39	8.952	6.98	10.124	13.055	3.825	7.454	13.425	9.499		
1oss_protein	1oss_ligand	4.161	0.446	5.026	3.827	4.451	4.226	4.304	5.026	4.266	3.974	4.208	4.887	4.593	4.309	3.635	3.809	4.078	4.512	3.243	4.319	3.702	3.527		
1oxr_protein	1oxr_ligand	4.966	1.331	8.164	2.004	4.381	7.74	5.225	5.618	4.499	4.8	5.465	3.581	4.454	4.839	5.723	5.084	4.435	5.331	5.519	4.132	8.164	3.926		
1owe_protein	1owe_ligand	5.592	1.028	7.975	4.981	5.254	5.88	5.24	5.041	5.991	5.427	4.685	6.086	7.975	7.643	4.043	4.861	6.777	5.603	3.851	5.359	5.434	5.431		
