Receptor	Ligand	DSAS_Score_pK	buried%	ligand_sasa	protein_sasa	complex_sasa
2oxn_protein	2oxn_ligand	267.028809	50.021220	533.831055	14867.474609	14867.248047
2oxx_protein	2oxx_ligand	254.431366	73.259362	347.302185	17060.437500	16898.876953
2oag_protein	2oag_ligand	380.850159	62.777250	606.669067	63885.429688	63730.398438
2on6_protein	2on6_ligand	299.567215	73.986899	404.892242	36494.714844	36300.472656
2p3a_protein	2p3a_ligand	730.190002	62.316915	1171.736450	10431.149414	10142.505859
2oxy_protein	2oxy_ligand	225.604889	69.370445	325.217590	17207.228516	17081.236328
2oym_protein	2oym_ligand	346.675751	69.977806	495.408142	18658.597656	18460.654297
2p3b_protein	2p3b_ligand	749.179504	63.237657	1184.704712	10695.780273	10382.125977
2p3c_protein	2p3c_ligand	746.699707	62.944317	1186.286133	10205.119141	9898.005859
2p2a_protein	2p2a_ligand	363.026123	74.987317	484.116699	26509.001953	26267.066406
2ot1_protein	2ot1_ligand	232.252274	46.728209	497.027985	54754.695312	54787.218750
2p3i_protein	2p3i_ligand	213.447189	47.325400	451.020355	8205.600586	8229.726562
2ole_protein	2ole_ligand	333.629028	59.783008	558.066650	64072.089844	63962.898438
2p7a_protein	2p7a_ligand	204.248444	78.677719	259.601379	12431.271484	12282.375977
2p7g_protein	2p7g_ligand	310.578308	78.870307	393.783569	12337.431641	12110.058594
2p7z_protein	2p7z_ligand	491.393890	77.486670	634.165710	12266.769531	11918.147461
2p4j_protein	2p4j_ligand	754.022156	72.921229	1034.022827	18244.226562	17770.205078
2p4y_protein	2p4y_ligand	557.661499	74.401682	749.528076	25078.708984	24712.914062
2p16_protein	2p16_ligand	443.784698	64.858204	684.238342	14980.011719	14776.680664
2p95_protein	2p95_ligand	425.844482	67.620724	629.754395	15017.058594	14795.124023
2p15_protein	2p15_ligand	472.066559	82.468532	572.420227	22945.943359	22574.230469
2p4s_protein	2p4s_ligand	305.368195	75.772632	403.005920	34521.871094	34314.140625
2pk5_protein	2pk5_ligand	705.237915	74.836598	942.370361	10645.677734	10177.572266
2pbw_protein	2pbw_ligand	325.838089	68.645419	474.668365	25308.796875	25131.789062
2pcp_protein	2pcp_ligand	321.734848	77.740327	413.858368	21372.978516	21143.367188
2pk6_protein	2pk6_ligand	696.264801	74.790194	930.957336	10680.686523	10219.114258
2pql_protein	2pql_ligand	230.424683	74.590956	308.917725	8635.104492	8483.172852
2pq9_protein	2pq9_ligand	367.333557	73.478605	499.919067	16799.611328	16564.863281
2pog_protein	2pog_ligand	355.766693	81.193739	438.170105	22025.826172	21752.462891
2pqb_protein	2pqb_ligand	395.135117	78.064525	506.164764	17984.703125	17700.597656
2pqc_protein	2pqc_ligand	363.047699	76.158389	476.700867	17723.195312	17473.800781
2pqz_protein	2pqz_ligand	526.334595	79.224118	664.361572	10473.418945	10085.111328
2pv1_protein	2pv1_ligand	525.344299	47.914361	1096.423462	6272.363281	6318.098145
2psv_protein	2psv_ligand	502.178040	76.684681	654.860962	10207.361328	9857.866211
2psu_protein	2psu_ligand	531.292053	74.614234	712.051880	10156.652344	9806.120117
2pgz_protein	2pgz_ligand	355.643951	75.370936	471.858215	50748.839844	50509.410156
2pu2_protein	2pu2_ligand	277.831940	57.862370	480.159973	16076.029297	16000.525391
2pvh_protein	2pvh_ligand	316.167557	70.987330	445.385895	17198.531250	17011.582031
2pvj_protein	2pvj_ligand	364.757355	70.590139	516.725647	17201.173828	16988.384766
2pvk_protein	2pvk_ligand	377.716705	72.139564	523.591614	17253.806641	17021.964844
2pvl_protein	2pvl_ligand	362.085297	68.789146	526.369812	17283.828125	17086.027344
2pvu_protein	2pvu_ligand	213.902817	69.469458	307.909149	12745.661133	12625.764648
2pwc_protein	2pwc_ligand	560.479797	80.378189	697.303345	10207.971680	9784.315430
2pvm_protein	2pvm_ligand	342.057220	64.319235	531.811707	17310.578125	17158.275391
2pwr_protein	2pwr_ligand	586.168213	79.514391	737.185059	10142.742188	9707.590820
2pyn_protein	2pyn_ligand	578.468231	76.920477	752.034119	10525.041016	10120.138672
2q2a_protein	2q2a_ligand	226.238297	67.696028	334.197296	13313.236328	13194.957031
2py4_protein	2py4_ligand	381.565948	73.996596	515.653381	17632.906250	17385.427734
2pwd_protein	2pwd_ligand	196.264175	69.138716	283.870148	22979.726562	22871.068359
2q5k_protein	2q5k_ligand	651.274170	79.837328	815.751465	10385.111328	9898.314453
2pwg_protein	2pwg_ligand	223.101624	72.990527	305.658325	23457.025391	23316.480469
2q54_protein	2q54_ligand	605.154480	73.739577	820.664429	9996.791992	9607.147461
2q55_protein	2q55_ligand	645.311707	76.935577	838.768921	10285.453125	9833.598633
2pyy_protein	2pyy_ligand	191.218124	71.469134	267.553436	31212.593750	31097.710938
2q63_protein	2q63_ligand	585.564148	77.591950	754.671265	10459.497070	10043.040039
2q64_protein	2q64_ligand	589.672577	78.226638	753.800232	10446.319336	10020.774414
2q6f_protein	2q6f_ligand	584.209778	58.297004	1002.126587	27177.443359	27011.150391
2qbp_protein	2qbp_ligand	480.248627	64.878755	740.224792	14494.551758	14274.279297
2q8z_protein	2q8z_ligand	332.244202	75.687754	438.966919	27562.048828	27336.527344
2qbq_protein	2qbq_ligand	391.162903	60.383608	647.796509	14476.046875	14341.517578
2qbr_protein	2qbr_ligand	381.104919	65.278336	583.815308	14688.426758	14510.032227
2qbs_protein	2qbs_ligand	373.847717	64.605406	578.663208	14588.119141	14419.086914
2q7q_protein	2q7q_ligand	207.910248	76.455107	271.937683	36855.332031	36711.449219
2qbw_protein	2qbw_ligand	679.105835	57.024769	1190.896240	10980.092773	10812.777344
2qci_protein	2qci_ligand	557.016663	78.413348	710.359497	10531.427734	10127.753906
2qd6_protein	2qd6_ligand	546.611755	76.573353	713.840698	10698.874023	10319.491211
2qbu_protein	2qbu_ligand	388.176971	75.036885	517.314880	21997.496094	21738.457031
2qd7_protein	2qd7_ligand	532.149506	75.094392	708.640808	10666.942383	10311.284180
2qd8_protein	2qd8_ligand	555.483215	78.108086	711.172485	10536.955078	10137.161133
2qg2_protein	2qg2_ligand	382.412262	71.846486	532.263000	11185.520508	10952.958984
2qhy_protein	2qhy_ligand	527.430054	76.180723	692.340576	10206.414062	9843.894531
2qhz_protein	2qhz_ligand	516.789032	73.418233	703.897400	10335.958984	10006.278320
2qi0_protein	2qi0_ligand	554.743896	76.388143	726.217285	10233.227539	9849.957031
2qe4_protein	2qe4_ligand	406.108673	80.998899	501.375549	20112.699219	19801.857422
2qg0_protein	2qg0_ligand	371.597565	69.549426	534.292786	21281.628906	21072.726562
2qi1_protein	2qi1_ligand	550.051056	74.702631	736.320862	10156.118164	9792.336914
2qi3_protein	2qi3_ligand	525.892212	75.688443	694.811768	10194.986328	9838.013672
2qi4_protein	2qi4_ligand	554.649292	76.584045	724.236084	10285.684570	9900.622070
2qi5_protein	2qi5_ligand	581.237732	75.880192	765.994019	10268.211914	9871.730469
2qi6_protein	2qi6_ligand	540.747620	76.239117	709.278442	10321.375000	9949.158203
2qi7_protein	2qi7_ligand	535.174927	73.999714	723.212158	10337.030273	9989.892578
2qnn_protein	2qnn_ligand	640.197906	79.309547	807.214172	10280.345703	9807.164062
2qm9_protein	2qm9_ligand	428.873383	78.370545	547.237976	14793.267578	14482.758789
2qnp_protein	2qnp_ligand	558.759613	75.106467	743.956726	10355.147461	9981.584961
2qnq_protein	2qnq_ligand	524.789825	77.355213	678.415588	10296.961914	9925.797852
2qmg_protein	2qmg_ligand	621.357697	77.261283	804.229065	18237.150391	17798.664062
2qpq_protein	2qpq_ligand	210.097076	74.660013	281.405090	13341.415039	13202.625977
2qrk_protein	2qrk_ligand	282.082077	60.685486	464.826263	18301.554688	18202.216797
2qpu_protein	2qpu_ligand	263.984009	43.623774	605.137939	16227.060547	16304.230469
2qrl_protein	2qrl_ligand	141.214439	56.547366	249.727707	18617.158203	18584.457031
2qtn_protein	2qtn_ligand	255.771790	59.454452	430.197876	20542.167969	20460.822266
2qtg_protein	2qtg_ligand	312.011642	73.311100	425.599457	21067.445312	20869.021484
2qu6_protein	2qu6_ligand	551.475220	74.346950	741.759033	16542.208984	16181.017578
2qw1_protein	2qw1_ligand	126.218506	39.258003	321.510254	14562.913086	14631.986328
2qtt_protein	2qtt_ligand	297.173981	75.544271	393.377258	21838.683594	21637.712891
2qta_protein	2qta_ligand	424.181183	75.847287	559.256897	57772.675781	57483.570312
2qwb_protein	2qwb_ligand	281.259369	65.579660	428.882019	52935.093750	52801.457031
2qwc_protein	2qwc_ligand	279.333969	64.894777	430.441376	52880.875000	52752.648438
2qwd_protein	2qwd_ligand	281.502426	65.671954	428.649384	53026.710938	52892.355469
2qwe_protein	2qwe_ligand	312.547775	66.046957	473.220551	52982.277344	52830.402344
2r0h_protein	2r0h_ligand	299.297577	38.011913	787.378357	30236.478516	30425.261719
2qwf_protein	2qwf_ligand	344.763626	69.698182	494.652252	53338.347656	53143.472656
2r2m_protein	2r2m_ligand	422.405518	68.676354	615.066895	13667.713867	13437.969727
2r3t_protein	2r3t_ligand	591.796143	79.633900	743.145996	10532.381836	10091.935547
2r2w_protein	2r2w_ligand	286.757019	66.074626	433.989624	12879.092773	12739.568359
2r3w_protein	2r3w_ligand	554.546539	80.053487	692.720032	10230.445312	9814.072266
2r0z_protein	2r0z_ligand	595.352356	55.002690	1082.405884	21642.314453	21534.015625
2r5a_protein	2r5a_ligand	184.836761	53.952525	342.591492	11887.779297	11860.697266
2r5p_protein	2r5p_ligand	664.515625	76.499521	868.653320	10643.250977	10182.873047
2r38_protein	2r38_ligand	590.584442	80.210530	736.292908	10274.601562	9829.725586
2r43_protein	2r43_ligand	560.103455	79.446542	705.006714	10319.723633	9904.523438
2r58_protein	2r58_ligand	193.445679	54.767332	353.213623	11880.710938	11847.033203
2r9w_protein	2r9w_ligand	299.660904	58.533601	511.946808	16105.666992	16018.291992
2r9x_protein	2r9x_ligand	296.593842	55.803252	531.499207	16037.437500	15975.749023
2r75_protein	2r75_ligand	437.836945	66.313316	660.254944	15342.005859	15126.586914
2ra0_protein	2ra0_ligand	445.679779	60.843316	732.504089	14770.536133	14611.680664
2rcb_protein	2rcb_ligand	134.073158	62.402173	214.853348	14105.234375	14051.941406
2reg_protein	2reg_ligand	164.623604	69.682196	236.249161	12889.048828	12796.050781
2rin_protein	2rin_ligand	196.651199	70.150203	280.328766	13397.885742	13284.912109
2ri9_protein	2ri9_ligand	163.122894	69.089084	236.105164	19603.205078	19513.064453
2rk8_protein	2rk8_ligand	131.853722	68.291583	193.074631	27690.169922	27619.537109
2rka_protein	2rka_ligand	164.078926	67.757012	242.157852	27705.931641	27619.931641
2rio_protein	2rio_ligand	370.462036	73.229352	505.892822	41157.457031	40922.425781
2rkf_protein	2rkf_ligand	605.415833	74.596673	811.585571	10730.467773	10331.221680
2rkd_protein	2rkd_ligand	170.529991	69.088716	246.827560	27880.466797	27786.234375
2rke_protein	2rke_ligand	150.914261	69.902349	215.892975	27719.685547	27633.750000
2rkg_protein	2rkg_ligand	629.062347	77.054946	816.381531	10830.240234	10388.497070
2tpi_protein	2tpi_ligand	308.938629	76.463431	404.034485	12894.024414	12680.181641
2sim_protein	2sim_ligand	276.206223	65.479844	421.818695	15801.294922	15670.701172
2uwd_protein	2uwd_ligand	394.686646	71.244804	553.986572	20627.146484	20391.759766
2rkm_protein	2rkm_ligand	392.217941	78.204645	501.527679	22966.736328	22683.828125
2std_protein	2std_ligand	378.947754	80.332245	471.725586	23152.101562	22865.931641
2uwl_protein	2uwl_ligand	383.247772	63.127310	607.102966	14809.488281	14650.095703
2uwo_protein	2uwo_ligand	397.551117	64.504112	616.319031	14630.410156	14451.626953
2uxz_protein	2uxz_ligand	678.804108	78.815275	861.259583	10470.271484	9973.922852
2uwp_protein	2uwp_ligand	384.833740	62.602873	614.722168	14708.770508	14553.825195
2uy0_protein	2uy0_ligand	690.744995	79.870445	864.831787	10633.275391	10116.617188
2uxi_protein	2uxi_ligand	308.326508	70.144468	439.559265	20809.785156	20632.691406
2uy3_protein	2uy3_ligand	207.744522	65.685752	316.270294	11888.256836	11789.038086
2rd6_protein	2rd6_ligand	255.214081	63.676907	400.795349	100449.601562	100339.968750
2uy4_protein	2uy4_ligand	181.560791	56.357735	322.157715	11749.296875	11708.333008
2uy5_protein	2uy5_ligand	238.340256	67.406256	353.587738	11723.801758	11600.708984
2uyq_protein	2uyq_ligand	222.056946	62.326371	356.280884	13412.092773	13324.259766
2uyn_protein	2uyn_ligand	147.658180	68.753500	214.764603	16085.139648	16004.587891
2v00_protein	2v00_ligand	234.979004	63.140210	372.154297	14193.021484	14095.217773
2v2q_protein	2v2q_ligand	279.312683	48.372755	577.417358	13416.895508	13435.687500
2v2v_protein	2v2v_ligand	289.084686	50.110030	576.899841	13438.449219	13437.179688
2v2c_protein	2v2c_ligand	173.541924	72.255079	240.179550	20926.443359	20819.539062
2v3u_protein	2v3u_ligand	134.532379	62.348536	215.774719	13309.026367	13255.736328
2v7a_protein	2v7a_ligand	427.106750	62.458592	683.823853	14801.474609	14631.084961
2v3d_protein	2v3d_ligand	250.271790	65.364344	382.887329	19969.121094	19851.464844
2v2h_protein	2v2h_ligand	171.737289	72.239752	237.732391	33228.898438	33123.156250
2v8w_protein	2v8w_ligand	293.686768	49.904418	588.498535	20285.283203	20286.408203
2v57_protein	2v57_ligand	221.080444	63.293214	349.295654	17531.919922	17439.054688
2v54_protein	2v54_ligand	353.989136	72.610283	487.519287	19815.349609	19594.890625
2v95_protein	2v95_ligand	340.487762	70.782168	481.036072	17029.158203	16829.218750
2v58_protein	2v58_ligand	317.882935	74.807630	424.933838	20066.175781	19855.343750
2v59_protein	2v59_ligand	330.561829	72.777377	454.209595	19666.464844	19459.550781
2vfk_protein	2vfk_ligand	274.586472	61.441212	446.909271	11799.360352	11697.096680
2vh0_protein	2vh0_ligand	432.020752	60.791762	710.656738	14860.991211	14707.606445
2vh6_protein	2vh6_ligand	441.157379	63.234000	697.658508	14839.995117	14655.338867
2vb8_protein	2vb8_ligand	273.018356	76.821712	355.392181	26847.751953	26657.107422
2vba_protein	2vba_ligand	277.666061	72.392067	383.558685	27111.474609	26939.701172
2vk2_protein	2vk2_ligand	195.073273	68.589643	284.406311	13425.841797	13320.101562
2vc9_protein	2vc9_ligand	254.518509	73.063300	348.353424	36204.761719	36044.078125
2vk6_protein	2vk6_ligand	312.674728	73.298377	426.577972	19019.376953	18820.605469
2vkm_protein	2vkm_ligand	693.793793	75.579585	917.964539	18190.390625	17720.767578
2vmc_protein	2vmc_ligand	141.380966	40.270490	351.078339	33684.261719	33752.578125
2vjx_protein	2vjx_ligand	188.717789	68.225851	276.607452	34924.679688	34823.851562
2vnt_protein	2vnt_ligand	318.544495	61.857977	514.961060	13189.618164	13067.490234
2vl4_protein	2vl4_ligand	189.068787	67.461304	280.262573	34926.789062	34828.914062
2vo4_protein	2vo4_ligand	149.345413	51.933634	287.569733	21886.185547	21875.064453
2vmf_protein	2vmf_ligand	208.455917	67.916134	306.931366	34525.695312	34415.714844
2vpn_protein	2vpn_ligand	192.421158	71.170428	270.366730	14091.673828	13977.198242
2vhj_protein	2vhj_ligand	317.259415	62.582176	506.948517	73702.187500	73574.617188
2vpo_protein	2vpo_ligand	201.416275	71.834536	280.389191	14015.421875	13892.978516
2vo5_protein	2vo5_ligand	256.687027	62.871497	408.272491	35246.031250	35140.929688
2vot_protein	2vot_ligand	287.339142	62.664774	458.533752	34743.226562	34627.082031
2vvc_protein	2vvc_ligand	465.190094	66.454772	700.010071	14553.648438	14323.278320
2vt3_protein	2vt3_ligand	307.724823	54.048627	569.348083	22830.976562	22784.875000
2vrj_protein	2vrj_ligand	324.689896	64.863626	500.573151	17933.248047	17784.441406
2vvu_protein	2vvu_ligand	424.448547	64.605709	656.983032	14799.379883	14607.465820
2vvv_protein	2vvv_ligand	421.280548	66.175110	636.614807	15135.257812	14929.311523
2vvn_protein	2vvn_ligand	277.792847	71.813399	386.825928	30651.136719	30482.376953
2vqt_protein	2vqt_ligand	238.155594	66.535769	357.936188	34700.363281	34581.988281
2vvs_protein	2vvs_ligand	312.987671	59.081411	529.756592	26438.486328	26342.267578
2vw5_protein	2vw5_ligand	483.256439	75.678200	638.567566	11686.852539	11358.907227
2vwc_protein	2vwc_ligand	472.765778	68.886746	686.294250	11695.400391	11436.163086
2vw1_protein	2vw1_ligand	308.904251	73.659973	419.365143	27848.115234	27649.671875
2vwl_protein	2vwl_ligand	442.671722	64.788602	683.255554	13919.374023	13717.286133
2vwm_protein	2vwm_ligand	495.332947	62.093312	797.723511	14572.933594	14379.991211
2vwn_protein	2vwn_ligand	440.146637	66.044184	666.442688	14416.083008	14202.232422
2vzr_protein	2vzr_ligand	155.324112	53.936870	287.973907	5956.149902	5933.475586
2vw2_protein	2vw2_ligand	253.286301	71.131770	356.080414	27928.085938	27777.593750
2vyt_protein	2vyt_ligand	167.775787	49.747070	337.257629	12171.858398	12173.564453
2vwo_protein	2vwo_ligand	438.327881	65.561541	668.574707	14088.993164	13880.912109
2w5g_protein	2w5g_ligand	270.407715	49.018992	551.638672	7019.292969	7030.116211
2vxn_protein	2vxn_ligand	188.042465	71.232694	263.983368	20892.873047	20780.771484
2w8y_protein	2w8y_ligand	492.208313	77.973760	631.248657	13182.248047	12829.080078
2w9h_protein	2w9h_ligand	324.667465	70.300799	461.826141	9190.093750	9002.584961
2w4x_protein	2w4x_ligand	265.111282	68.804242	385.312408	26992.246094	26847.335938
2w26_protein	2w26_ligand	408.335175	67.720299	602.973083	14043.566406	13829.869141
2w47_protein	2w47_ligand	154.551865	35.980314	429.545624	6605.022949	6725.464844
2w8j_protein	2w8j_ligand	336.962219	75.993912	443.406860	30784.900391	30554.382812
2w8w_protein	2w8w_ligand	337.063187	75.996132	443.526764	29744.283203	29513.683594
2w66_protein	2w66_ligand	252.483459	70.254716	359.382935	30766.748047	30621.164062
2w08_protein	2w08_ligand	150.767868	50.202911	300.316986	42391.656250	42390.437500
2wb5_protein	2wb5_ligand	333.455292	60.169227	554.195740	26339.212891	26226.498047
2w67_protein	2w67_ligand	232.431107	71.287015	326.049713	30635.181641	30496.369141
2wc3_protein	2wc3_ligand	306.978790	58.286907	526.668518	17889.589844	17802.300781
2we3_protein	2we3_ligand	338.299225	64.286223	526.239075	13552.682617	13402.323242
2wc4_protein	2wc4_ligand	316.681854	58.180527	544.309021	18137.384766	18048.330078
2wbg_protein	2wbg_ligand	314.105865	58.721580	534.907043	34043.117188	33949.812500
2wca_protein	2wca_ligand	328.427643	56.151993	584.890442	27317.796875	27245.832031
2web_protein	2web_ligand	511.557098	73.028346	700.491150	26532.140625	26209.517578
2wec_protein	2wec_ligand	512.293457	67.313706	761.053711	26369.400391	26105.867188
2wf5_protein	2wf5_ligand	274.338745	75.828829	361.786865	11342.836914	11155.946289
2wed_protein	2wed_ligand	455.544250	67.929438	670.613892	26736.464844	26495.990234
2weq_protein	2weq_ligand	498.521088	71.241033	699.766785	21589.574219	21292.298828
2wgj_protein	2wgj_ligand	389.458923	64.616305	602.725464	15099.819336	14923.626953
2wer_protein	2wer_ligand	325.477570	70.130078	464.105530	21303.933594	21117.083984
2wjg_protein	2wjg_ligand	291.538513	55.371820	526.510620	9466.930664	9410.364258
2wkz_protein	2wkz_ligand	697.167542	75.835338	919.317505	10703.330078	10228.312500
2wl0_protein	2wl0_ligand	696.495819	74.714758	932.206482	10463.652344	10002.867188
2whp_protein	2whp_ligand	311.908798	74.430274	419.061737	22112.716797	21907.960938
2wky_protein	2wky_ligand	255.707825	71.925977	355.515259	25831.636719	25675.736328
2wly_protein	2wly_ligand	394.454010	71.252856	553.597473	23574.199219	23338.888672
2wlz_protein	2wlz_ligand	390.078217	72.132845	540.777527	23339.230469	23099.851562
2wm0_protein	2wm0_ligand	534.909698	70.944855	753.979553	23454.923828	23139.083984
2wk6_protein	2wk6_ligand	167.583946	68.431091	244.894455	34386.601562	34296.328125
2wtv_protein	2wtv_ligand	437.957642	70.792737	618.647705	14295.123047	14037.855469
2wn9_protein	2wn9_ligand	306.579300	63.938017	479.494537	50475.183594	50341.519531
2wnc_protein	2wnc_ligand	312.112015	70.718982	441.341217	50678.285156	50495.402344
2wyf_protein	2wyf_ligand	210.566238	43.686503	481.993805	11576.536133	11637.397461
2wr8_protein	2wr8_ligand	409.067230	77.831037	525.583679	32860.558594	32568.007812
2wnj_protein	2wnj_ligand	390.389359	76.867005	507.876373	50104.738281	49831.835938
2wvt_protein	2wvt_ligand	208.186752	67.938951	306.432098	39309.671875	39199.730469
2wyg_protein	2wyg_ligand	400.519653	62.647800	639.319580	14416.281250	14254.561523
2wvz_protein	2wvz_ligand	229.758957	69.193445	332.053070	27955.851562	27828.386719
2wyj_protein	2wyj_ligand	396.803894	61.472575	645.497437	14840.449219	14692.338867
2wzm_protein	2wzm_ligand	462.625397	63.868486	724.340637	12135.338867	11934.428711
2wzf_protein	2wzf_ligand	359.958771	73.926022	486.917542	26839.494141	26606.494141
2x4z_protein	2x4z_ligand	473.695282	68.089194	695.698181	14999.710938	14748.018555
2wzs_protein	2wzs_ligand	216.266006	70.518354	306.680450	28256.919922	28131.068359
2xab_protein	2xab_ligand	313.531418	67.600259	463.802094	11292.315430	11129.054688
2xb7_protein	2xb7_ligand	471.821198	57.295720	823.484192	14832.141602	14711.983398
2x2r_protein	2x2r_ligand	364.916794	71.621763	509.505463	48834.222656	48613.894531
2x00_protein	2x00_ligand	501.083893	74.124000	676.007629	51835.800781	51509.640625
2x0y_protein	2x0y_ligand	294.754974	75.370186	391.076355	50726.839844	50528.406250
2xbv_protein	2xbv_ligand	466.100006	66.518546	700.706848	14160.954102	13929.460938
2xbp_protein	2xbp_ligand	438.564056	77.441098	566.319519	17005.154297	16694.345703
2xbw_protein	2xbw_ligand	477.142090	68.000932	701.669922	14836.628906	14584.014648
2xbx_protein	2xbx_ligand	461.125977	65.252383	706.680664	14435.264648	14219.693359
2xc0_protein	2xc0_ligand	487.662109	66.894486	729.001953	14541.416016	14295.093750
2xc4_protein	2xc4_ligand	468.150940	66.535250	703.613403	15289.297852	15056.609375
2xde_protein	2xde_ligand	344.118469	57.944346	593.877563	8106.667480	8012.308105
2xdk_protein	2xdk_ligand	205.922958	67.511786	305.017792	11876.587891	11769.759766
2x6x_protein	2x6x_ligand	427.820953	57.032597	750.134094	57246.410156	57140.902344
2xdx_protein	2xdx_ligand	253.680206	67.993501	373.094788	11435.501953	11301.236328
2xdl_protein	2xdl_ligand	292.867859	74.963045	390.682983	20809.074219	20614.021484
2xht_protein	2xht_ligand	298.734268	70.361589	424.570099	11592.417969	11419.519531
2xb8_protein	2xb8_ligand	337.791870	76.267505	442.904053	66669.156250	66436.476562
2xg9_protein	2xg9_ligand	298.019547	67.472638	441.689484	20874.416016	20720.066406
2xj1_protein	2xj1_ligand	404.963043	77.988481	519.260071	14144.514648	13853.848633
2xib_protein	2xib_ligand	186.254852	69.198539	269.160095	20631.712891	20528.363281
2xii_protein	2xii_ligand	341.525391	63.343271	539.166016	20700.005859	20556.121094
2xj2_protein	2xj2_ligand	390.368271	76.591897	509.673065	14141.312500	13870.249023
2xjg_protein	2xjg_ligand	339.008179	67.870865	499.489990	11612.909180	11434.382812
2xjj_protein	2xjj_ligand	327.602448	67.447375	485.715637	10955.101562	10785.612305
2xjx_protein	2xjx_ligand	331.596130	52.850677	627.420776	12390.340820	12354.569336
2xd9_protein	2xd9_ligand	301.919235	74.969774	402.721283	77876.140625	77675.023438
2xda_protein	2xda_ligand	338.314484	75.215591	449.793030	74967.093750	74740.257812
2xmy_protein	2xmy_ligand	392.765808	65.314757	601.343140	15645.830078	15461.641602
2xm1_protein	2xm1_ligand	246.152740	71.900408	342.352356	30753.142578	30603.189453
2xn3_protein	2xn3_ligand	314.937454	79.403183	396.630768	17754.359375	17521.115234
2xn5_protein	2xn5_ligand	335.365173	77.544954	432.478394	17462.437500	17224.185547
2xm2_protein	2xm2_ligand	258.606201	71.250674	362.952637	30378.392578	30224.132812
2xog_protein	2xog_ligand	332.240662	47.204907	703.826538	7351.549805	7390.895020
2xnb_protein	2xnb_ligand	369.353516	68.465288	539.475586	15965.251953	15766.020508
2xp7_protein	2xp7_ligand	242.541504	68.246643	355.389648	8448.468750	8318.775391
2xj7_protein	2xj7_ligand	258.881409	71.248740	363.348755	58918.937500	58764.523438
2xye_protein	2xye_ligand	701.622528	73.146700	959.199158	10488.937500	10044.891602
2xyf_protein	2xyf_ligand	694.963745	74.211659	936.461670	10544.066406	10090.600586
2xxr_protein	2xxr_ligand	194.725235	73.644793	264.411407	24414.578125	24289.539062
2xxt_protein	2xxt_ligand	259.345032	74.869286	346.397095	24981.695312	24809.402344
2xxx_protein	2xxx_ligand	191.776276	72.394601	264.904114	23845.402344	23726.753906
2y5f_protein	2y5f_ligand	430.088806	61.822658	695.681519	14717.382812	14552.886719
2y5g_protein	2y5g_ligand	420.136292	64.848051	647.878052	14771.192383	14578.797852
2y5h_protein	2y5h_ligand	399.870911	62.043903	644.496704	14795.165039	14639.919922
2y7x_protein	2y7x_ligand	398.871582	63.946447	623.758789	14496.496094	14322.511719
2y7z_protein	2y7z_ligand	402.273468	61.899566	649.880920	14797.209961	14642.543945
2xpk_protein	2xpk_ligand	457.641418	78.149772	585.595337	50938.140625	50608.453125
2y8c_protein	2y8c_ligand	385.467377	59.068283	652.579285	20858.488281	20740.132812
2xys_protein	2xys_ligand	354.902603	80.692541	439.820831	47906.718750	47636.734375
2y80_protein	2y80_ligand	411.914642	62.963565	654.211121	14763.837891	14594.219727
2y81_protein	2y81_ligand	417.276031	64.050879	651.475891	14646.205078	14463.128906
2y82_protein	2y82_ligand	406.944916	62.764936	648.363464	14818.775391	14653.249023
2xyt_protein	2xyt_ligand	477.266663	63.178978	755.420044	48404.109375	48204.996094
2ya6_protein	2ya6_ligand	318.650803	74.045839	430.342621	20693.917969	20486.958984
2ya7_protein	2ya7_ligand	370.014465	75.500573	490.081665	20580.353516	20330.406250
2ya8_protein	2ya8_ligand	304.228439	67.550344	450.372894	20466.015625	20307.931641
2yay_protein	2yay_ligand	388.518341	70.301477	552.646057	22960.582031	22736.191406
2yaz_protein	2yaz_ligand	317.045425	75.390764	420.536163	24680.070312	24466.515625
2yb0_protein	2yb0_ligand	257.788269	73.995613	348.383179	24641.775391	24474.582031
2ydw_protein	2ydw_ligand	368.568512	60.062092	613.645813	12534.892578	12411.401367
2yel_protein	2yel_ligand	349.024384	60.669606	575.287048	8294.338867	8171.577148
2yek_protein	2yek_ligand	365.910004	60.145886	608.370789	12529.682617	12406.233398
2ydt_protein	2ydt_ligand	293.570999	67.369102	435.765045	15289.553711	15138.176758
2yfe_protein	2yfe_ligand	423.623474	77.155901	549.048706	14784.294922	14486.096680
2yge_protein	2yge_ligand	455.878021	67.532190	675.052917	11519.180664	11282.477539
2ygf_protein	2ygf_ligand	482.785797	70.625844	683.582336	11333.894531	11051.905273
2yfx_protein	2yfx_ligand	366.001648	59.893993	611.082397	15230.548828	15109.627930
2yki_protein	2yki_ligand	492.020477	78.350751	627.971619	11436.805664	11080.736328
2yi0_protein	2yi0_ligand	341.529160	75.470240	452.534882	20678.968750	20448.445312
2yix_protein	2yix_ligand	456.786835	77.493655	589.450623	18585.291016	18261.167969
2yi7_protein	2yi7_ligand	331.737274	68.061496	487.408142	21063.925781	20887.859375
2yk1_protein	2yk1_ligand	237.451721	75.731531	313.544067	19145.525391	18984.166016
2ylc_protein	2ylc_ligand	235.595093	56.887335	414.143311	19723.380859	19666.333984
2yxj_protein	2yxj_ligand	607.424011	61.271624	991.362671	8243.633789	8020.148438
2z4o_protein	2z4o_ligand	560.981110	79.172339	708.556946	10501.546875	10088.141602
