Receptor	Ligand	DSX_Score_pK	PCS	tors_score	sas_score	hb_scor
2o4n_protein	2o4n_ligand	-204.338	-0.199	0.000	0.000	0.000	
2o4k_protein	2o4k_ligand	-242.633	-0.221	0.000	0.000	0.000	
2jke_protein	2jke_ligand	-50.229	-0.142	0.000	0.000	0.000	
2o4j_protein	2o4j_ligand	-180.573	-0.232	0.000	0.000	0.000	
2nsj_protein	2nsj_ligand	-117.210	-0.183	0.000	0.000	0.000	
2o4r_protein	2o4r_ligand	-173.630	-0.231	0.000	0.000	0.000	
2oax_protein	2oax_ligand	-157.387	-0.213	0.000	0.000	0.000	
2jfz_protein	2jfz_ligand	-147.279	-0.207	0.000	0.000	0.000	
2nsl_protein	2nsl_ligand	-117.671	-0.198	0.000	0.000	0.000	
2jh0_protein	2jh0_ligand	-126.612	-0.176	0.000	0.000	0.000	
2j75_protein	2j75_ligand	-90.431	-0.218	0.000	0.000	0.000	
2jkp_protein	2jkp_ligand	-61.485	-0.153	0.000	0.000	0.000	
2oi2_protein	2oi2_ligand	-66.788	-0.142	0.000	0.000	0.000	
2oag_protein	2oag_ligand	-132.320	-0.183	0.000	0.000	0.000	
2ojg_protein	2ojg_ligand	-104.201	-0.192	0.000	0.000	0.000	
2oym_protein	2oym_ligand	-103.045	-0.175	0.000	0.000	0.000	
2oxy_protein	2oxy_ligand	-45.609	-0.177	0.000	0.000	0.000	
2oxd_protein	2oxd_ligand	-52.680	-0.163	0.000	0.000	0.000	
2oxn_protein	2oxn_ligand	-52.610	-0.150	0.000	0.000	0.000	
2ogy_protein	2ogy_ligand	-91.523	-0.154	0.000	0.000	0.000	
2ojj_protein	2ojj_ligand	-128.219	-0.184	0.000	0.000	0.000	
2p3i_protein	2p3i_ligand	-88.902	-0.244	0.000	0.000	0.000	
2on6_protein	2on6_ligand	-89.658	-0.149	0.000	0.000	0.000	
2p4j_protein	2p4j_ligand	-260.405	-0.201	0.000	0.000	0.000	
2nt7_protein	2nt7_ligand	-137.750	-0.160	0.000	0.000	0.000	
2p3b_protein	2p3b_ligand	-245.547	-0.207	0.000	0.000	0.000	
2p3a_protein	2p3a_ligand	-273.010	-0.213	0.000	0.000	0.000	
2o0u_protein	2o0u_ligand	-164.955	-0.231	0.000	0.000	0.000	
2ole_protein	2ole_ligand	-80.102	-0.138	0.000	0.000	0.000	
2p3c_protein	2p3c_ligand	-277.444	-0.209	0.000	0.000	0.000	
2oxx_protein	2oxx_ligand	-54.373	-0.178	0.000	0.000	0.000	
2p7z_protein	2p7z_ligand	-145.289	-0.207	0.000	0.000	0.000	
2oiq_protein	2oiq_ligand	-178.908	-0.209	0.000	0.000	0.000	
2p4s_protein	2p4s_ligand	-116.211	-0.187	0.000	0.000	0.000	
2p4y_protein	2p4y_ligand	-182.921	-0.201	0.000	0.000	0.000	
2p2a_protein	2p2a_ligand	-143.955	-0.165	0.000	0.000	0.000	
2p16_protein	2p16_ligand	-175.521	-0.191	0.000	0.000	0.000	
2pcp_protein	2pcp_ligand	-115.959	-0.193	0.000	0.000	0.000	
2pk5_protein	2pk5_ligand	-272.605	-0.205	0.000	0.000	0.000	
2pk6_protein	2pk6_ligand	-256.257	-0.208	0.000	0.000	0.000	
2pq9_protein	2pq9_ligand	-135.406	-0.167	0.000	0.000	0.000	
2pgz_protein	2pgz_ligand	-119.781	-0.203	0.000	0.000	0.000	
2pql_protein	2pql_ligand	-85.710	-0.192	0.000	0.000	0.000	
2pbw_protein	2pbw_ligand	-125.278	-0.208	0.000	0.000	0.000	
2pqz_protein	2pqz_ligand	-191.472	-0.222	0.000	0.000	0.000	
2p95_protein	2p95_ligand	-153.468	-0.189	0.000	0.000	0.000	
2pqc_protein	2pqc_ligand	-91.128	-0.131	0.000	0.000	0.000	
2psv_protein	2psv_ligand	-183.990	-0.228	0.000	0.000	0.000	
2pog_protein	2pog_ligand	-114.617	-0.215	0.000	0.000	0.000	
2pv1_protein	2pv1_ligand	-178.018	-0.200	0.000	0.000	0.000	
2pvl_protein	2pvl_ligand	-124.746	-0.204	0.000	0.000	0.000	
2p7a_protein	2p7a_ligand	-51.718	-0.181	0.000	0.000	0.000	
2ot1_protein	2ot1_ligand	-54.230	-0.137	0.000	0.000	0.000	
2olb_protein	2olb_ligand	-192.599	-0.217	0.000	0.000	0.000	
2p7g_protein	2p7g_ligand	-102.804	-0.206	0.000	0.000	0.000	
2p15_protein	2p15_ligand	-179.630	-0.230	0.000	0.000	0.000	
2pvk_protein	2pvk_ligand	-127.083	-0.189	0.000	0.000	0.000	
2psu_protein	2psu_ligand	-195.355	-0.227	0.000	0.000	0.000	
2pvh_protein	2pvh_ligand	-110.224	-0.193	0.000	0.000	0.000	
2py4_protein	2py4_ligand	-177.002	-0.179	0.000	0.000	0.000	
2pyy_protein	2pyy_ligand	-65.874	-0.190	0.000	0.000	0.000	
2pvj_protein	2pvj_ligand	-125.992	-0.199	0.000	0.000	0.000	
2q5k_protein	2q5k_ligand	-237.945	-0.221	0.000	0.000	0.000	
2pu2_protein	2pu2_ligand	-80.261	-0.164	0.000	0.000	0.000	
2pvm_protein	2pvm_ligand	-109.123	-0.192	0.000	0.000	0.000	
2pvu_protein	2pvu_ligand	-80.978	-0.198	0.000	0.000	0.000	
2pwr_protein	2pwr_ligand	-217.185	-0.194	0.000	0.000	0.000	
2q64_protein	2q64_ligand	-191.296	-0.208	0.000	0.000	0.000	
2q54_protein	2q54_ligand	-214.511	-0.217	0.000	0.000	0.000	
2pwg_protein	2pwg_ligand	-73.714	-0.168	0.000	0.000	0.000	
2q63_protein	2q63_ligand	-191.722	-0.207	0.000	0.000	0.000	
2q6f_protein	2q6f_ligand	-212.927	-0.195	0.000	0.000	0.000	
2qbq_protein	2qbq_ligand	-118.258	-0.184	0.000	0.000	0.000	
2q7q_protein	2q7q_ligand	-64.865	-0.194	0.000	0.000	0.000	
2pyn_protein	2pyn_ligand	-189.117	-0.208	0.000	0.000	0.000	
2pwd_protein	2pwd_ligand	-53.518	-0.137	0.000	0.000	0.000	
2q2a_protein	2q2a_ligand	-100.859	-0.197	0.000	0.000	0.000	
2q8z_protein	2q8z_ligand	-100.219	-0.157	0.000	0.000	0.000	
2q55_protein	2q55_ligand	-241.596	-0.220	0.000	0.000	0.000	
2qbu_protein	2qbu_ligand	-166.983	-0.197	0.000	0.000	0.000	
2qbr_protein	2qbr_ligand	-112.430	-0.174	0.000	0.000	0.000	
2qi0_protein	2qi0_ligand	-214.151	-0.213	0.000	0.000	0.000	
2qbp_protein	2qbp_ligand	-132.887	-0.164	0.000	0.000	0.000	
2qbw_protein	2qbw_ligand	-255.530	-0.192	0.000	0.000	0.000	
2qd6_protein	2qd6_ligand	-204.776	-0.212	0.000	0.000	0.000	
2qhz_protein	2qhz_ligand	-189.745	-0.200	0.000	0.000	0.000	
2qd7_protein	2qd7_ligand	-200.833	-0.213	0.000	0.000	0.000	
2pwc_protein	2pwc_ligand	-193.836	-0.211	0.000	0.000	0.000	
2qi4_protein	2qi4_ligand	-202.127	-0.211	0.000	0.000	0.000	
2qi3_protein	2qi3_ligand	-172.133	-0.216	0.000	0.000	0.000	
2qbs_protein	2qbs_ligand	-122.991	-0.194	0.000	0.000	0.000	
2qe4_protein	2qe4_ligand	-124.571	-0.218	0.000	0.000	0.000	
2qci_protein	2qci_ligand	-212.136	-0.214	0.000	0.000	0.000	
2qg2_protein	2qg2_ligand	-103.039	-0.168	0.000	0.000	0.000	
2qpq_protein	2qpq_ligand	-47.774	-0.126	0.000	0.000	0.000	
2qnp_protein	2qnp_ligand	-195.373	-0.220	0.000	0.000	0.000	
2qd8_protein	2qd8_ligand	-195.655	-0.203	0.000	0.000	0.000	
2qi6_protein	2qi6_ligand	-195.556	-0.208	0.000	0.000	0.000	
2qi5_protein	2qi5_ligand	-205.039	-0.221	0.000	0.000	0.000	
2qm9_protein	2qm9_ligand	-106.611	-0.155	0.000	0.000	0.000	
2qpu_protein	2qpu_ligand	-66.977	-0.157	0.000	0.000	0.000	
2qg0_protein	2qg0_ligand	-88.255	-0.151	0.000	0.000	0.000	
2qu6_protein	2qu6_ligand	-174.982	-0.192	0.000	0.000	0.000	
2qtt_protein	2qtt_ligand	-109.817	-0.170	0.000	0.000	0.000	
2pqb_protein	2pqb_ligand	-127.909	-0.163	0.000	0.000	0.000	
2qnq_protein	2qnq_ligand	-175.324	-0.195	0.000	0.000	0.000	
2qtg_protein	2qtg_ligand	-101.675	-0.172	0.000	0.000	0.000	
2qhy_protein	2qhy_ligand	-198.186	-0.216	0.000	0.000	0.000	
2qrl_protein	2qrl_ligand	-48.041	-0.209	0.000	0.000	0.000	
2qi7_protein	2qi7_ligand	-170.857	-0.204	0.000	0.000	0.000	
2qnn_protein	2qnn_ligand	-224.637	-0.190	0.000	0.000	0.000	
2r0h_protein	2r0h_ligand	-93.780	-0.186	0.000	0.000	0.000	
2r2m_protein	2r2m_ligand	-155.486	-0.209	0.000	0.000	0.000	
2r2w_protein	2r2w_ligand	-106.706	-0.174	0.000	0.000	0.000	
2qta_protein	2qta_ligand	-138.864	-0.176	0.000	0.000	0.000	
2r3w_protein	2r3w_ligand	-201.553	-0.218	0.000	0.000	0.000	
2qwd_protein	2qwd_ligand	-67.385	-0.161	0.000	0.000	0.000	
2qi1_protein	2qi1_ligand	-204.810	-0.211	0.000	0.000	0.000	
2qtn_protein	2qtn_ligand	-79.513	-0.168	0.000	0.000	0.000	
2r5p_protein	2r5p_ligand	-233.364	-0.214	0.000	0.000	0.000	
2r9w_protein	2r9w_ligand	-87.469	-0.163	0.000	0.000	0.000	
2r0z_protein	2r0z_ligand	-183.997	-0.178	0.000	0.000	0.000	
2r43_protein	2r43_ligand	-194.123	-0.220	0.000	0.000	0.000	
2r3t_protein	2r3t_ligand	-205.565	-0.199	0.000	0.000	0.000	
2qwb_protein	2qwb_ligand	-63.718	-0.152	0.000	0.000	0.000	
2r38_protein	2r38_ligand	-215.504	-0.204	0.000	0.000	0.000	
2r75_protein	2r75_ligand	-168.570	-0.187	0.000	0.000	0.000	
2r9x_protein	2r9x_ligand	-82.504	-0.172	0.000	0.000	0.000	
2reg_protein	2reg_ligand	-54.661	-0.182	0.000	0.000	0.000	
2qw1_protein	2qw1_ligand	-38.650	-0.183	0.000	0.000	0.000	
2qrk_protein	2qrk_ligand	-102.696	-0.206	0.000	0.000	0.000	
2qmg_protein	2qmg_ligand	-229.622	-0.206	0.000	0.000	0.000	
2r58_protein	2r58_ligand	-33.769	-0.151	0.000	0.000	0.000	
2r5a_protein	2r5a_ligand	-36.210	-0.187	0.000	0.000	0.000	
2rcb_protein	2rcb_ligand	-46.440	-0.151	0.000	0.000	0.000	
2rkf_protein	2rkf_ligand	-209.311	-0.214	0.000	0.000	0.000	
2rkg_protein	2rkg_ligand	-205.128	-0.211	0.000	0.000	0.000	
2qwe_protein	2qwe_ligand	-88.860	-0.168	0.000	0.000	0.000	
2rio_protein	2rio_ligand	-102.730	-0.166	0.000	0.000	0.000	
2rka_protein	2rka_ligand	-14.384	-0.057	0.000	0.000	0.000	
2qwc_protein	2qwc_ligand	-65.730	-0.151	0.000	0.000	0.000	
2qwf_protein	2qwf_ligand	-95.559	-0.178	0.000	0.000	0.000	
2ra0_protein	2ra0_ligand	-191.177	-0.180	0.000	0.000	0.000	
2rin_protein	2rin_ligand	-34.059	-0.086	0.000	0.000	0.000	
2rkm_protein	2rkm_ligand	-117.566	-0.202	0.000	0.000	0.000	
2sim_protein	2sim_ligand	-65.988	-0.148	0.000	0.000	0.000	
2ri9_protein	2ri9_ligand	-41.664	-0.177	0.000	0.000	0.000	
2uwp_protein	2uwp_ligand	-152.169	-0.205	0.000	0.000	0.000	
2uwd_protein	2uwd_ligand	-124.615	-0.184	0.000	0.000	0.000	
2tpi_protein	2tpi_ligand	-114.085	-0.220	0.000	0.000	0.000	
2rd6_protein	2rd6_ligand	-91.438	-0.177	0.000	0.000	0.000	
2uwl_protein	2uwl_ligand	-151.579	-0.204	0.000	0.000	0.000	
2rkd_protein	2rkd_ligand	-21.679	-0.084	0.000	0.000	0.000	
2rke_protein	2rke_ligand	-28.305	-0.098	0.000	0.000	0.000	
2std_protein	2std_ligand	-92.570	-0.200	0.000	0.000	0.000	
2rk8_protein	2rk8_ligand	-14.037	-0.063	0.000	0.000	0.000	
2v2q_protein	2v2q_ligand	-103.420	-0.183	0.000	0.000	0.000	
2uy4_protein	2uy4_ligand	-54.673	-0.160	0.000	0.000	0.000	
2uy5_protein	2uy5_ligand	-88.876	-0.163	0.000	0.000	0.000	
2uwo_protein	2uwo_ligand	-157.587	-0.197	0.000	0.000	0.000	
2uy3_protein	2uy3_ligand	-56.099	-0.148	0.000	0.000	0.000	
2uy0_protein	2uy0_ligand	-259.046	-0.221	0.000	0.000	0.000	
2v00_protein	2v00_ligand	-77.017	-0.192	0.000	0.000	0.000	
2v54_protein	2v54_ligand	-100.359	-0.138	0.000	0.000	0.000	
2uxi_protein	2uxi_ligand	-61.710	-0.160	0.000	0.000	0.000	
2v2c_protein	2v2c_ligand	-51.289	-0.151	0.000	0.000	0.000	
2v2v_protein	2v2v_ligand	-103.315	-0.181	0.000	0.000	0.000	
2v57_protein	2v57_ligand	-72.974	-0.158	0.000	0.000	0.000	
2v7a_protein	2v7a_ligand	-149.987	-0.210	0.000	0.000	0.000	
2v8w_protein	2v8w_ligand	-83.680	-0.169	0.000	0.000	0.000	
2v3d_protein	2v3d_ligand	-75.042	-0.160	0.000	0.000	0.000	
2uyn_protein	2uyn_ligand	-43.366	-0.155	0.000	0.000	0.000	
2vb8_protein	2vb8_ligand	-68.304	-0.159	0.000	0.000	0.000	
2v58_protein	2v58_ligand	-75.306	-0.162	0.000	0.000	0.000	
2v3u_protein	2v3u_ligand	-61.265	-0.191	0.000	0.000	0.000	
2vh0_protein	2vh0_ligand	-179.557	-0.204	0.000	0.000	0.000	
2vfk_protein	2vfk_ligand	-74.038	-0.183	0.000	0.000	0.000	
2v59_protein	2v59_ligand	-85.913	-0.162	0.000	0.000	0.000	
2vh6_protein	2vh6_ligand	-161.814	-0.183	0.000	0.000	0.000	
2vc9_protein	2vc9_ligand	-71.882	-0.161	0.000	0.000	0.000	
2vk2_protein	2vk2_ligand	-64.306	-0.128	0.000	0.000	0.000	
2v95_protein	2v95_ligand	-133.938	-0.223	0.000	0.000	0.000	
2vkm_protein	2vkm_ligand	-229.076	-0.177	0.000	0.000	0.000	
2vk6_protein	2vk6_ligand	-85.294	-0.160	0.000	0.000	0.000	
2vhj_protein	2vhj_ligand	-91.787	-0.120	0.000	0.000	0.000	
2vmc_protein	2vmc_ligand	-40.314	-0.152	0.000	0.000	0.000	
2uxz_protein	2uxz_ligand	-235.787	-0.212	0.000	0.000	0.000	
2vpn_protein	2vpn_ligand	-76.715	-0.193	0.000	0.000	0.000	
2vba_protein	2vba_ligand	-75.829	-0.164	0.000	0.000	0.000	
2vjx_protein	2vjx_ligand	-75.456	-0.176	0.000	0.000	0.000	
2uyq_protein	2uyq_ligand	-85.182	-0.214	0.000	0.000	0.000	
2v2h_protein	2v2h_ligand	-63.698	-0.187	0.000	0.000	0.000	
2vo4_protein	2vo4_ligand	-41.012	-0.165	0.000	0.000	0.000	
2vnt_protein	2vnt_ligand	-114.992	-0.166	0.000	0.000	0.000	
2vl4_protein	2vl4_ligand	-77.322	-0.180	0.000	0.000	0.000	
2vmf_protein	2vmf_ligand	-79.724	-0.153	0.000	0.000	0.000	
2vpo_protein	2vpo_ligand	-79.779	-0.186	0.000	0.000	0.000	
2vt3_protein	2vt3_ligand	-124.776	-0.207	0.000	0.000	0.000	
2vvv_protein	2vvv_ligand	-155.038	-0.172	0.000	0.000	0.000	
2vvs_protein	2vvs_ligand	-104.554	-0.169	0.000	0.000	0.000	
2vvu_protein	2vvu_ligand	-171.012	-0.194	0.000	0.000	0.000	
2vvc_protein	2vvc_ligand	-181.530	-0.189	0.000	0.000	0.000	
2vwc_protein	2vwc_ligand	-113.957	-0.177	0.000	0.000	0.000	
2vot_protein	2vot_ligand	-100.699	-0.148	0.000	0.000	0.000	
2vzr_protein	2vzr_ligand	-40.628	-0.143	0.000	0.000	0.000	
2vwl_protein	2vwl_ligand	-175.984	-0.191	0.000	0.000	0.000	
2vyt_protein	2vyt_ligand	-28.805	-0.150	0.000	0.000	0.000	
2vwn_protein	2vwn_ligand	-167.451	-0.182	0.000	0.000	0.000	
2vw1_protein	2vw1_ligand	-73.953	-0.144	0.000	0.000	0.000	
2vwm_protein	2vwm_ligand	-196.014	-0.194	0.000	0.000	0.000	
2w9h_protein	2w9h_ligand	-85.531	-0.176	0.000	0.000	0.000	
2vxn_protein	2vxn_ligand	-65.759	-0.178	0.000	0.000	0.000	
2vqt_protein	2vqt_ligand	-86.022	-0.162	0.000	0.000	0.000	
2vwo_protein	2vwo_ligand	-170.895	-0.185	0.000	0.000	0.000	
2w47_protein	2w47_ligand	-52.268	-0.170	0.000	0.000	0.000	
2w8y_protein	2w8y_ligand	-156.090	-0.182	0.000	0.000	0.000	
2w4x_protein	2w4x_ligand	-85.865	-0.189	0.000	0.000	0.000	
2vw2_protein	2vw2_ligand	-57.486	-0.172	0.000	0.000	0.000	
2w26_protein	2w26_ligand	-142.954	-0.175	0.000	0.000	0.000	
2vvn_protein	2vvn_ligand	-95.074	-0.167	0.000	0.000	0.000	
2w8w_protein	2w8w_ligand	-97.115	-0.146	0.000	0.000	0.000	
2w8j_protein	2w8j_ligand	-105.471	-0.167	0.000	0.000	0.000	
2w08_protein	2w08_ligand	-30.565	-0.135	0.000	0.000	0.000	
2vw5_protein	2vw5_ligand	-119.989	-0.188	0.000	0.000	0.000	
2we3_protein	2we3_ligand	-120.063	-0.201	0.000	0.000	0.000	
2wc4_protein	2wc4_ligand	-101.784	-0.169	0.000	0.000	0.000	
2wca_protein	2wca_ligand	-99.362	-0.184	0.000	0.000	0.000	
2wb5_protein	2wb5_ligand	-119.660	-0.186	0.000	0.000	0.000	
2w66_protein	2w66_ligand	-85.333	-0.162	0.000	0.000	0.000	
2w67_protein	2w67_ligand	-82.136	-0.174	0.000	0.000	0.000	
2wbg_protein	2wbg_ligand	-106.548	-0.176	0.000	0.000	0.000	
2wed_protein	2wed_ligand	-140.061	-0.177	0.000	0.000	0.000	
2wf5_protein	2wf5_ligand	-75.339	-0.136	0.000	0.000	0.000	
2web_protein	2web_ligand	-162.513	-0.189	0.000	0.000	0.000	
2wec_protein	2wec_ligand	-149.313	-0.214	0.000	0.000	0.000	
2vrj_protein	2vrj_ligand	-114.516	-0.166	0.000	0.000	0.000	
2wc3_protein	2wc3_ligand	-106.446	-0.174	0.000	0.000	0.000	
2w5g_protein	2w5g_ligand	-67.504	-0.145	0.000	0.000	0.000	
2vo5_protein	2vo5_ligand	-110.647	-0.186	0.000	0.000	0.000	
2wer_protein	2wer_ligand	-82.718	-0.151	0.000	0.000	0.000	
2weq_protein	2weq_ligand	-114.604	-0.169	0.000	0.000	0.000	
2whp_protein	2whp_ligand	-53.280	-0.107	0.000	0.000	0.000	
2wly_protein	2wly_ligand	-122.249	-0.194	0.000	0.000	0.000	
2wl0_protein	2wl0_ligand	-242.695	-0.209	0.000	0.000	0.000	
2wky_protein	2wky_ligand	-98.947	-0.182	0.000	0.000	0.000	
2wtv_protein	2wtv_ligand	-140.871	-0.189	0.000	0.000	0.000	
2wlz_protein	2wlz_ligand	-121.492	-0.186	0.000	0.000	0.000	
2wgj_protein	2wgj_ligand	-135.187	-0.193	0.000	0.000	0.000	
2wyf_protein	2wyf_ligand	-75.769	-0.199	0.000	0.000	0.000	
2wjg_protein	2wjg_ligand	-125.812	-0.195	0.000	0.000	0.000	
2wyg_protein	2wyg_ligand	-162.509	-0.211	0.000	0.000	0.000	
2wvt_protein	2wvt_ligand	-67.727	-0.159	0.000	0.000	0.000	
2wm0_protein	2wm0_ligand	-174.688	-0.193	0.000	0.000	0.000	
2wnj_protein	2wnj_ligand	-116.244	-0.182	0.000	0.000	0.000	
2wyj_protein	2wyj_ligand	-156.167	-0.206	0.000	0.000	0.000	
2wr8_protein	2wr8_ligand	-179.676	-0.192	0.000	0.000	0.000	
2wkz_protein	2wkz_ligand	-252.057	-0.221	0.000	0.000	0.000	
2wk6_protein	2wk6_ligand	-40.443	-0.137	0.000	0.000	0.000	
2wzm_protein	2wzm_ligand	-175.152	-0.189	0.000	0.000	0.000	
2wn9_protein	2wn9_ligand	-90.659	-0.193	0.000	0.000	0.000	
2wvz_protein	2wvz_ligand	-68.683	-0.146	0.000	0.000	0.000	
2xbx_protein	2xbx_ligand	-185.610	-0.185	0.000	0.000	0.000	
2x0y_protein	2x0y_ligand	-95.463	-0.187	0.000	0.000	0.000	
2xab_protein	2xab_ligand	-104.117	-0.189	0.000	0.000	0.000	
2wzf_protein	2wzf_ligand	-127.355	-0.176	0.000	0.000	0.000	
2wnc_protein	2wnc_ligand	-98.849	-0.204	0.000	0.000	0.000	
2xb7_protein	2xb7_ligand	-144.083	-0.200	0.000	0.000	0.000	
2x00_protein	2x00_ligand	-152.198	-0.212	0.000	0.000	0.000	
2xbp_protein	2xbp_ligand	-173.983	-0.183	0.000	0.000	0.000	
2x4z_protein	2x4z_ligand	-150.960	-0.209	0.000	0.000	0.000	
2xb8_protein	2xb8_ligand	-124.212	-0.170	0.000	0.000	0.000	
2wzs_protein	2wzs_ligand	-55.794	-0.136	0.000	0.000	0.000	
2xbv_protein	2xbv_ligand	-186.288	-0.180	0.000	0.000	0.000	
2xde_protein	2xde_ligand	-115.971	-0.210	0.000	0.000	0.000	
2xc4_protein	2xc4_ligand	-197.191	-0.190	0.000	0.000	0.000	
2xdx_protein	2xdx_ligand	-65.310	-0.159	0.000	0.000	0.000	
2xbw_protein	2xbw_ligand	-189.927	-0.183	0.000	0.000	0.000	
2xdk_protein	2xdk_ligand	-55.306	-0.176	0.000	0.000	0.000	
2xht_protein	2xht_ligand	-78.544	-0.166	0.000	0.000	0.000	
2xda_protein	2xda_ligand	-146.935	-0.215	0.000	0.000	0.000	
2xc0_protein	2xc0_ligand	-190.058	-0.175	0.000	0.000	0.000	
2xjg_protein	2xjg_ligand	-112.378	-0.205	0.000	0.000	0.000	
2x6x_protein	2x6x_ligand	-114.672	-0.182	0.000	0.000	0.000	
2xj2_protein	2xj2_ligand	-119.763	-0.210	0.000	0.000	0.000	
2xjx_protein	2xjx_ligand	-105.522	-0.189	0.000	0.000	0.000	
2xii_protein	2xii_ligand	-110.590	-0.162	0.000	0.000	0.000	
2xj1_protein	2xj1_ligand	-109.700	-0.179	0.000	0.000	0.000	
2xjj_protein	2xjj_ligand	-106.832	-0.191	0.000	0.000	0.000	
2xm1_protein	2xm1_ligand	-91.591	-0.182	0.000	0.000	0.000	
2xp7_protein	2xp7_ligand	-65.893	-0.161	0.000	0.000	0.000	
2xn3_protein	2xn3_ligand	-86.556	-0.188	0.000	0.000	0.000	
2xog_protein	2xog_ligand	-120.704	-0.185	0.000	0.000	0.000	
2xmy_protein	2xmy_ligand	-107.757	-0.159	0.000	0.000	0.000	
2xnb_protein	2xnb_ligand	-123.734	-0.190	0.000	0.000	0.000	
2xdl_protein	2xdl_ligand	-79.379	-0.184	0.000	0.000	0.000	
2xye_protein	2xye_ligand	-233.121	-0.213	0.000	0.000	0.000	
2xyf_protein	2xyf_ligand	-239.143	-0.226	0.000	0.000	0.000	
2xxt_protein	2xxt_ligand	-91.683	-0.206	0.000	0.000	0.000	
2xm2_protein	2xm2_ligand	-94.486	-0.185	0.000	0.000	0.000	
2xd9_protein	2xd9_ligand	-119.874	-0.193	0.000	0.000	0.000	
2xxr_protein	2xxr_ligand	-74.586	-0.212	0.000	0.000	0.000	
2xib_protein	2xib_ligand	-67.723	-0.184	0.000	0.000	0.000	
2y5h_protein	2y5h_ligand	-147.261	-0.205	0.000	0.000	0.000	
2xn5_protein	2xn5_ligand	-87.805	-0.149	0.000	0.000	0.000	
2y5g_protein	2y5g_ligand	-161.755	-0.207	0.000	0.000	0.000	
2xxx_protein	2xxx_ligand	-74.302	-0.208	0.000	0.000	0.000	
2y7x_protein	2y7x_ligand	-159.358	-0.186	0.000	0.000	0.000	
2xj7_protein	2xj7_ligand	-91.096	-0.174	0.000	0.000	0.000	
2xys_protein	2xys_ligand	-116.989	-0.217	0.000	0.000	0.000	
2y80_protein	2y80_ligand	-170.133	-0.197	0.000	0.000	0.000	
2ya6_protein	2ya6_ligand	-87.147	-0.164	0.000	0.000	0.000	
2xpk_protein	2xpk_ligand	-154.625	-0.194	0.000	0.000	0.000	
2y81_protein	2y81_ligand	-175.371	-0.191	0.000	0.000	0.000	
2ya7_protein	2ya7_ligand	-98.377	-0.163	0.000	0.000	0.000	
2ya8_protein	2ya8_ligand	-80.650	-0.184	0.000	0.000	0.000	
2y82_protein	2y82_ligand	-170.677	-0.191	0.000	0.000	0.000	
2yek_protein	2yek_ligand	-104.224	-0.196	0.000	0.000	0.000	
2ydw_protein	2ydw_ligand	-111.293	-0.206	0.000	0.000	0.000	
2xyt_protein	2xyt_ligand	-122.245	-0.153	0.000	0.000	0.000	
2yb0_protein	2yb0_ligand	-106.038	-0.197	0.000	0.000	0.000	
2xg9_protein	2xg9_ligand	-74.855	-0.175	0.000	0.000	0.000	
2x2r_protein	2x2r_ligand	-136.628	-0.229	0.000	0.000	0.000	
2yel_protein	2yel_ligand	-115.299	-0.211	0.000	0.000	0.000	
2yi0_protein	2yi0_ligand	-97.047	-0.170	0.000	0.000	0.000	
2yaz_protein	2yaz_ligand	-124.242	-0.191	0.000	0.000	0.000	
2yi7_protein	2yi7_ligand	-97.615	-0.174	0.000	0.000	0.000	
2yfe_protein	2yfe_ligand	-107.861	-0.199	0.000	0.000	0.000	
2yix_protein	2yix_ligand	-160.723	-0.207	0.000	0.000	0.000	
2yfx_protein	2yfx_ligand	-113.217	-0.192	0.000	0.000	0.000	
2ygf_protein	2ygf_ligand	-116.807	-0.170	0.000	0.000	0.000	
2yge_protein	2yge_ligand	-103.186	-0.163	0.000	0.000	0.000	
2y5f_protein	2y5f_ligand	-166.224	-0.205	0.000	0.000	0.000	
2y7z_protein	2y7z_ligand	-174.137	-0.200	0.000	0.000	0.000	
2yay_protein	2yay_ligand	-132.190	-0.154	0.000	0.000	0.000	
2ydt_protein	2ydt_ligand	-104.782	-0.210	0.000	0.000	0.000	
2yxj_protein	2yxj_ligand	-190.170	-0.193	0.000	0.000	0.000	
2zc9_protein	2zc9_ligand	-157.268	-0.220	0.000	0.000	0.000	
2yki_protein	2yki_ligand	-181.756	-0.193	0.000	0.000	0.000	
2z4o_protein	2z4o_ligand	-201.874	-0.203	0.000	0.000	0.000	
2yk1_protein	2yk1_ligand	-74.747	-0.173	0.000	0.000	0.000	
2zcs_protein	2zcs_ligand	-94.375	-0.153	0.000	0.000	0.000	
2ypi_protein	2ypi_ligand	-44.530	-0.133	0.000	0.000	0.000	
2zb1_protein	2zb1_ligand	-141.361	-0.201	0.000	0.000	0.000	
2ylc_protein	2ylc_ligand	-93.250	-0.210	0.000	0.000	0.000	
2zdl_protein	2zdl_ligand	-147.085	-0.211	0.000	0.000	0.000	
2zdm_protein	2zdm_ligand	-148.549	-0.206	0.000	0.000	0.000	
2za5_protein	2za5_ligand	-173.688	-0.218	0.000	0.000	0.000	
2zcq_protein	2zcq_ligand	-84.775	-0.144	0.000	0.000	0.000	
2yme_protein	2yme_ligand	-92.101	-0.199	0.000	0.000	0.000	
2zfs_protein	2zfs_ligand	-159.515	-0.220	0.000	0.000	0.000	
2ymd_protein	2ymd_ligand	-88.485	-0.183	0.000	0.000	0.000	
2zjw_protein	2zjw_ligand	-63.745	-0.145	0.000	0.000	0.000	
