Receptor	Ligand	DV20_Score_pK
2r3w_protein	2r3w_ligand	7.620000
2r5a_protein	2r5a_ligand	2.630000
2r0h_protein	2r0h_ligand	4.290000
2r5p_protein	2r5p_ligand	8.310000
2r9w_protein	2r9w_ligand	5.270000
2r43_protein	2r43_ligand	7.160000
2r38_protein	2r38_ligand	7.460000
2qta_protein	2qta_ligand	7.150000
2r58_protein	2r58_ligand	2.900000
2r9x_protein	2r9x_ligand	4.950000
2r75_protein	2r75_ligand	5.970000
2r23_protein	2r23_ligand	2.710000
2qwb_protein	2qwb_ligand	4.110000
2ra0_protein	2ra0_ligand	7.550000
2ra6_protein	2ra6_ligand	5.190000
2qwc_protein	2qwc_ligand	3.780000
2qwd_protein	2qwd_ligand	4.450000
2r59_protein	2r59_ligand	7.910000
2qwe_protein	2qwe_ligand	5.910000
2qwf_protein	2qwf_ligand	6.440000
2rcb_protein	2rcb_ligand	5.500000
2rcn_protein	2rcn_ligand	6.170000
2reg_protein	2reg_ligand	3.810000
2rfh_protein	2rfh_ligand	4.870000
2rin_protein	2rin_ligand	2.230000
2ri9_protein	2ri9_ligand	3.390000
2rkf_protein	2rkf_ligand	9.090000
2rkg_protein	2rkg_ligand	8.540000
2rka_protein	2rka_ligand	3.200000
2rk8_protein	2rk8_ligand	4.020000
2rkd_protein	2rkd_ligand	2.580000
2sim_protein	2sim_ligand	4.650000
2rke_protein	2rke_ligand	4.020000
2usn_protein	2usn_ligand	5.410000
2rkm_protein	2rkm_ligand	5.660000
2tpi_protein	2tpi_ligand	5.270000
2rio_protein	2rio_ligand	3.510000
2std_protein	2std_ligand	7.990000
2uwd_protein	2uwd_ligand	7.420000
2uwl_protein	2uwl_ligand	6.500000
2uwo_protein	2uwo_ligand	7.020000
2tmn_protein	2tmn_ligand	4.020000
2uwp_protein	2uwp_ligand	6.200000
2uy0_protein	2uy0_ligand	8.840000
2uxz_protein	2uxz_ligand	8.660000
2uy3_protein	2uy3_ligand	4.930000
2uy4_protein	2uy4_ligand	4.300000
2uxi_protein	2uxi_ligand	4.740000
2uy5_protein	2uy5_ligand	5.280000
2uyq_protein	2uyq_ligand	4.850000
2uyn_protein	2uyn_ligand	3.500000
2v00_protein	2v00_ligand	5.750000
2v2v_protein	2v2v_ligand	4.800000
2v2q_protein	2v2q_ligand	4.770000
2v2c_protein	2v2c_ligand	3.360000
2v3u_protein	2v3u_ligand	4.560000
2v7a_protein	2v7a_ligand	7.270000
2v25_protein	2v25_ligand	5.490000
2v3d_protein	2v3d_ligand	4.980000
2uz9_protein	2uz9_ligand	6.130000
2v2h_protein	2v2h_ligand	3.880000
2v8w_protein	2v8w_ligand	4.960000
2v57_protein	2v57_ligand	5.960000
2v54_protein	2v54_ligand	5.890000
2v58_protein	2v58_ligand	8.330000
2v88_protein	2v88_ligand	4.890000
2rd6_protein	2rd6_ligand	6.900000
2v59_protein	2v59_ligand	7.000000
2v77_protein	2v77_ligand	5.020000
2v95_protein	2v95_ligand	8.210000
2vfk_protein	2vfk_ligand	3.860000
2vh0_protein	2vh0_ligand	7.840000
2vh6_protein	2vh6_ligand	8.670000
2vk2_protein	2vk2_ligand	6.020000
2vb8_protein	2vb8_ligand	5.220000
2vba_protein	2vba_ligand	5.210000
2vkm_protein	2vkm_ligand	8.100000
2vk6_protein	2vk6_ligand	4.950000
2vj8_protein	2vj8_ligand	8.130000
2vc9_protein	2vc9_ligand	5.010000
2ves_protein	2ves_ligand	7.810000
2vmc_protein	2vmc_ligand	3.140000
2vnp_protein	2vnp_ligand	6.420000
2vjx_protein	2vjx_ligand	4.980000
2vnt_protein	2vnt_ligand	7.390000
2vl4_protein	2vl4_ligand	5.860000
2vmd_protein	2vmd_ligand	3.210000
2vpe_protein	2vpe_ligand	5.130000
2vo4_protein	2vo4_ligand	3.530000
2vpn_protein	2vpn_ligand	5.670000
2vpo_protein	2vpo_ligand	5.500000
2vsl_protein	2vsl_ligand	5.660000
2vmf_protein	2vmf_ligand	5.520000
2vuk_protein	2vuk_ligand	4.850000
2vrj_protein	2vrj_ligand	4.780000
2vvc_protein	2vvc_ligand	8.210000
2vt3_protein	2vt3_ligand	4.470000
2vo5_protein	2vo5_ligand	7.650000
2vhj_protein	2vhj_ligand	2.950000
2vot_protein	2vot_ligand	6.280000
2vvu_protein	2vvu_ligand	8.320000
2vqt_protein	2vqt_ligand	5.360000
2vvv_protein	2vvv_ligand	8.690000
2vw5_protein	2vw5_ligand	7.460000
2vwc_protein	2vwc_ligand	6.530000
2vvn_protein	2vvn_ligand	5.510000
2vvs_protein	2vvs_ligand	6.970000
2vwl_protein	2vwl_ligand	7.900000
2vwm_protein	2vwm_ligand	7.840000
2vwo_protein	2vwo_ligand	8.200000
2vwn_protein	2vwn_ligand	8.080000
2vzr_protein	2vzr_ligand	4.220000
2vw1_protein	2vw1_ligand	4.940000
2vyt_protein	2vyt_ligand	2.520000
2vw2_protein	2vw2_ligand	4.330000
2w5g_protein	2w5g_ligand	4.220000
2vxn_protein	2vxn_ligand	4.280000
2w8y_protein	2w8y_ligand	8.470000
2w9h_protein	2w9h_ligand	6.020000
2w4x_protein	2w4x_ligand	4.760000
2w47_protein	2w47_ligand	4.330000
2w26_protein	2w26_ligand	7.220000
2w8j_protein	2w8j_ligand	5.170000
2w8w_protein	2w8w_ligand	3.700000
2wc3_protein	2wc3_ligand	6.130000
2wc4_protein	2wc4_ligand	5.710000
2wb5_protein	2wb5_ligand	6.610000
2we3_protein	2we3_ligand	5.050000
2w66_protein	2w66_ligand	4.920000
2w67_protein	2w67_ligand	5.540000
2wca_protein	2wca_ligand	5.390000
2weg_protein	2weg_ligand	4.970000
2weh_protein	2weh_ligand	4.750000
2w08_protein	2w08_ligand	3.400000
2web_protein	2web_ligand	6.370000
2wec_protein	2wec_ligand	6.120000
2wbg_protein	2wbg_ligand	6.350000
2wej_protein	2wej_ligand	4.810000
2wed_protein	2wed_ligand	6.760000
2weo_protein	2weo_ligand	4.760000
2wf5_protein	2wf5_ligand	5.470000
2wjg_protein	2wjg_ligand	6.210000
2wgj_protein	2wgj_ligand	8.610000
2weq_protein	2weq_ligand	5.950000
2wer_protein	2wer_ligand	7.200000
2wl0_protein	2wl0_ligand	8.670000
2wkz_protein	2wkz_ligand	8.790000
2whp_protein	2whp_ligand	4.130000
2wky_protein	2wky_ligand	7.120000
2wor_protein	2wor_ligand	4.510000
2wm0_protein	2wm0_ligand	5.420000
2wlz_protein	2wlz_ligand	5.220000
2wos_protein	2wos_ligand	4.920000
2wly_protein	2wly_ligand	5.060000
2wk6_protein	2wk6_ligand	3.410000
2wq5_protein	2wq5_ligand	5.210000
2wtv_protein	2wtv_ligand	8.340000
2wyf_protein	2wyf_ligand	4.120000
2wuf_protein	2wuf_ligand	5.270000
2wr8_protein	2wr8_ligand	6.560000
2wyg_protein	2wyg_ligand	8.000000
2wn9_protein	2wn9_ligand	6.650000
2wzm_protein	2wzm_ligand	4.850000
2wyj_protein	2wyj_ligand	7.780000
2wnj_protein	2wnj_ligand	6.370000
2wnc_protein	2wnc_ligand	6.210000
2wvz_protein	2wvz_ligand	4.580000
2wvt_protein	2wvt_ligand	5.080000
2wzf_protein	2wzf_ligand	6.520000
2wzs_protein	2wzs_ligand	4.710000
2x4z_protein	2x4z_ligand	7.400000
2x7t_protein	2x7t_ligand	6.240000
2x7u_protein	2x7u_ligand	5.060000
2xab_protein	2xab_ligand	8.180000
2x2r_protein	2x2r_ligand	6.750000
2x8z_protein	2x8z_ligand	4.510000
2x00_protein	2x00_ligand	9.470000
2xb7_protein	2xb7_ligand	7.920000
2x0y_protein	2x0y_ligand	5.250000
2x91_protein	2x91_ligand	6.320000
2x96_protein	2x96_ligand	7.210000
2x95_protein	2x95_ligand	5.870000
2x97_protein	2x97_ligand	5.730000
2x09_protein	2x09_ligand	4.570000
2xbp_protein	2xbp_ligand	5.910000
2xbv_protein	2xbv_ligand	8.430000
2xbw_protein	2xbw_ligand	8.750000
2xbx_protein	2xbx_ligand	8.540000
2xde_protein	2xde_ligand	5.660000
2xc0_protein	2xc0_ligand	8.390000
2xc4_protein	2xc4_ligand	8.630000
2xdk_protein	2xdk_ligand	4.430000
2xdx_protein	2xdx_ligand	5.580000
2xdl_protein	2xdl_ligand	5.300000
2x6x_protein	2x6x_ligand	4.210000
2xg9_protein	2xg9_ligand	4.480000
2xht_protein	2xht_ligand	5.870000
2xj1_protein	2xj1_ligand	7.280000
2xj2_protein	2xj2_ligand	7.610000
2xib_protein	2xib_ligand	5.870000
2xii_protein	2xii_ligand	7.520000
2xhm_protein	2xhm_ligand	6.210000
2xb8_protein	2xb8_ligand	7.550000
2xjg_protein	2xjg_ligand	7.400000
2xjj_protein	2xjj_ligand	8.060000
2xjx_protein	2xjx_ligand	7.710000
2xef_protein	2xef_ligand	8.520000
2xeg_protein	2xeg_ligand	8.090000
2xmy_protein	2xmy_ligand	7.470000
2xej_protein	2xej_ligand	6.520000
2xei_protein	2xei_ligand	8.160000
2xn3_protein	2xn3_ligand	5.710000
2xda_protein	2xda_ligand	7.330000
2xog_protein	2xog_ligand	5.290000
2xd9_protein	2xd9_ligand	7.220000
2xn5_protein	2xn5_ligand	6.810000
2xnb_protein	2xnb_ligand	7.730000
2xm1_protein	2xm1_ligand	5.560000
2xp7_protein	2xp7_ligand	5.400000
2xm2_protein	2xm2_ligand	4.800000
2xj7_protein	2xj7_ligand	6.560000
2xye_protein	2xye_ligand	7.950000
2xxr_protein	2xxr_ligand	5.330000
2xyf_protein	2xyf_ligand	7.920000
2xxx_protein	2xxx_ligand	5.130000
2y5g_protein	2y5g_ligand	7.490000
2xxt_protein	2xxt_ligand	6.370000
2y5f_protein	2y5f_ligand	8.250000
2y5h_protein	2y5h_ligand	6.590000
2y7x_protein	2y7x_ligand	8.780000
2y7z_protein	2y7z_ligand	8.450000
2y7i_protein	2y7i_ligand	6.360000
2xyd_protein	2xyd_ligand	7.370000
2xpk_protein	2xpk_ligand	7.880000
2y8c_protein	2y8c_ligand	5.920000
2y80_protein	2y80_ligand	8.470000
2y81_protein	2y81_ligand	8.500000
2y82_protein	2y82_ligand	8.450000
2xys_protein	2xys_ligand	7.680000
2xyt_protein	2xyt_ligand	6.060000
2ydw_protein	2ydw_ligand	6.680000
2ydt_protein	2ydt_ligand	5.270000
2yek_protein	2yek_ligand	6.680000
2ya7_protein	2ya7_ligand	4.330000
2ya6_protein	2ya6_ligand	4.290000
2ya8_protein	2ya8_ligand	5.870000
2yay_protein	2yay_ligand	6.890000
2yaz_protein	2yaz_ligand	6.350000
2yel_protein	2yel_ligand	7.380000
2yb0_protein	2yb0_ligand	5.180000
2yge_protein	2yge_ligand	6.670000
2yfe_protein	2yfe_ligand	6.080000
2yfx_protein	2yfx_ligand	6.880000
2yfa_protein	2yfa_ligand	4.080000
2ygf_protein	2ygf_ligand	5.800000
2yki_protein	2yki_ligand	11.630000
2yi0_protein	2yi0_ligand	7.790000
2yk1_protein	2yk1_ligand	6.340000
2yix_protein	2yix_ligand	8.490000
2yhw_protein	2yhw_ligand	5.430000
2yi7_protein	2yi7_ligand	7.460000
2ylc_protein	2ylc_ligand	5.790000
2yxj_protein	2yxj_ligand	8.690000
2ypi_protein	2ypi_ligand	3.780000
2yz3_protein	2yz3_ligand	3.920000
2z4o_protein	2z4o_ligand	8.710000
2z94_protein	2z94_ligand	1.370000
2za0_protein	2za0_ligand	6.890000
2zc9_protein	2zc9_ligand	6.960000
2z1w_protein	2z1w_ligand	4.450000
2zcr_protein	2zcr_ligand	7.690000
2zcq_protein	2zcq_ligand	7.420000
2zb1_protein	2zb1_ligand	7.640000
2yme_protein	2yme_ligand	6.110000
2zcs_protein	2zcs_ligand	6.340000
2zdk_protein	2zdk_ligand	6.880000
2zdl_protein	2zdl_ligand	6.480000
2zda_protein	2zda_ligand	8.000000
2zdm_protein	2zdm_ligand	6.440000
2zdn_protein	2zdn_ligand	6.200000
2za5_protein	2za5_ligand	8.550000
2zft_protein	2zft_ligand	6.740000
2zfp_protein	2zfp_ligand	5.990000
2zfs_protein	2zfs_ligand	6.840000
2zgx_protein	2zgx_ligand	6.950000
2zq2_protein	2zq2_ligand	7.050000
2zmm_protein	2zmm_ligand	6.390000
2zn7_protein	2zn7_ligand	6.470000
2zjw_protein	2zjw_ligand	6.240000
2ypo_protein	2ypo_ligand	4.890000
2zkj_protein	2zkj_ligand	5.450000
2zy1_protein	2zy1_ligand	7.280000
2ymd_protein	2ymd_ligand	6.210000
2zz1_protein	2zz1_ligand	5.740000
2zym_protein	2zym_ligand	5.700000
2zz2_protein	2zz2_ligand	5.620000
3a1c_protein	3a1c_ligand	4.140000
3a1d_protein	3a1d_ligand	4.650000
3a2o_protein	3a2o_ligand	9.150000
3a1e_protein	3a1e_ligand	3.760000
2zxg_protein	2zxg_ligand	6.520000
3a6t_protein	3a6t_ligand	6.810000
2zq0_protein	2zq0_ligand	6.050000
3aas_protein	3aas_ligand	3.080000
3aaq_protein	3aaq_ligand	4.080000
3aau_protein	3aau_ligand	5.250000
3a5y_protein	3a5y_ligand	6.940000
3acl_protein	3acl_ligand	7.060000
3acw_protein	3acw_ligand	7.620000
3a9i_protein	3a9i_ligand	3.420000
3acx_protein	3acx_ligand	6.960000
3ag9_protein	3ag9_ligand	5.770000
3agl_protein	3agl_ligand	7.140000
3aid_protein	3aid_ligand	6.630000
3ai8_protein	3ai8_ligand	1.940000
3ahn_protein	3ahn_ligand	6.410000
3ao2_protein	3ao2_ligand	4.810000
3ap4_protein	3ap4_ligand	3.850000
3ao4_protein	3ao4_ligand	4.610000
3aho_protein	3aho_ligand	5.740000
3ao5_protein	3ao5_ligand	4.200000
3alt_protein	3alt_ligand	3.060000
3aqt_protein	3aqt_ligand	5.300000
3arp_protein	3arp_ligand	6.780000
3b1m_protein	3b1m_ligand	8.270000
3arq_protein	3arq_ligand	6.460000
3b3c_protein	3b3c_ligand	3.710000
3arw_protein	3arw_ligand	6.330000
2zwz_protein	2zwz_ligand	5.520000
3b3s_protein	3b3s_ligand	3.200000
2zx6_protein	2zx6_ligand	7.360000
3arx_protein	3arx_ligand	4.860000
3axz_protein	3axz_ligand	5.010000
3b3w_protein	3b3w_ligand	3.360000
3b3x_protein	3b3x_ligand	2.390000
2zx8_protein	2zx8_ligand	8.160000
2zx7_protein	2zx7_ligand	7.140000
3b2q_protein	3b2q_ligand	3.290000
3b4f_protein	3b4f_ligand	7.350000
2zxd_protein	2zxd_ligand	5.020000
3b5r_protein	3b5r_ligand	8.840000
3b4p_protein	3b4p_ligand	5.830000
3b25_protein	3b25_ligand	6.420000
3b7i_protein	3b7i_ligand	2.800000
3b24_protein	3b24_ligand	4.140000
3b26_protein	3b26_ligand	6.640000
3b27_protein	3b27_ligand	5.680000
3b7r_protein	3b7r_ligand	6.300000
3b7u_protein	3b7u_ligand	6.410000
3b50_protein	3b50_ligand	5.710000
3b65_protein	3b65_ligand	9.070000
3b66_protein	3b66_ligand	9.040000
3b67_protein	3b67_ligand	9.380000
3b68_protein	3b68_ligand	9.080000
3b92_protein	3b92_ligand	6.200000
3b7j_protein	3b7j_ligand	3.460000
3bgb_protein	3bgb_ligand	6.240000
3be9_protein	3be9_ligand	9.310000
3bex_protein	3bex_ligand	4.720000
3bft_protein	3bft_ligand	5.480000
3bgc_protein	3bgc_ligand	6.220000
3bfu_protein	3bfu_ligand	5.240000
3bgq_protein	3bgq_ligand	7.220000
3bgz_protein	3bgz_ligand	7.390000
3bl0_protein	3bl0_ligand	4.630000
3bl1_protein	3bl1_ligand	6.690000
3bbb_protein	3bbb_ligand	5.110000
3bbf_protein	3bbf_ligand	5.640000
3bqc_protein	3bqc_ligand	6.680000
3bpc_protein	3bpc_ligand	3.850000
3bkk_protein	3bkk_ligand	7.460000
3bkl_protein	3bkl_ligand	7.910000
3brn_protein	3brn_ligand	5.670000
3bu1_protein	3bu1_ligand	3.950000
3bra_protein	3bra_ligand	2.620000
3bgs_protein	3bgs_ligand	7.030000
3buf_protein	3buf_ligand	2.840000
3bug_protein	3bug_ligand	4.020000
3buh_protein	3buh_ligand	3.760000
3bva_protein	3bva_ligand	6.720000
3bv9_protein	3bv9_ligand	6.570000
3bvb_protein	3bvb_ligand	7.850000
3bwj_protein	3bwj_ligand	6.860000
3bxe_protein	3bxe_ligand	4.140000
3bzf_protein	3bzf_ligand	5.710000
3bxf_protein	3bxf_ligand	5.200000
3bxh_protein	3bxh_ligand	4.570000
3bxg_protein	3bxg_ligand	5.110000
3c4h_protein	3c4h_ligand	5.390000
3c39_protein	3c39_ligand	4.080000
3c8a_protein	3c8a_ligand	5.230000
3c8b_protein	3c8b_ligand	5.840000
3c52_protein	3c52_ligand	5.860000
3c56_protein	3c56_ligand	5.900000
3c88_protein	3c88_ligand	5.280000
3c89_protein	3c89_ligand	5.590000
3c2o_protein	3c2o_ligand	3.830000
3c2f_protein	3c2f_ligand	2.370000
3c2r_protein	3c2r_ligand	3.220000
3c79_protein	3c79_ligand	5.990000
3c84_protein	3c84_ligand	6.500000
3cfn_protein	3cfn_ligand	5.580000
3cft_protein	3cft_ligand	5.110000
3ccw_protein	3ccw_ligand	6.180000
3cct_protein	3cct_ligand	7.320000
3cf8_protein	3cf8_ligand	4.730000
3cj2_protein	3cj2_ligand	5.440000
3ccz_protein	3ccz_ligand	6.150000
3cj4_protein	3cj4_ligand	5.670000
3c2u_protein	3c2u_ligand	4.030000
3cj5_protein	3cj5_ligand	6.330000
3ckb_protein	3ckb_ligand	3.120000
3cd0_protein	3cd0_ligand	6.420000
3cd7_protein	3cd7_ligand	6.850000
3cd5_protein	3cd5_ligand	8.270000
3cdb_protein	3cdb_ligand	6.430000
3cda_protein	3cda_ligand	6.610000
3cm2_protein	3cm2_ligand	5.690000
3ckp_protein	3ckp_ligand	6.830000
3cyw_protein	3cyw_ligand	7.860000
3cs7_protein	3cs7_ligand	8.340000
3cyx_protein	3cyx_ligand	9.030000
3cyz_protein	3cyz_ligand	5.570000
3cz1_protein	3cz1_ligand	5.590000
3cow_protein	3cow_ligand	7.150000
3coy_protein	3coy_ligand	6.990000
3coz_protein	3coz_ligand	6.280000
3d0b_protein	3d0b_ligand	7.810000
3czv_protein	3czv_ligand	4.500000
3cke_protein	3cke_ligand	5.480000
3d1x_protein	3d1x_ligand	9.070000
3ctt_protein	3ctt_ligand	4.440000
3d1y_protein	3d1y_ligand	8.970000
3d1z_protein	3d1z_ligand	8.390000
3d6o_protein	3d6o_ligand	3.870000
3d6p_protein	3d6p_ligand	3.850000
3d0e_protein	3d0e_ligand	8.170000
3d8z_protein	3d8z_ligand	3.610000
3d8w_protein	3d8w_ligand	7.920000
3d7z_protein	3d7z_ligand	8.550000
3ckz_protein	3ckz_ligand	7.250000
3d9z_protein	3d9z_ligand	7.240000
3cl0_protein	3cl0_ligand	7.110000
3d78_protein	3d78_ligand	4.780000
3d2e_protein	3d2e_ligand	6.240000
3d83_protein	3d83_ligand	8.710000
3d4z_protein	3d4z_ligand	4.740000
3d4y_protein	3d4y_ligand	4.560000
3d91_protein	3d91_ligand	8.380000
3da9_protein	3da9_ligand	6.340000
3daz_protein	3daz_ligand	5.290000
3dbu_protein	3dbu_ligand	7.980000
3dc3_protein	3dc3_ligand	6.450000
3dcc_protein	3dcc_ligand	8.060000
3dd0_protein	3dd0_ligand	5.970000
3d51_protein	3d51_ligand	4.280000
3dd8_protein	3dd8_ligand	6.250000
3d50_protein	3d50_ligand	5.080000
3d52_protein	3d52_ligand	4.040000
3dgo_protein	3dgo_ligand	4.880000
3djk_protein	3djk_ligand	9.850000
3djo_protein	3djo_ligand	4.040000
3djp_protein	3djp_ligand	3.950000
3djq_protein	3djq_ligand	3.570000
3djv_protein	3djv_ligand	4.480000
3djx_protein	3djx_ligand	3.690000
3dk1_protein	3dk1_ligand	9.910000
3dln_protein	3dln_ligand	5.520000
3dp4_protein	3dp4_ligand	5.980000
3dnd_protein	3dnd_ligand	3.820000
3dne_protein	3dne_ligand	6.050000
3ddf_protein	3ddf_ligand	5.210000
3dp9_protein	3dp9_ligand	8.310000
3d7k_protein	3d7k_ligand	4.840000
3dsz_protein	3dsz_ligand	6.530000
3ddg_protein	3ddg_ligand	5.730000
3drf_protein	3drf_ligand	6.590000
3drg_protein	3drg_ligand	7.770000
3dri_protein	3dri_ligand	3.730000
3e3c_protein	3e3c_ligand	5.310000
3dzt_protein	3dzt_ligand	7.510000
3e5a_protein	3e5a_ligand	7.500000
3e5u_protein	3e5u_ligand	4.840000
3e92_protein	3e92_ligand	8.620000
3e93_protein	3e93_ligand	9.980000
3eax_protein	3eax_ligand	3.090000
3e6y_protein	3e6y_ligand	4.740000
3eb1_protein	3eb1_ligand	3.380000
3dx1_protein	3dx1_ligand	4.530000
3dx2_protein	3dx2_ligand	5.690000
3dx3_protein	3dx3_ligand	4.940000
3dx4_protein	3dx4_ligand	5.660000
3ebl_protein	3ebl_ligand	7.940000
3e12_protein	3e12_ligand	5.270000
3eeb_protein	3eeb_ligand	6.420000
3ehy_protein	3ehy_ligand	4.440000
3ehx_protein	3ehx_ligand	6.380000
3eft_protein	3eft_ligand	5.590000
3ebh_protein	3ebh_ligand	6.350000
3ebi_protein	3ebi_ligand	6.440000
3eko_protein	3eko_ligand	5.400000
3egt_protein	3egt_ligand	6.880000
3ekp_protein	3ekp_ligand	7.760000
3ekr_protein	3ekr_ligand	6.880000
3ed0_protein	3ed0_ligand	5.030000
3ekv_protein	3ekv_ligand	8.980000
3ekt_protein	3ekt_ligand	8.020000
3ekw_protein	3ekw_ligand	8.590000
3ekx_protein	3ekx_ligand	8.440000
3ejq_protein	3ejq_ligand	7.200000
3ejp_protein	3ejp_ligand	7.120000
3el1_protein	3el1_ligand	8.610000
3el4_protein	3el4_ligand	8.570000
3ejr_protein	3ejr_ligand	7.170000
3el5_protein	3el5_ligand	7.810000
3el9_protein	3el9_ligand	8.780000
3ery_protein	3ery_ligand	5.740000
3eqr_protein	3eqr_ligand	7.970000
3evd_protein	3evd_ligand	4.440000
3ebo_protein	3ebo_ligand	6.080000
3ewj_protein	3ewj_ligand	8.700000
3ewc_protein	3ewc_ligand	5.420000
3elc_protein	3elc_ligand	4.030000
3ebp_protein	3ebp_ligand	6.560000
3f1a_protein	3f1a_ligand	5.660000
3f7h_protein	3f7h_ligand	6.190000
3f6g_protein	3f6g_ligand	4.370000
3f7i_protein	3f7i_ligand	6.930000
3f5j_protein	3f5j_ligand	4.790000
3f8c_protein	3f8c_ligand	7.610000
3f5k_protein	3f5k_ligand	4.470000
3f5l_protein	3f5l_ligand	3.360000
3f8e_protein	3f8e_ligand	0.790000
3f7g_protein	3f7g_ligand	6.060000
3f3c_protein	3f3c_ligand	6.240000
3f3d_protein	3f3d_ligand	5.330000
3f3e_protein	3f3e_ligand	5.330000
3f15_protein	3f15_ligand	6.380000
3f16_protein	3f16_ligand	6.260000
3f8f_protein	3f8f_ligand	6.420000
3f17_protein	3f17_ligand	6.150000
3f18_protein	3f18_ligand	5.650000
3f19_protein	3f19_ligand	5.680000
3exe_protein	3exe_ligand	6.360000
3exh_protein	3exh_ligand	4.820000
3f78_protein	3f78_ligand	4.000000
3f68_protein	3f68_ligand	6.600000
3fcq_protein	3fcq_ligand	3.340000
3fas_protein	3fas_ligand	5.480000
3fat_protein	3fat_ligand	6.100000
3f70_protein	3f70_ligand	2.940000
3ffg_protein	3ffg_ligand	9.200000
3ffp_protein	3ffp_ligand	6.790000
3f80_protein	3f80_ligand	3.920000
3f6e_protein	3f6e_ligand	6.100000
3f48_protein	3f48_ligand	4.480000
3fhb_protein	3fhb_ligand	4.660000
3fh7_protein	3fh7_ligand	7.170000
3fj7_protein	3fj7_ligand	4.010000
3fqe_protein	3fqe_ligand	7.760000
3dyo_protein	3dyo_ligand	3.880000
3fjg_protein	3fjg_ligand	3.670000
3fur_protein	3fur_ligand	8.640000
3fed_protein	3fed_ligand	5.460000
3fl5_protein	3fl5_ligand	8.220000
3fee_protein	3fee_ligand	4.960000
3ff3_protein	3ff3_ligand	3.740000
3fql_protein	3fql_ligand	8.270000
3fuz_protein	3fuz_ligand	5.290000
3fv1_protein	3fv1_ligand	8.280000
3fv2_protein	3fv2_ligand	8.050000
3fuc_protein	3fuc_ligand	5.550000
3fwv_protein	3fwv_ligand	5.710000
3fvh_protein	3fvh_ligand	5.470000
3fvk_protein	3fvk_ligand	7.760000
3fvn_protein	3fvn_ligand	7.140000
3fv3_protein	3fv3_ligand	7.600000
3fzy_protein	3fzy_ligand	6.460000
3g0e_protein	3g0e_ligand	7.790000
3g0w_protein	3g0w_ligand	9.220000
3g1d_protein	3g1d_ligand	5.410000
3g2y_protein	3g2y_ligand	3.690000
3fvl_protein	3fvl_ligand	3.820000
3g2z_protein	3g2z_ligand	4.370000
3g19_protein	3g19_ligand	5.540000
3g1v_protein	3g1v_ligand	5.160000
3g3r_protein	3g3r_ligand	6.390000
3fx6_protein	3fx6_ligand	4.610000
3g5k_protein	3g5k_ligand	7.810000
3g0i_protein	3g0i_ligand	3.550000
3g30_protein	3g30_ligand	3.270000
3g31_protein	3g31_ligand	2.640000
3g32_protein	3g32_ligand	4.200000
3g34_protein	3g34_ligand	3.310000
3g35_protein	3g35_ligand	6.430000
3gba_protein	3gba_ligand	8.690000
3ga5_protein	3ga5_ligand	5.540000
3gbb_protein	3gbb_ligand	7.110000
3gcp_protein	3gcp_ligand	7.780000
3gbe_protein	3gbe_ligand	4.130000
3gcs_protein	3gcs_ligand	8.610000
3gc4_protein	3gc4_ligand	7.020000
3ggu_protein	3ggu_ligand	7.770000
3gc5_protein	3gc5_ligand	7.610000
3gi4_protein	3gi4_ligand	8.160000
3gi5_protein	3gi5_ligand	8.270000
3gi6_protein	3gi6_ligand	8.120000
3fzn_protein	3fzn_ligand	5.640000
3gcu_protein	3gcu_ligand	9.380000
3gdt_protein	3gdt_ligand	3.880000
3gk1_protein	3gk1_ligand	3.470000
3gkz_protein	3gkz_ligand	6.960000
3gjw_protein	3gjw_ligand	4.650000
3ge7_protein	3ge7_ligand	7.810000
3gm0_protein	3gm0_ligand	6.540000
3gr2_protein	3gr2_ligand	3.750000
3gqz_protein	3gqz_ligand	2.980000
3gt9_protein	3gt9_ligand	6.030000
3gs6_protein	3gs6_ligand	5.070000
3gsm_protein	3gsm_ligand	4.570000
3gnw_protein	3gnw_ligand	9.390000
3gss_protein	3gss_ligand	5.670000
3gta_protein	3gta_ligand	6.310000
3gst_protein	3gst_ligand	7.030000
3gtc_protein	3gtc_ligand	2.560000
3gvb_protein	3gvb_ligand	5.210000
3gv9_protein	3gv9_ligand	3.040000
3f37_protein	3f37_ligand	3.090000
3gvu_protein	3gvu_ligand	8.800000
3gy2_protein	3gy2_ligand	5.770000
3gy4_protein	3gy4_ligand	4.690000
3gy3_protein	3gy3_ligand	6.110000
3gy7_protein	3gy7_ligand	4.240000
3h1x_protein	3h1x_ligand	3.160000
3gx0_protein	3gx0_ligand	4.330000
3h5b_protein	3h5b_ligand	8.220000
3h8b_protein	3h8b_ligand	6.590000
3f34_protein	3f34_ligand	3.540000
3h30_protein	3h30_ligand	5.080000
3hcm_protein	3hcm_ligand	2.250000
3h89_protein	3h89_ligand	6.460000
3hk1_protein	3hk1_ligand	5.160000
3f33_protein	3f33_ligand	3.820000
3hf8_protein	3hf8_ligand	7.460000
3hek_protein	3hek_ligand	8.010000
3hfb_protein	3hfb_ligand	7.470000
3hit_protein	3hit_ligand	5.870000
3hb4_protein	3hb4_ligand	8.960000
3h78_protein	3h78_ligand	4.730000
3hkq_protein	3hkq_ligand	4.100000
3hkn_protein	3hkn_ligand	3.410000
3hkt_protein	3hkt_ligand	4.280000
3hku_protein	3hku_ligand	7.060000
