,ligand,pK(ref),pK($Δ_{Vina}RF_{20}$),pK($AutoDock 4.2$),pK($∆SAS$),pK($DrugScoreX$),pK($AutoDock Vina$),pK($X-Score$),pK($NNScore 2.0$),pK($AutoDock VinaXB$)
1136,2vwm_ligand,7.03,7.84,8.2834,495.332947,-196.014,7.436195,7.63,9.676,7.436195
1137,2vvn_ligand,7.3,5.51,4.4485,277.792847,-95.074,5.528468,6.02,4.573,5.528468
1138,2w5g_ligand,6.07,4.22,3.4705,270.407715,-67.504,3.351261,4.79,6.419,3.351261
1139,2vyt_ligand,2.74,2.52,1.2474,167.775787,-28.805,1.971628,4.04,3.163,1.971628
1140,2vwo_ligand,7.51,8.2,8.0288,438.327881,-170.895,7.830044,7.43,9.712,7.830044
1141,2vw1_ligand,3.52,4.94,4.1392,308.904251,-73.953,5.285183,5.63,4.198,5.285183
1142,2w47_ligand,4.98,4.33,1.1589,154.551865,-52.268,3.516503,4.75,1.093,3.516503
1143,2vw2_ligand,3.3,4.33,5.5967,253.286301,-57.486,4.362434,5.1,4.598,4.362434
1144,2w9h_ligand,6.37,6.02,4.6999,324.667465,-85.531,4.881994,5.4,7.119,4.881994
1145,2vxn_ligand,5.0,4.28,4.6642,188.042465,-65.759,3.15555,4.81,4.589,3.15555
1146,2w8y_ligand,9.09,8.47,7.4677,492.208313,-156.09,7.749619,8.34,9.044,7.749619
1147,2w26_ligand,9.4,7.22,7.8155,408.335175,-142.954,6.157397,6.86,9.038,6.157397
1148,2w4x_ligand,4.85,4.76,3.0313,265.111282,-85.865,4.293952,5.29,3.972,4.293952
1149,2we3_ligand,4.43,5.05,4.7435,338.299225,-120.063,4.901606,5.68,5.597,4.901606
1150,2wc3_ligand,6.08,6.13,4.2048,306.97879,-106.446,5.277661,6.16,6.316,5.277661
1151,2wc4_ligand,5.29,5.71,4.2615,316.681854,-101.784,4.862185,6.34,6.279,4.862185
1152,2wb5_ligand,9.13,6.61,4.2522,333.455292,-119.66,5.10728,6.39,6.514,5.10728
1153,2w66_ligand,4.05,4.92,3.2826,252.483459,-85.333,4.73011,5.81,4.648,4.73011
1154,2w8j_ligand,2.96,5.17,3.6891,336.962219,-105.471,5.317067,6.07,5.537,5.317067
1155,2w67_ligand,4.96,5.54,3.8483,232.431107,-82.136,5.623776,5.69,4.558,5.623776
1156,2w8w_ligand,2.12,3.7,2.314,337.063187,-97.115,4.393306,5.89,5.258,4.393306
1157,2wca_ligand,5.6,5.39,3.1324,328.427643,-99.362,4.485081,5.94,6.46,4.485081
1158,2wf5_ligand,6.0,5.47,5.1484,274.338745,-75.339,5.237251,5.54,6.043,5.237251
1159,2weq_ligand,5.9,5.95,2.0783,498.521088,-114.604,5.827639,6.88,7.246,5.827639
1160,2web_ligand,5.12,6.37,3.5056,511.557098,-162.513,6.164751,7.71,5.993,6.164751
1161,2wjg_ligand,7.1,6.21,6.5737,291.538513,-125.812,5.315953,5.56,4.631,5.315953
1162,2wec_ligand,3.96,6.12,4.0149,512.293457,-149.313,6.051855,7.26,4.986,6.051855
1163,2wed_ligand,6.1,6.76,3.814,455.54425,-140.061,6.529853,7.5,6.126,6.529853
1164,2wer_ligand,7.05,7.2,4.7427,325.47757,-82.718,6.320095,6.32,5.85,6.320095
1165,2wbg_ligand,4.45,6.35,3.7028,314.105865,-106.548,5.264179,6.26,6.884,5.264179
1166,2wkz_ligand,8.77,8.79,9.7465,697.167542,-252.057,8.254135,9.71,7.523,8.254135
1167,2wgj_ligand,8.7,8.61,6.512,389.458923,-135.187,7.168013,7.09,7.033,7.168013
1168,2wl0_ligand,7.8,8.67,9.4435,696.495819,-242.695,8.041334,9.45,6.988,8.041334
1169,2whp_ligand,4.0,4.13,3.9461,311.908798,-53.28,3.350711,5.49,4.134,3.350711
1170,2wyf_ligand,4.43,4.12,1.6875,210.566238,-75.769,3.362881,4.86,2.724,3.362881
1171,2wky_ligand,8.59,7.12,7.1509,255.707825,-98.947,5.928732,5.97,5.991,5.928732
1172,2wtv_ligand,8.74,8.34,7.2192,437.957642,-140.871,7.685938,7.67,8.287,7.685938
1173,2wyg_ligand,8.7,8.0,7.1662,400.519653,-162.509,6.177779,6.74,8.28,6.177779
1174,2wm0_ligand,4.52,5.42,5.204,534.909698,-174.688,6.053688,7.06,5.864,6.053688
1175,2wly_ligand,6.6,5.06,3.5484,394.45401,-122.249,4.559457,6.09,3.13,4.559457
1176,2wlz_ligand,4.6,5.22,3.8978,390.078217,-121.492,5.007581,6.22,5.039,5.007581
1177,2wk6_ligand,3.32,3.41,3.8239,167.583946,-40.443,2.697089,5.05,5.344,2.697089
1178,2wyj_ligand,9.0,7.78,6.7848,396.803894,-156.167,6.210733,6.71,9.492,6.210733
1179,2wzm_ligand,5.22,4.85,7.8787,462.625397,-175.152,6.058321,6.57,6.699,6.058321
1180,2wr8_ligand,5.44,6.56,8.1156,409.06723,-179.676,7.199626,7.16,9.528,7.199626
1181,2wvz_ligand,4.02,4.58,2.5606,229.758957,-68.683,4.83794,5.49,2.903,4.83794
1182,2x4z_ligand,8.57,7.4,8.07,473.695282,-150.96,6.432427,6.85,8.095,6.432427
1183,2wzf_ligand,7.0,6.52,3.1845,359.958771,-127.355,6.30063,6.25,3.348,6.30063
1184,2xab_ligand,9.27,8.18,4.611,313.531418,-104.117,6.939824,6.74,7.475,6.939824
1185,2wvt_ligand,6.12,5.08,3.065,208.186752,-67.727,3.671672,5.22,5.273,3.671672
1186,2wn9_ligand,8.52,6.65,4.7057,306.5793,-90.659,5.148145,5.93,7.91,5.148145
1187,2wnj_ligand,6.48,6.37,5.9857,390.389359,-116.244,5.590125,6.61,7.691,5.590125
1188,2xb7_ligand,9.19,7.92,6.7836,471.821198,-144.083,6.373871,6.88,7.657,6.373871
1189,2wnc_ligand,6.32,6.21,6.0158,312.112015,-98.849,5.548864,6.07,7.475,5.548864
1190,2wzs_ligand,3.85,4.71,2.2229,216.266006,-55.794,4.119553,5.26,3.989,4.119553
1191,2xde_ligand,5.47,5.66,5.723,344.118469,-115.971,5.603878,6.68,6.362,5.603878
1192,2xbv_ligand,8.43,8.43,7.9691,466.100006,-186.288,8.054589,7.66,9.681,8.054589
1193,2xbx_ligand,7.82,8.54,9.4096,461.125977,-185.61,8.56129,7.93,9.102,8.56129
1194,2xbw_ligand,8.0,8.75,10.085,477.14209,-189.927,8.801569,8.07,8.911,8.801569
1195,2xbp_ligand,5.02,5.91,10.2878,438.564056,-173.983,7.689773,6.95,6.225,7.689773
1196,2xc0_ligand,6.72,8.39,8.1461,487.662109,-190.058,8.110938,7.72,9.053,8.110938
1197,2xc4_ligand,8.05,8.63,8.6421,468.15094,-197.191,8.328482,7.88,10.359,8.328482
1198,2xdk_ligand,3.6,4.43,3.0537,205.922958,-55.306,4.03077,5.09,3.362,4.03077
1199,2x2r_ligand,7.12,6.75,6.0095,364.916794,-136.628,6.090088,6.76,7.007,6.090088
1200,2xdx_ligand,6.46,5.58,4.1197,253.680206,-65.31,4.434509,5.5,4.133,4.434509
1201,2xht_ligand,5.96,5.87,4.5408,298.734268,-78.544,5.222962,6.28,4.865,5.222962
1202,2x00_ligand,11.3,9.47,8.5645,501.083893,-152.198,9.503944,8.19,8.66,9.503944
1203,2x0y_ligand,4.6,5.25,3.4032,294.754974,-95.463,4.826826,5.4,6.563,4.826826
1204,2xdl_ligand,3.1,5.3,3.1269,292.867859,-79.379,4.599721,5.52,3.992,4.599721
1205,2xib_ligand,7.26,5.87,4.6556,186.254852,-67.723,4.373952,5.36,5.49,4.373952
1206,2xj1_ligand,7.55,7.28,7.1431,404.963043,-109.7,6.611657,7.1,5.911,6.611657
1207,2xg9_ligand,4.15,4.48,2.2515,298.019547,-74.855,4.751283,5.37,3.875,4.751283
1208,2xii_ligand,7.2,7.52,6.564,341.525391,-110.59,6.615652,6.6,6.71,6.615652
1209,2xjg_ligand,7.82,7.4,4.6655,339.008179,-112.378,6.630198,6.52,7.485,6.630198
1210,2xjj_ligand,6.51,8.06,5.022,327.602448,-106.832,7.764377,6.85,6.873,7.764377
1211,2xj2_ligand,7.18,7.61,6.7104,390.368271,-119.763,7.038812,6.64,6.779,7.038812
1212,2xjx_ligand,9.15,7.71,4.404,331.59613,-105.522,6.442801,6.52,6.886,6.442801
1213,2xog_ligand,3.43,5.29,2.372,332.240662,-120.704,5.015894,5.46,6.932,5.015894
1214,2xp7_ligand,5.77,5.4,7.4929,242.541504,-65.893,5.159611,5.75,5.055,5.159611
1215,2xmy_ligand,9.96,7.47,6.135,392.765808,-107.757,5.251891,6.47,5.83,5.251891
1216,2xn3_ligand,5.92,5.71,4.6919,314.937454,-86.556,5.539648,6.48,5.226,5.539648
1217,2xnb_ligand,6.83,7.73,6.7867,369.353516,-123.734,6.80805,6.79,6.962,6.80805
1218,2xn5_ligand,6.69,6.81,5.1865,335.365173,-87.805,5.732705,6.06,4.733,5.732705
1219,2x6x_ligand,3.68,4.21,0.1279,427.820953,-114.672,4.530491,5.67,3.168,4.530491
1220,2xm1_ligand,5.07,5.56,3.5882,246.15274,-91.591,5.764157,5.75,4.384,5.764157
1221,2xm2_ligand,4.62,4.8,3.283,258.606201,-94.486,4.986364,5.68,5.23,4.986364
1222,2xxr_ligand,6.55,5.33,4.9861,194.725235,-74.586,4.384157,5.0,5.787,4.384157
1223,2xye_ligand,8.34,7.95,8.2485,701.622528,-233.121,6.299641,9.14,8.231,6.299641
1224,2xyf_ligand,8.44,7.92,7.863,694.963745,-239.143,6.220499,8.7,8.138,6.220499
1225,2xb8_ligand,7.59,7.55,4.9501,337.79187,-124.212,7.092478,6.8,5.829,7.092478
1226,2xxt_ligand,8.05,6.37,6.4154,259.345032,-91.683,5.256584,5.78,6.426,5.256584
1227,2xxx_ligand,6.41,5.13,4.8955,191.776276,-74.302,4.22415,5.02,5.72,4.22415
1228,2y5f_ligand,8.7,8.25,6.4462,430.088806,-166.224,6.621041,6.64,8.332,6.621041
1229,2y5g_ligand,6.84,7.49,6.8669,420.136292,-161.755,6.392676,6.5,9.142,6.392676
1230,2xd9_ligand,6.46,7.22,5.6523,301.919235,-119.874,7.48357,6.73,7.067,7.48357
1231,2xda_ligand,6.22,7.33,5.3036,338.314484,-146.935,7.601569,6.95,6.527,7.601569
1232,2y7x_ligand,8.89,8.78,8.5414,398.871582,-159.358,7.8989,7.18,8.567,7.8989
1233,2y5h_ligand,5.79,6.59,6.123,399.870911,-147.261,5.609069,6.27,8.538,5.609069
1234,2y7z_ligand,8.7,8.45,8.4155,402.273468,-174.137,7.520528,7.29,8.499,7.520528
1235,2y80_ligand,8.05,8.47,8.3106,411.914642,-170.133,7.445176,7.28,8.102,7.445176
1236,2xj7_ligand,6.66,6.56,4.4746,258.881409,-91.096,6.046144,6.07,6.064,6.046144
1237,2y8c_ligand,6.4,5.92,4.3861,385.467377,-134.174,5.278167,6.46,6.55,5.278167
1238,2y81_ligand,8.7,8.5,8.6273,417.276031,-175.371,7.558915,7.41,8.831,7.558915
1239,2y82_ligand,8.4,8.45,8.4364,406.944916,-170.677,7.530191,7.36,8.764,7.530191
1240,2xpk_ligand,11.3,7.88,5.6098,457.641418,-154.625,6.177478,7.1,6.818,6.177478
1241,2yel_ligand,7.28,7.38,6.177,349.024384,-115.299,6.850557,6.92,4.769,6.850557
1242,2ydw_ligand,7.34,6.68,5.741,368.568512,-111.293,6.364216,6.89,5.09,6.364216
1243,2yek_ligand,7.21,6.68,5.492,365.910004,-104.224,5.914282,6.46,4.857,5.914282
1244,2ya6_ligand,5.7,4.29,5.2443,318.650803,-87.147,4.494743,5.76,4.586,4.494743
1245,2xys_ligand,7.42,7.68,7.2765,354.902603,-116.989,7.542771,6.84,7.136,7.542771
1246,2ydt_ligand,5.52,5.27,4.1765,293.570999,-104.782,5.090557,5.41,5.056,5.090557
1247,2yfe_ligand,6.63,6.08,4.8003,423.623474,-107.861,5.484809,6.68,6.539,5.484809
1248,2ya7_ligand,3.14,4.33,7.63,370.014465,-98.377,5.055381,5.97,6.286,5.055381
1249,2ya8_ligand,5.75,5.87,7.1803,304.228439,-80.65,4.461466,5.8,6.127,4.461466
1250,2xyt_ligand,6.29,6.06,5.7793,477.266663,-122.245,5.535843,7.16,2.912,5.535843
1251,2yay_ligand,6.1,6.89,2.7482,388.518341,-132.19,7.018666,6.89,3.847,7.018666
1252,2yfx_ligand,8.09,6.88,5.2663,366.001648,-113.217,5.604985,6.49,6.122,5.604985
1253,2yb0_ligand,3.85,5.18,4.241,257.788269,-106.038,6.205792,5.77,4.905,6.205792
1254,2yaz_ligand,5.14,6.35,6.3567,317.045425,-124.242,7.088277,6.02,4.396,7.088277
1255,2ygf_ligand,5.09,5.8,5.5183,482.785797,-116.807,6.555682,6.84,7.198,6.555682
1256,2yki_ligand,9.46,11.63,10.0675,492.020477,-181.756,11.428006,8.7,8.448,11.428006
1257,2yxj_ligand,9.3,8.69,7.6106,607.424011,-190.17,7.176862,8.49,8.693,7.176862
1258,2yi0_ligand,8.12,7.79,4.5761,341.52916,-97.047,6.140308,6.21,2.124,6.140308
1259,2yix_ligand,8.48,8.49,8.7723,456.786835,-160.723,7.883497,7.59,8.054,7.883497
1260,2z4o_ligand,9.57,8.71,6.8403,560.98111,-201.874,6.275982,7.8,10.388,6.275982
1261,2yi7_ligand,8.32,7.46,4.2458,331.737274,-97.615,5.665161,6.31,4.929,5.665161
1262,2yk1_ligand,8.13,6.34,5.4881,237.451721,-74.747,5.108182,5.64,7.048,5.108182
1263,2ylc_ligand,7.89,5.79,3.0109,235.595093,-93.25,3.963944,5.0,4.452,3.963944
1264,2zc9_ligand,6.74,6.96,7.5625,407.408875,-157.268,6.877434,7.02,8.699,6.877434
1265,2zb1_ligand,6.32,7.64,7.1787,433.998322,-141.361,7.717221,7.72,7.112,7.717221
1266,2ypi_ligand,4.82,3.78,0.5725,177.532089,-44.53,1.76978,4.42,5.201,1.76978
1267,2zdk_ligand,6.37,6.88,6.7683,375.988373,-153.359,6.29096,6.67,6.749,6.29096
1268,2zdl_ligand,6.4,6.48,6.2916,367.000183,-147.085,5.573607,6.43,6.824,5.573607
1269,2zdm_ligand,6.41,6.44,6.3808,388.097809,-148.549,5.655286,6.62,6.824,5.655286
1270,2zcq_ligand,8.82,7.42,1.3662,386.34671,-84.775,5.524135,6.6,6.79,5.524135
1271,2zcr_ligand,6.87,7.69,3.3884,461.123383,-101.618,6.2725,7.38,8.394,6.2725
1272,2zda_ligand,8.4,8.0,7.4259,416.918213,-164.973,6.936026,7.01,7.414,6.936026
1273,2zdn_ligand,6.25,6.2,6.1964,370.523438,-152.079,5.582889,6.56,7.162,5.582889
1274,2zcs_ligand,8.22,6.34,3.5131,377.622223,-94.375,4.68368,6.96,8.92,4.68368
1275,2zfs_ligand,6.54,6.84,6.465,395.354126,-159.515,6.281855,6.63,6.753,6.281855
1276,2zft_ligand,6.52,6.74,5.9114,378.518219,-147.759,5.904428,6.48,6.149,5.904428
1277,2zfp_ligand,5.17,5.99,5.3721,345.874161,-125.428,5.156305,6.25,5.996,5.156305
1278,2zgx_ligand,6.74,6.95,6.3576,363.605927,-144.673,5.854032,6.41,6.913,5.854032
1279,2zq2_ligand,6.56,7.05,7.5095,389.962799,-157.586,6.376136,7.0,6.549,6.376136
1280,2zjw_ligand,7.7,6.24,0.5167,265.676208,-63.745,5.768636,5.83,5.567,5.768636
1281,2zn7_ligand,7.89,6.47,7.0658,380.942932,-116.417,5.646547,6.99,7.784,5.654905
1282,2zmm_ligand,7.6,6.39,7.7122,373.903748,-121.757,5.897397,6.7,6.986,5.926877
1283,2za5_ligand,8.43,8.55,9.303,420.890259,-173.688,8.16335,7.42,7.831,8.16335
1284,2yme_ligand,7.66,6.11,5.3584,340.192673,-92.101,5.361092,6.12,5.534,5.361092
1285,2zy1_ligand,7.4,7.28,5.1535,394.605347,-111.042,6.318211,6.48,6.04,6.318211
1286,2zkj_ligand,5.48,5.45,5.0987,365.139633,-132.939,6.24272,6.03,3.426,6.24272
1287,2zym_ligand,6.14,5.7,2.9979,596.056763,-192.734,6.213886,7.46,3.576,6.213886
1288,2zz1_ligand,4.54,5.74,5.8595,352.113846,-114.662,6.838944,6.44,5.955,6.838944
1289,2zz2_ligand,4.54,5.62,5.1542,346.222519,-112.446,6.464399,6.23,7.013,6.464399
1290,3a1d_ligand,4.12,4.65,2.9637,398.908875,-127.22,5.291804,5.84,6.073,5.291804
1291,3a1c_ligand,4.0,4.14,2.0254,422.912354,-140.1,5.390938,6.25,5.289,5.390938
1292,3a2o_ligand,9.08,9.15,7.031,575.945312,-203.77,7.133622,8.01,8.921,7.133622
1293,3a6t_ligand,7.28,6.81,5.1679,314.944763,-124.802,6.102625,5.87,6.348,6.102625
1294,2ypo_ligand,4.68,4.89,4.7631,222.271393,-74.802,4.889018,5.63,5.349,4.889018
1295,3aau_ligand,5.05,5.25,3.474,326.476257,-100.693,4.852478,5.98,6.284,4.852478
1296,3a1e_ligand,2.66,3.76,2.6661,426.261414,-124.535,5.262735,6.08,4.593,5.262735
1297,3acw_ligand,4.76,7.62,6.4625,342.590027,-122.031,7.507185,7.13,7.501,7.507185
1298,3acx_ligand,5.7,6.96,5.913,430.645294,-133.27,6.774648,7.24,7.129,6.774648
1299,2ymd_ligand,3.16,6.21,6.8485,247.582397,-88.485,5.026965,5.76,4.953,5.026965
1300,2zq0_ligand,6.82,6.05,4.2578,447.783234,-161.737,6.444523,7.03,3.349,6.444523
1301,3a5y_ligand,7.96,6.94,8.1219,472.181458,-183.635,6.47544,6.74,7.236,6.47544
1302,3ap4_ligand,3.92,3.85,1.2374,183.092758,-63.599,3.505205,4.68,5.917,3.505205
1303,3aid_ligand,6.86,6.63,5.4391,570.799622,-156.967,6.032126,7.8,6.385,6.032126
1304,3ai8_ligand,3.81,1.94,1.3271,171.535736,-41.85,-0.100073,5.14,3.101,-0.100073
1305,3ag9_ligand,8.05,5.77,2.9578,631.65802,-160.276,3.970594,5.56,7.18,3.970594
1306,3agl_ligand,7.8,7.14,9.0938,738.328308,-215.545,5.952632,7.08,8.177,5.952632
1307,3b1m_ligand,8.48,8.27,7.2895,473.43811,-151.034,7.695506,7.9,7.333,7.695506
1308,3arp_ligand,7.15,6.78,4.6133,432.358948,-124.514,6.200059,6.78,7.605,6.200059
1309,3arq_ligand,6.4,6.46,4.9355,336.441376,-97.917,6.423109,6.69,7.915,6.423109
1310,3axz_ligand,3.43,5.01,5.2995,277.152084,-120.059,5.889304,5.94,5.739,5.889304
1311,3b4p_ligand,5.4,5.83,5.2023,279.395844,-84.938,6.087412,6.37,5.706,6.087412
1312,3arw_ligand,6.15,6.33,4.1694,238.917984,-81.076,6.548211,5.82,7.81,6.548211
1313,3arx_ligand,5.33,4.86,3.4232,310.025818,-73.906,4.251738,5.36,4.539,4.251738
1314,3b3x_ligand,3.6,2.39,0.7467,176.701752,-16.412,1.62846,4.47,3.914,1.62846
1315,3b5r_ligand,8.77,8.84,7.2685,441.21814,-134.393,7.497075,7.5,9.074,7.497075
1316,3b24_ligand,4.38,4.14,2.601,227.851089,-46.832,3.412251,4.91,1.859,3.412251
1317,3b25_ligand,6.07,6.42,4.453,286.476974,-68.006,5.641796,5.96,6.35,5.641796
1318,3b26_ligand,6.64,6.64,4.951,284.423508,-93.275,6.038021,6.09,6.322,6.038021
1319,3b27_ligand,5.16,5.68,3.9161,258.409058,-63.104,4.92206,5.65,5.882,4.92206
1320,3b65_ligand,9.27,9.07,7.7614,436.087036,-118.476,7.739245,7.54,8.082,7.815543
1321,3b66_ligand,8.6,9.04,7.2344,440.545746,-145.186,7.613497,7.56,7.896,7.613497
1322,3b2q_ligand,4.55,3.29,0.1218,452.127533,-86.397,3.505696,5.54,3.736,3.505696
1323,3b67_ligand,8.85,9.38,5.9114,432.641205,-149.194,7.981415,7.12,8.366,7.981415
1324,3b68_ligand,8.4,9.08,7.75,480.895233,-169.68,7.59239,7.96,7.949,7.59239
1325,2zwz_ligand,7.79,5.52,6.4689,210.730026,-78.531,4.384553,5.58,5.534,4.384553
1326,3bgb_ligand,6.05,6.24,6.4638,537.433411,-160.748,5.308021,7.23,6.279,5.308021
1327,3bgc_ligand,5.02,6.22,8.4799,569.574188,-184.608,6.025828,8.13,5.846,6.025828
1328,3be9_ligand,7.62,9.31,7.7357,374.179382,-137.299,8.989465,7.34,7.459,8.989465
1329,2zx7_ligand,10.5,7.14,6.2136,291.308075,-103.164,5.215594,6.26,4.017,5.215594
1330,3b7j_ligand,5.17,3.46,2.9545,168.50679,-34.826,3.030161,5.1,4.385,3.030161
1331,2zx8_ligand,9.64,8.16,7.3209,328.993225,-124.473,5.833908,6.7,3.841,5.833908
1332,2zx6_ligand,10.6,7.36,6.9773,329.058029,-122.913,6.064245,6.42,5.107,6.064245
1333,3bgq_ligand,7.96,7.22,5.2225,354.450485,-106.413,6.719641,6.81,8.068,6.719641
1334,3bex_ligand,5.57,4.72,3.064,268.041382,-80.273,4.393372,5.3,4.208,4.393372
1335,2zxd_ligand,5.22,5.02,4.5438,217.582733,-68.685,4.499311,5.65,5.872,4.499311
1336,3bu1_ligand,8.15,3.95,3.1514,184.418175,-48.306,2.76824,4.57,8.493,2.76824
1337,3brn_ligand,8.7,5.67,4.7156,250.282272,-70.742,5.077669,5.4,8.436,5.077669
1338,3bgz_ligand,6.26,7.39,6.1791,330.657333,-101.18,7.723614,7.05,7.422,7.723614
1339,3bfu_ligand,6.27,5.24,6.0238,212.585007,-82.037,4.403783,5.37,5.111,4.403783
1340,3bqc_ligand,5.73,6.68,4.5021,280.006699,-74.077,6.821246,6.38,6.401,6.821246
1341,3bra_ligand,2.7,2.62,2.0073,166.979782,-37.863,2.449641,4.62,3.375,2.449641
1342,3bbb_ligand,7.0,5.11,1.701,322.537354,-56.009,3.626891,4.97,3.825,3.626891
1343,3bv9_ligand,5.36,6.57,5.2882,484.162964,-163.243,6.040352,6.95,6.102,6.040352
1344,3bvb_ligand,5.49,7.85,7.0836,551.712311,-183.381,6.521048,7.75,8.333,6.521048
1345,3bva_ligand,6.52,6.72,7.8823,720.930664,-248.263,6.040308,8.4,9.334,6.040308
1346,3buf_ligand,3.1,2.84,2.6014,167.526443,-33.726,2.588988,4.82,3.167,2.588988
1347,3bug_ligand,3.18,4.02,2.7726,208.278381,-43.86,3.233255,4.97,2.18,3.233255
1348,3buh_ligand,3.66,3.76,3.9664,253.990265,-66.891,3.629252,5.34,3.236,3.629252
1349,3bbf_ligand,5.28,5.64,4.2756,359.419952,-90.245,5.623761,5.36,4.117,5.623761
1350,3bgs_ligand,9.42,7.03,4.3524,302.372559,-106.105,5.495836,5.52,6.447,5.495836
1351,3bwj_ligand,6.5,6.86,7.2068,591.280884,-204.73,6.242463,6.79,6.933,6.242463
1352,3bxf_ligand,5.54,5.2,6.9629,307.940002,-95.457,4.904413,5.67,4.592,4.904413
1353,3bxe_ligand,5.48,4.14,4.574,190.488632,-46.999,3.1914,4.62,5.405,3.1914
1354,3bxg_ligand,4.96,5.11,6.3378,265.023834,-90.158,5.39415,5.72,5.073,5.39415
1355,3c4h_ligand,5.7,5.39,3.7844,201.746658,-80.127,4.5675,5.41,7.457,4.5675
1356,3bxh_ligand,4.03,4.57,5.3416,269.785782,-98.886,4.790301,5.63,3.446,4.790301
1357,3c39_ligand,3.96,4.08,5.5444,174.846802,-58.629,3.538006,4.79,4.59,3.538006
1358,3bzf_ligand,4.52,5.71,9.0982,882.416321,-230.316,5.832493,8.92,8.792,5.832493
1359,3cfn_ligand,5.0,5.58,5.2108,297.564682,-88.643,5.803592,6.4,5.174,5.803592
1360,3c84_ligand,7.85,6.5,5.7212,299.889252,-90.373,4.829985,5.97,1.87,4.947199
1361,3cf8_ligand,4.9,4.73,2.9615,308.38797,-62.828,4.102735,5.85,2.803,4.102735
1362,3c2f_ligand,2.0,2.37,3.346,272.106003,-32.963,3.354479,4.59,5.368,3.354479
1363,3c2o_ligand,3.35,3.83,4.4992,179.757721,-35.996,3.910066,5.0,3.985,3.910066
1364,3c2r_ligand,3.11,3.22,4.5997,179.715347,-34.207,3.412735,5.14,3.743,3.412735
1365,3cft_ligand,4.19,5.11,4.1519,248.956268,-68.723,4.843644,5.61,3.259,4.843644
1366,3cct_ligand,7.56,7.32,5.801,490.095947,-154.288,6.597632,7.92,6.991,6.597632
1367,3cj5_ligand,6.34,6.33,5.5131,319.405823,-108.315,5.588079,6.33,6.3,5.588079
1368,3ccw_ligand,7.87,6.18,6.1287,474.88504,-135.987,5.851672,6.97,7.476,5.851672
1369,3ccz_ligand,7.29,6.15,5.1676,468.299835,-138.241,5.568754,6.83,7.087,5.568754
1370,3cd7_ligand,7.84,6.85,6.7984,508.261993,-156.803,6.364509,7.87,7.028,6.364509
1371,3ckp_ligand,6.35,6.83,7.1522,524.205811,-161.896,6.17162,7.11,6.61,6.17162
1372,3cd0_ligand,7.57,6.42,6.5317,496.534088,-144.07,5.891327,6.92,7.482,5.891327
1373,3cd5_ligand,7.9,8.27,7.6275,517.940857,-176.14,7.107808,7.98,7.471,7.107808
1374,3cda_ligand,7.58,6.61,4.1531,512.552643,-153.06,6.014978,8.0,7.673,6.014978
1375,3cdb_ligand,7.02,6.43,3.5581,507.491882,-142.696,5.772881,7.67,7.141,5.772881
1376,3c2u_ligand,2.9,4.03,3.0294,305.955688,-102.618,3.871063,5.45,5.195,3.871063
1377,3cyw_ligand,7.77,7.86,3.919,549.46698,-177.812,5.255491,7.7,7.635,5.255491
1378,3cs7_ligand,10.7,8.34,7.283,454.008209,-184.345,6.970374,7.43,9.419,6.970374
1379,3cyx_ligand,8.0,9.03,8.9889,632.094574,-217.268,8.292287,9.06,8.16,8.292287
1380,3cyz_ligand,7.22,5.57,1.4924,295.143311,-56.507,3.340367,5.14,5.254,3.340367
1381,3cow_ligand,6.9,7.15,7.8458,437.188049,-181.966,7.671173,7.34,8.415,7.671173
1382,3d0b_ligand,6.54,7.81,6.2801,428.344452,-125.076,7.573754,7.19,6.399,7.573754
1383,3cz1_ligand,7.26,5.59,3.5757,279.550339,-61.338,3.809047,5.56,3.973,3.809047
1384,3coy_ligand,6.02,6.99,8.0174,449.156189,-181.158,7.502764,7.26,7.825,7.502764
1385,3d1x_ligand,8.66,9.07,9.112,636.822205,-216.849,8.304194,9.09,7.601,8.304194
1386,3d6o_ligand,4.11,3.87,1.4955,181.437805,-68.293,3.382581,4.86,2.617,3.382581
1387,3coz_ligand,5.57,6.28,7.1257,440.23938,-170.948,6.99967,6.94,6.825,6.99967
1388,3d6p_ligand,3.75,3.85,1.2878,178.932556,-69.793,3.399054,4.76,2.975,3.399054
1389,3d1y_ligand,8.22,8.97,9.4387,659.448578,-220.728,8.443424,9.16,8.202,8.443424
1390,3d8z_ligand,3.37,3.61,1.6785,202.543015,-73.636,3.418915,4.86,2.872,3.418915
1391,3d1z_ligand,8.8,8.39,5.9952,549.662781,-189.291,5.90393,7.74,9.788,5.90393
1392,3d78_ligand,7.64,4.78,3.852,274.539154,-77.406,3.743431,5.54,5.292,3.743431
1393,3cke_ligand,6.1,5.48,1.4913,360.544037,-81.692,4.076672,5.21,5.949,4.076672
1394,3djk_ligand,10.6,9.85,6.7334,563.752533,-197.439,6.563138,7.54,9.904,6.563138
1395,3d7z_ligand,7.92,8.55,7.8658,437.421753,-165.639,8.350726,8.03,7.672,8.350726
1396,3d0e_ligand,8.4,8.17,9.7188,485.664581,-156.797,7.007654,7.27,8.093,7.007654
1397,3ctt_ligand,6.35,4.44,3.4188,227.096664,-76.529,3.269076,5.39,-0.077,3.269076
1398,3da9_ligand,5.51,6.34,5.8735,376.246277,-134.457,6.022419,6.87,6.327,6.022419
1399,3djo_ligand,4.39,4.04,3.0061,220.120758,-67.324,3.308864,4.86,4.772,3.308864
