Receptor	Ligand	XScore_Score_pK	Energy	HPScore	HMScore	HSScore
2cej_protein	2cej_ligand	9.430000	-12.860000	9.09	10.15	9.04	
2cen_protein	2cen_ligand	9.650000	-13.160000	9.35	10.58	9.01	
2cbj_protein	2cbj_ligand	6.110000	-8.340000	5.81	6.59	5.94	
2cc7_protein	2cc7_ligand	5.390000	-7.350000	5.32	5.25	5.59	
2cf8_protein	2cf8_ligand	7.550000	-10.300000	7.31	7.84	7.51	
2ccc_protein	2ccc_ligand	5.420000	-7.390000	5.35	5.29	5.62	
2cf9_protein	2cf9_ligand	7.310000	-9.970000	7.19	7.54	7.20	
2bys_protein	2bys_ligand	7.900000	-10.770000	8.22	7.91	7.56	
2ces_protein	2ces_ligand	5.600000	-7.640000	5.47	5.88	5.45	
2ceq_protein	2ceq_ligand	5.600000	-7.640000	5.47	5.88	5.46	
2cer_protein	2cer_ligand	6.480000	-8.840000	6.26	6.76	6.42	
2cet_protein	2cet_ligand	6.580000	-8.970000	6.39	6.98	6.36	
2byr_protein	2byr_ligand	7.770000	-10.600000	7.80	8.08	7.44	
2cgr_protein	2cgr_ligand	6.670000	-9.100000	6.52	6.97	6.52	
2cgf_protein	2cgf_ligand	6.170000	-8.410000	6.00	6.42	6.08	
2ce9_protein	2ce9_ligand	6.010000	-8.190000	6.37	5.95	5.70	
2d0k_protein	2d0k_ligand	5.960000	-8.130000	5.93	6.37	5.59	
2b1i_protein	2b1i_ligand	6.870000	-9.370000	6.74	7.17	6.69	
2b1g_protein	2b1g_ligand	6.210000	-8.470000	6.10	6.48	6.06	
2cn0_protein	2cn0_ligand	7.070000	-9.650000	7.01	7.18	7.03	
2drc_protein	2drc_ligand	6.290000	-8.580000	6.33	6.66	5.89	
2e9u_protein	2e9u_ligand	6.490000	-8.850000	6.21	6.85	6.41	
2e2r_protein	2e2r_ligand	6.910000	-9.420000	7.05	7.32	6.36	
2csn_protein	2csn_ligand	5.390000	-7.350000	5.37	5.71	5.09	
2e27_protein	2e27_ligand	6.030000	-8.220000	6.18	6.01	5.90	
2e7f_protein	2e7f_ligand	6.070000	-8.280000	6.10	6.14	5.97	
2e2p_protein	2e2p_ligand	5.440000	-7.420000	5.47	5.59	5.26	
2d3u_protein	2d3u_ligand	6.720000	-9.170000	6.74	7.16	6.27	
2d3z_protein	2d3z_ligand	6.560000	-8.950000	6.52	6.92	6.24	
2aj8_protein	2aj8_ligand	6.250000	-8.530000	6.23	6.55	5.97	
2dw7_protein	2dw7_ligand	4.930000	-6.730000	4.81	5.22	4.77	
2ewa_protein	2ewa_ligand	7.120000	-9.710000	7.16	7.65	6.55	
2erz_protein	2erz_ligand	6.110000	-8.330000	6.23	6.17	5.93	
2f1g_protein	2f1g_ligand	6.180000	-8.430000	6.23	5.82	6.48	
2e91_protein	2e91_ligand	4.840000	-6.600000	4.75	5.08	4.68	
2ews_protein	2ews_ligand	6.470000	-8.820000	6.41	6.72	6.27	
2e92_protein	2e92_ligand	5.590000	-7.630000	5.42	5.84	5.52	
2exm_protein	2exm_ligand	5.090000	-6.940000	4.98	5.10	5.19	
2f6t_protein	2f6t_ligand	6.560000	-8.940000	6.34	6.98	6.34	
2f8g_protein	2f8g_ligand	7.720000	-10.530000	7.52	8.25	7.39	
2e94_protein	2e94_ligand	7.100000	-9.680000	6.93	7.71	6.66	
2f7i_protein	2f7i_ligand	6.070000	-8.280000	5.91	6.59	5.72	
2f34_protein	2f34_ligand	5.640000	-7.690000	5.47	5.94	5.50	
2f80_protein	2f80_ligand	7.640000	-10.430000	7.47	8.16	7.31	
2f81_protein	2f81_ligand	7.610000	-10.380000	7.45	8.12	7.27	
2fgu_protein	2fgu_ligand	9.030000	-12.320000	8.60	9.75	8.75	
2f35_protein	2f35_ligand	5.630000	-7.670000	5.35	6.11	5.42	
2fgv_protein	2fgv_ligand	9.070000	-12.370000	8.55	9.81	8.83	
2fle_protein	2fle_ligand	9.290000	-12.670000	8.99	9.94	8.94	
2fmb_protein	2fmb_ligand	9.070000	-12.370000	8.39	10.05	8.75	
2bo4_protein	2bo4_ligand	4.470000	-6.100000	4.51	4.53	4.37	
2fdp_protein	2fdp_ligand	8.740000	-11.920000	8.43	9.17	8.63	
2fqw_protein	2fqw_ligand	5.850000	-7.980000	5.75	6.10	5.70	
2fqx_protein	2fqx_ligand	5.960000	-8.130000	5.85	6.23	5.81	
2fqy_protein	2fqy_ligand	5.860000	-8.000000	5.81	6.06	5.72	
2fvd_protein	2fvd_ligand	6.400000	-8.730000	6.40	6.62	6.19	
2fx6_protein	2fx6_ligand	4.980000	-6.790000	4.90	4.95	5.07	
2fxs_protein	2fxs_ligand	5.570000	-7.590000	5.53	5.80	5.37	
2cle_protein	2cle_ligand	5.800000	-7.920000	5.83	6.10	5.49	
2flr_protein	2flr_ligand	7.060000	-9.630000	6.91	7.69	6.58	
2clh_protein	2clh_ligand	6.720000	-9.170000	6.82	7.04	6.31	
2gj5_protein	2gj5_ligand	6.440000	-8.780000	6.28	6.96	6.08	
2cht_protein	2cht_ligand	5.510000	-7.520000	5.50	5.69	5.35	
2fxv_protein	2fxv_ligand	5.940000	-8.110000	5.87	6.19	5.78	
2g5u_protein	2g5u_ligand	6.260000	-8.540000	5.82	6.98	5.98	
2fxu_protein	2fxu_ligand	7.890000	-10.760000	7.51	8.77	7.38	
2cli_protein	2cli_ligand	6.140000	-8.370000	6.19	6.38	5.85	
2gh9_protein	2gh9_ligand	6.740000	-9.190000	6.70	6.97	6.55	
2g94_protein	2g94_ligand	8.440000	-11.510000	8.02	8.59	8.69	
2clk_protein	2clk_ligand	4.810000	-6.560000	4.76	5.02	4.64	
2gv6_protein	2gv6_ligand	6.360000	-8.680000	5.97	7.16	5.96	
2gv7_protein	2gv7_ligand	7.450000	-10.160000	6.81	8.51	7.02	
2gss_protein	2gss_ligand	5.140000	-7.010000	4.88	5.63	4.90	
2gvv_protein	2gvv_ligand	5.650000	-7.710000	5.46	5.85	5.65	
2gst_protein	2gst_ligand	7.190000	-9.810000	7.07	7.73	6.78	
2h4g_protein	2h4g_ligand	5.830000	-7.960000	5.62	6.37	5.52	
2h4k_protein	2h4k_ligand	5.880000	-8.010000	5.64	6.44	5.54	
2hah_protein	2hah_ligand	6.680000	-9.110000	6.39	7.15	6.49	
2hb3_protein	2hb3_ligand	7.910000	-10.790000	7.73	8.48	7.53	
2hhn_protein	2hhn_ligand	6.840000	-9.330000	6.78	7.28	6.46	
2h21_protein	2h21_ligand	6.100000	-8.320000	6.09	6.25	5.96	
2fpz_protein	2fpz_ligand	5.030000	-6.860000	4.93	5.01	5.14	
2hb1_protein	2hb1_ligand	5.160000	-7.030000	5.01	5.43	5.03	
2hnx_protein	2hnx_ligand	5.660000	-7.720000	5.68	6.04	5.25	
2hs1_protein	2hs1_ligand	7.750000	-10.570000	7.55	8.28	7.42	
2glp_protein	2glp_ligand	6.490000	-8.850000	6.34	6.84	6.29	
2gz2_protein	2gz2_ligand	5.200000	-7.100000	5.22	5.37	5.03	
2hkf_protein	2hkf_ligand	6.760000	-9.220000	6.84	6.65	6.79	
2haw_protein	2haw_ligand	4.990000	-6.800000	4.77	5.36	4.83	
2hxm_protein	2hxm_ligand	5.730000	-7.820000	5.69	5.71	5.80	
2i0a_protein	2i0a_ligand	7.800000	-10.630000	7.56	8.28	7.54	
2gl0_protein	2gl0_ligand	5.360000	-7.310000	5.34	5.52	5.22	
2i4d_protein	2i4d_ligand	7.610000	-10.390000	7.56	8.11	7.17	
2i4u_protein	2i4u_ligand	7.660000	-10.450000	7.53	8.17	7.29	
2fw6_protein	2fw6_ligand	5.290000	-7.210000	5.18	5.49	5.19	
2i4v_protein	2i4v_ligand	7.620000	-10.390000	7.42	8.17	7.26	
2i4w_protein	2i4w_ligand	7.920000	-10.800000	7.75	8.45	7.56	
2i4x_protein	2i4x_ligand	7.970000	-10.870000	7.75	8.53	7.63	
2idw_protein	2idw_ligand	7.500000	-10.230000	7.28	8.07	7.15	
2epn_protein	2epn_ligand	5.690000	-7.760000	5.59	5.77	5.70	
2i6b_protein	2i6b_ligand	6.280000	-8.560000	6.28	6.85	5.70	
2i4j_protein	2i4j_ligand	7.870000	-10.730000	7.79	8.30	7.51	
2hzl_protein	2hzl_ligand	4.690000	-6.390000	4.58	4.80	4.68	
2ihq_protein	2ihq_ligand	7.140000	-9.740000	7.33	7.43	6.65	
2hjb_protein	2hjb_ligand	5.100000	-6.960000	5.17	5.19	4.95	
2i4z_protein	2i4z_ligand	7.760000	-10.580000	7.72	8.12	7.44	
2iwx_protein	2iwx_ligand	6.220000	-8.480000	6.03	6.46	6.17	
2ihj_protein	2ihj_ligand	7.230000	-9.860000	7.10	7.41	7.16	
2j2u_protein	2j2u_ligand	6.480000	-8.850000	6.34	6.43	6.69	
2iuz_protein	2iuz_ligand	5.730000	-7.820000	5.77	5.83	5.59	
2izl_protein	2izl_ligand	5.940000	-8.100000	5.97	6.09	5.75	
2j4i_protein	2j4i_ligand	6.920000	-9.440000	6.81	6.81	7.14	
2hmu_protein	2hmu_ligand	5.730000	-7.810000	5.77	5.88	5.54	
2ha2_protein	2ha2_ligand	4.750000	-6.470000	5.03	4.58	4.62	
2ha3_protein	2ha3_ligand	4.310000	-5.880000	4.30	4.44	4.18	
2ha6_protein	2ha6_ligand	4.810000	-6.560000	5.11	4.65	4.67	
2hmv_protein	2hmv_ligand	5.560000	-7.590000	5.57	5.73	5.39	
2i19_protein	2i19_ligand	5.310000	-7.250000	5.23	5.49	5.22	
2j34_protein	2j34_ligand	6.380000	-8.700000	6.25	6.34	6.54	
2j7b_protein	2j7b_ligand	5.560000	-7.580000	5.42	5.83	5.41	
2i2c_protein	2i2c_ligand	6.470000	-8.820000	6.35	6.75	6.30	
2j7d_protein	2j7d_ligand	5.760000	-7.860000	5.68	6.01	5.60	
2j7e_protein	2j7e_ligand	5.830000	-7.950000	5.78	5.99	5.73	
2j7f_protein	2j7f_ligand	5.850000	-7.980000	5.72	6.13	5.71	
2j7g_protein	2j7g_ligand	5.790000	-7.900000	5.72	5.96	5.70	
2j27_protein	2j27_ligand	4.600000	-6.270000	4.53	4.82	4.44	
2j7h_protein	2j7h_ligand	5.120000	-6.990000	5.01	5.38	4.98	
2j4g_protein	2j4g_ligand	6.090000	-8.310000	6.09	6.16	6.03	
2j75_protein	2j75_ligand	5.490000	-7.490000	5.37	5.79	5.31	
2j94_protein	2j94_ligand	6.280000	-8.560000	6.14	6.41	6.28	
2j95_protein	2j95_ligand	6.400000	-8.730000	6.28	6.38	6.54	
2jdm_protein	2jdm_ligand	4.990000	-6.810000	4.75	5.35	4.88	
2j77_protein	2j77_ligand	5.330000	-7.270000	5.19	5.61	5.18	
2jdp_protein	2jdp_ligand	5.000000	-6.830000	4.76	5.35	4.90	
2jdu_protein	2jdu_ligand	5.150000	-7.020000	4.89	5.52	5.03	
2j78_protein	2j78_ligand	5.480000	-7.470000	5.34	5.76	5.33	
2jds_protein	2jds_ligand	6.890000	-9.400000	6.96	6.75	6.97	
2j47_protein	2j47_ligand	6.670000	-9.100000	6.37	7.02	6.62	
2j79_protein	2j79_ligand	5.410000	-7.370000	5.30	5.66	5.26	
2jh0_protein	2jh0_ligand	6.330000	-8.640000	6.12	6.42	6.46	
2jgs_protein	2jgs_ligand	5.770000	-7.870000	5.93	5.85	5.54	
2gyi_protein	2gyi_ligand	4.960000	-6.760000	4.87	5.20	4.80	
2jh5_protein	2jh5_ligand	6.180000	-8.440000	5.99	6.35	6.22	
2jh6_protein	2jh6_ligand	6.050000	-8.260000	5.90	6.16	6.11	
2jfz_protein	2jfz_ligand	7.260000	-9.910000	7.09	7.88	6.82	
2jkh_protein	2jkh_ligand	6.320000	-8.610000	6.26	6.31	6.38	
2nmz_protein	2nmz_ligand	8.650000	-11.790000	8.15	9.35	8.44	
2jxr_protein	2jxr_ligand	7.660000	-10.450000	7.66	7.87	7.45	
2jg0_protein	2jg0_ligand	7.320000	-9.980000	7.11	7.60	7.25	
2o4j_protein	2o4j_ligand	8.650000	-11.790000	8.82	8.61	8.51	
2nt7_protein	2nt7_ligand	7.140000	-9.740000	6.90	7.52	7.00	
2nta_protein	2nta_ligand	6.370000	-8.680000	6.08	6.98	6.04	
2o4k_protein	2o4k_ligand	9.220000	-12.570000	8.84	10.14	8.67	
2o4l_protein	2o4l_ligand	8.340000	-11.370000	8.10	8.71	8.20	
2o4n_protein	2o4n_ligand	8.550000	-11.660000	8.31	9.05	8.28	
2o0u_protein	2o0u_ligand	7.590000	-10.360000	7.72	8.06	7.00	
2o4r_protein	2o4r_ligand	8.550000	-11.660000	8.66	8.58	8.42	
2oax_protein	2oax_ligand	8.170000	-11.140000	8.38	8.18	7.95	
2oiq_protein	2oiq_ligand	8.380000	-11.430000	8.18	8.96	8.00	
2jiw_protein	2jiw_ligand	5.900000	-8.050000	5.76	6.13	5.82	
2ojg_protein	2ojg_ligand	6.190000	-8.450000	6.23	6.39	5.95	
2ogy_protein	2ogy_ligand	5.960000	-8.130000	5.97	6.06	5.86	
2ojj_protein	2ojj_ligand	7.240000	-9.880000	7.02	7.80	6.91	
2oi2_protein	2oi2_ligand	5.170000	-7.050000	5.06	5.37	5.08	
2jkp_protein	2jkp_ligand	5.470000	-7.470000	5.37	5.71	5.35	
2oxn_protein	2oxn_ligand	5.280000	-7.200000	5.04	5.58	5.22	
2oxd_protein	2oxd_ligand	5.680000	-7.750000	5.29	6.22	5.53	
2olb_protein	2olb_ligand	6.800000	-9.280000	6.94	6.87	6.60	
2j62_protein	2j62_ligand	7.450000	-10.160000	7.38	7.48	7.48	
2oxx_protein	2oxx_ligand	5.660000	-7.720000	5.25	6.21	5.51	
2p3a_protein	2p3a_ligand	9.320000	-12.710000	8.82	10.51	8.63	
2p3b_protein	2p3b_ligand	9.170000	-12.510000	8.48	10.73	8.31	
2jjb_protein	2jjb_ligand	6.820000	-9.300000	6.63	7.19	6.63	
2oxy_protein	2oxy_ligand	5.490000	-7.490000	5.07	6.04	5.37	
2p3c_protein	2p3c_ligand	9.730000	-13.270000	9.23	10.98	8.98	
2p3i_protein	2p3i_ligand	4.800000	-6.550000	4.71	4.97	4.72	
2oym_protein	2oym_ligand	6.050000	-8.250000	5.98	6.44	5.74	
2p7a_protein	2p7a_ligand	5.450000	-7.430000	5.35	5.66	5.34	
2p2a_protein	2p2a_ligand	7.310000	-9.970000	7.35	7.56	7.02	
2p7g_protein	2p7g_ligand	6.910000	-9.430000	7.04	7.31	6.38	
2on6_protein	2on6_ligand	5.430000	-7.410000	5.45	5.57	5.27	
2nsj_protein	2nsj_ligand	5.930000	-8.090000	5.80	6.24	5.76	
2nsl_protein	2nsl_ligand	5.910000	-8.060000	5.76	6.23	5.73	
2p4j_protein	2p4j_ligand	9.420000	-12.840000	8.99	9.59	9.67	
2mas_protein	2mas_ligand	6.110000	-8.340000	5.99	6.41	5.94	
2p7z_protein	2p7z_ligand	7.720000	-10.530000	7.82	8.24	7.09	
2p4y_protein	2p4y_ligand	8.090000	-11.040000	7.93	8.78	7.57	
2pk5_protein	2pk5_ligand	9.590000	-13.080000	9.39	10.43	8.95	
2pk6_protein	2pk6_ligand	9.360000	-12.770000	9.22	10.09	8.79	
2p16_protein	2p16_ligand	7.540000	-10.280000	7.47	7.58	7.55	
2p95_protein	2p95_ligand	7.400000	-10.100000	7.14	7.57	7.49	
2pql_protein	2pql_ligand	5.570000	-7.600000	5.72	5.54	5.46	
2pcp_protein	2pcp_ligand	6.910000	-9.420000	6.83	7.14	6.76	
2p15_protein	2p15_ligand	9.010000	-12.280000	9.22	9.64	8.16	
2pqz_protein	2pqz_ligand	8.240000	-11.240000	7.91	9.06	7.75	
2psu_protein	2psu_ligand	7.270000	-9.910000	7.21	7.62	6.98	
2pbw_protein	2pbw_ligand	6.190000	-8.440000	6.10	6.36	6.09	
2psv_protein	2psv_ligand	6.940000	-9.470000	6.88	7.19	6.75	
2pv1_protein	2pv1_ligand	6.680000	-9.110000	6.83	6.63	6.58	
2pog_protein	2pog_ligand	7.190000	-9.810000	7.23	7.57	6.77	
2pq9_protein	2pq9_ligand	7.170000	-9.780000	6.93	7.69	6.88	
2pqb_protein	2pqb_ligand	6.630000	-9.040000	6.49	6.93	6.46	
2pqc_protein	2pqc_ligand	6.470000	-8.830000	6.25	6.84	6.33	
2p4s_protein	2p4s_ligand	5.830000	-7.950000	5.89	5.98	5.62	
2pu2_protein	2pu2_ligand	5.870000	-8.010000	5.74	6.29	5.58	
2pvu_protein	2pvu_ligand	5.340000	-7.290000	5.30	5.59	5.14	
2pvh_protein	2pvh_ligand	6.550000	-8.930000	6.36	6.79	6.48	
2pvj_protein	2pvj_ligand	6.660000	-9.080000	6.61	6.69	6.68	
2pwc_protein	2pwc_ligand	8.210000	-11.200000	7.93	9.03	7.68	
2pvl_protein	2pvl_ligand	6.520000	-8.890000	6.42	6.67	6.48	
2pvk_protein	2pvk_ligand	6.840000	-9.330000	6.70	7.08	6.75	
2pwr_protein	2pwr_ligand	9.040000	-12.330000	8.82	10.01	8.30	
2pvm_protein	2pvm_ligand	6.110000	-8.330000	6.14	6.13	6.06	
2pyn_protein	2pyn_ligand	8.430000	-11.500000	8.03	8.93	8.34	
2q5k_protein	2q5k_ligand	8.700000	-11.860000	8.53	8.98	8.58	
2jke_protein	2jke_ligand	5.060000	-6.910000	4.97	5.30	4.92	
2q2a_protein	2q2a_ligand	5.780000	-7.880000	5.66	6.08	5.58	
2py4_protein	2py4_ligand	7.360000	-10.030000	7.10	7.77	7.20	
2q54_protein	2q54_ligand	8.360000	-11.400000	8.11	8.71	8.27	
2q55_protein	2q55_ligand	8.710000	-11.880000	8.54	9.03	8.56	
2q63_protein	2q63_ligand	8.430000	-11.490000	8.00	8.92	8.36	
2q64_protein	2q64_ligand	8.480000	-11.560000	8.08	8.95	8.40	
2ot1_protein	2ot1_ligand	5.380000	-7.340000	5.30	5.58	5.27	
2pgz_protein	2pgz_ligand	6.380000	-8.710000	6.49	6.61	6.06	
2pwd_protein	2pwd_ligand	5.170000	-7.050000	5.04	5.45	5.03	
2qbp_protein	2qbp_ligand	7.020000	-9.580000	6.74	7.54	6.80	
2qbq_protein	2qbq_ligand	6.970000	-9.510000	6.37	7.95	6.60	
2qbr_protein	2qbr_ligand	6.520000	-8.900000	6.25	7.07	6.25	
2q6f_protein	2q6f_ligand	7.510000	-10.250000	7.25	7.64	7.66	
2pyy_protein	2pyy_ligand	4.970000	-6.770000	4.92	5.11	4.86	
2qbs_protein	2qbs_ligand	6.640000	-9.060000	6.26	7.26	6.41	
2pwg_protein	2pwg_ligand	5.440000	-7.420000	5.33	5.67	5.30	
2qbw_protein	2qbw_ligand	8.740000	-11.920000	8.55	8.86	8.81	
2qci_protein	2qci_ligand	7.820000	-10.660000	7.66	8.31	7.48	
2qd6_protein	2qd6_ligand	7.610000	-10.390000	7.46	8.10	7.28	
2iko_protein	2iko_ligand	6.670000	-9.100000	6.50	7.22	6.30	
2qd7_protein	2qd7_ligand	7.640000	-10.430000	7.45	8.16	7.31	
2qd8_protein	2qd8_ligand	7.600000	-10.370000	7.42	8.03	7.36	
2qhy_protein	2qhy_ligand	7.520000	-10.260000	7.32	7.88	7.37	
2qhz_protein	2qhz_ligand	7.480000	-10.210000	7.39	7.84	7.21	
2qg2_protein	2qg2_ligand	6.530000	-8.900000	6.36	6.78	6.43	
2qi1_protein	2qi1_ligand	7.920000	-10.800000	7.79	8.46	7.50	
2qi0_protein	2qi0_ligand	7.940000	-10.830000	7.88	8.34	7.59	
2qi3_protein	2qi3_ligand	7.380000	-10.070000	7.04	8.07	7.02	
2qi4_protein	2qi4_ligand	8.040000	-10.970000	7.78	8.61	7.74	
2qi5_protein	2qi5_ligand	8.020000	-10.940000	7.69	8.60	7.78	
2qbu_protein	2qbu_ligand	6.610000	-9.020000	6.55	6.82	6.46	
2qi6_protein	2qi6_ligand	7.970000	-10.870000	7.72	8.47	7.71	
2q8z_protein	2q8z_ligand	6.350000	-8.660000	6.16	6.65	6.23	
2qi7_protein	2qi7_ligand	7.240000	-9.880000	7.00	7.73	7.01	
2qnn_protein	2qnn_ligand	9.230000	-12.590000	8.98	10.49	8.22	
2qnp_protein	2qnp_ligand	8.800000	-12.010000	8.17	10.03	8.21	
2qnq_protein	2qnq_ligand	8.170000	-11.150000	7.82	8.91	7.78	
2qm9_protein	2qm9_ligand	7.270000	-9.920000	7.06	7.82	6.93	
2qg0_protein	2qg0_ligand	5.910000	-8.070000	5.86	5.99	5.89	
2qe4_protein	2qe4_ligand	7.010000	-9.570000	7.07	7.47	6.50	
2qpq_protein	2qpq_ligand	4.800000	-6.550000	4.80	4.88	4.73	
2qmg_protein	2qmg_ligand	8.460000	-11.540000	8.44	8.45	8.50	
2qu6_protein	2qu6_ligand	7.970000	-10.880000	7.78	8.39	7.75	
2qw1_protein	2qw1_ligand	4.090000	-5.580000	4.11	4.21	3.96	
2qtn_protein	2qtn_ligand	5.060000	-6.910000	5.15	5.18	4.86	
2q7q_protein	2q7q_ligand	5.240000	-7.150000	5.19	5.34	5.20	
2qrk_protein	2qrk_ligand	5.120000	-6.990000	5.12	5.28	4.97	
2qrl_protein	2qrl_ligand	4.390000	-5.990000	4.32	4.61	4.25	
2oag_protein	2oag_ligand	6.700000	-9.140000	6.64	6.95	6.51	
2qpu_protein	2qpu_ligand	4.740000	-6.470000	4.68	5.09	4.46	
2qtt_protein	2qtt_ligand	5.880000	-8.020000	5.82	6.08	5.73	
2r3t_protein	2r3t_ligand	8.700000	-11.860000	8.45	9.61	8.03	
2qtg_protein	2qtg_ligand	5.900000	-8.050000	5.90	6.00	5.80	
2r3w_protein	2r3w_ligand	8.110000	-11.060000	7.89	8.77	7.67	
2r2w_protein	2r2w_ligand	5.970000	-8.150000	5.85	5.83	6.24	
2r2m_protein	2r2m_ligand	6.550000	-8.930000	6.49	7.03	6.13	
2r5a_protein	2r5a_ligand	4.090000	-5.570000	4.20	4.23	3.83	
2r5p_protein	2r5p_ligand	8.800000	-12.010000	8.70	9.03	8.68	
2r38_protein	2r38_ligand	8.640000	-11.790000	8.44	9.44	8.04	
2r43_protein	2r43_ligand	8.150000	-11.110000	7.83	8.98	7.63	
2r0z_protein	2r0z_ligand	6.800000	-9.270000	6.84	7.06	6.49	
2r58_protein	2r58_ligand	4.130000	-5.640000	4.25	4.30	3.85	
2r9w_protein	2r9w_ligand	6.380000	-8.700000	6.09	7.18	5.87	
2r9x_protein	2r9x_ligand	6.150000	-8.380000	5.78	7.00	5.66	
2ra0_protein	2ra0_ligand	7.400000	-10.100000	7.42	7.53	7.26	
2ole_protein	2ole_ligand	5.860000	-7.990000	5.78	6.08	5.71	
2rcb_protein	2rcb_ligand	4.860000	-6.630000	4.72	5.16	4.71	
2r75_protein	2r75_ligand	6.670000	-9.100000	6.56	7.01	6.45	
2r0h_protein	2r0h_ligand	5.100000	-6.960000	5.05	5.23	5.02	
2reg_protein	2reg_ligand	4.660000	-6.350000	4.63	4.81	4.53	
2rin_protein	2rin_ligand	4.760000	-6.500000	4.78	4.72	4.78	
2rkf_protein	2rkf_ligand	8.160000	-11.140000	7.98	8.46	8.06	
2rkg_protein	2rkg_ligand	8.160000	-11.130000	7.92	8.47	8.09	
2ri9_protein	2ri9_ligand	4.560000	-6.220000	4.49	4.76	4.43	
2sim_protein	2sim_ligand	5.410000	-7.380000	5.31	5.51	5.41	
2tpi_protein	2tpi_ligand	5.960000	-8.130000	5.58	6.21	6.09	
2rkm_protein	2rkm_ligand	5.630000	-7.680000	5.72	5.59	5.58	
2rk8_protein	2rk8_ligand	4.410000	-6.020000	4.32	4.65	4.27	
2rka_protein	2rka_ligand	4.210000	-5.740000	4.20	4.36	4.06	
2rkd_protein	2rkd_ligand	4.350000	-5.940000	4.34	4.47	4.25	
2std_protein	2std_ligand	6.960000	-9.500000	6.72	7.41	6.76	
2rke_protein	2rke_ligand	4.370000	-5.970000	4.34	4.55	4.23	
2uwl_protein	2uwl_ligand	6.180000	-8.430000	6.06	6.20	6.28	
2uxz_protein	2uxz_ligand	9.290000	-12.670000	9.02	10.05	8.79	
2uy0_protein	2uy0_ligand	9.630000	-13.140000	9.31	10.31	9.28	
2uwo_protein	2uwo_ligand	6.520000	-8.890000	6.35	6.53	6.68	
2rio_protein	2rio_ligand	5.660000	-7.710000	5.63	5.87	5.47	
2uwp_protein	2uwp_ligand	6.080000	-8.290000	5.99	6.06	6.19	
2uwd_protein	2uwd_ligand	6.830000	-9.310000	6.54	7.23	6.72	
2uxi_protein	2uxi_ligand	5.630000	-7.670000	5.61	5.86	5.41	
2uy3_protein	2uy3_ligand	5.160000	-7.030000	5.00	5.40	5.07	
2uy4_protein	2uy4_ligand	4.830000	-6.590000	4.78	4.84	4.88	
2uy5_protein	2uy5_ligand	5.470000	-7.460000	5.50	5.47	5.44	
2uyq_protein	2uyq_ligand	5.100000	-6.960000	5.04	5.30	4.97	
2uyn_protein	2uyn_ligand	4.790000	-6.530000	4.68	4.89	4.79	
2v00_protein	2v00_ligand	5.440000	-7.410000	5.49	5.46	5.35	
2v3u_protein	2v3u_ligand	4.860000	-6.630000	4.74	5.14	4.71	
2v2q_protein	2v2q_ligand	5.270000	-7.190000	5.26	5.28	5.27	
2v2v_protein	2v2v_ligand	5.360000	-7.310000	5.32	5.37	5.38	
2v7a_protein	2v7a_ligand	6.840000	-9.330000	6.74	7.15	6.64	
2v2c_protein	2v2c_ligand	4.670000	-6.370000	4.59	4.90	4.51	
2v8w_protein	2v8w_ligand	5.030000	-6.860000	5.05	5.20	4.83	
2v57_protein	2v57_ligand	5.780000	-7.880000	5.69	5.85	5.80	
2v54_protein	2v54_ligand	6.110000	-8.330000	6.10	6.21	6.01	
2v3d_protein	2v3d_ligand	5.590000	-7.630000	5.48	5.78	5.52	
2v95_protein	2v95_ligand	7.040000	-9.600000	7.23	7.29	6.61	
2v58_protein	2v58_ligand	6.610000	-9.010000	6.19	7.31	6.32	
2vfk_protein	2vfk_ligand	4.790000	-6.540000	4.82	4.92	4.64	
2v2h_protein	2v2h_ligand	4.720000	-6.440000	4.62	4.98	4.56	
2v59_protein	2v59_ligand	6.040000	-8.240000	6.00	6.38	5.75	
2qwb_protein	2qwb_ligand	5.290000	-7.220000	5.16	5.41	5.32	
2vh0_protein	2vh0_ligand	6.820000	-9.300000	6.76	6.90	6.79	
2vh6_protein	2vh6_ligand	7.500000	-10.230000	7.56	7.70	7.24	
2vk2_protein	2vk2_ligand	5.660000	-7.730000	5.48	6.00	5.51	
2qwe_protein	2qwe_ligand	5.710000	-7.790000	5.57	5.88	5.68	
2vkm_protein	2vkm_ligand	8.820000	-12.030000	9.04	8.73	8.68	
2vb8_protein	2vb8_ligand	5.910000	-8.060000	5.66	5.89	6.18	
2vk6_protein	2vk6_ligand	5.780000	-7.880000	5.65	5.91	5.79	
2vmc_protein	2vmc_ligand	4.570000	-6.240000	4.47	4.84	4.41	
2vba_protein	2vba_ligand	6.110000	-8.330000	6.02	6.20	6.10	
2vnt_protein	2vnt_ligand	6.320000	-8.620000	6.13	6.48	6.34	
2qwc_protein	2qwc_ligand	5.340000	-7.280000	5.19	5.47	5.36	
2vo4_protein	2vo4_ligand	4.660000	-6.360000	4.60	4.83	4.57	
2vpn_protein	2vpn_ligand	5.370000	-7.330000	5.30	5.47	5.34	
2qwf_protein	2qwf_ligand	5.740000	-7.830000	5.54	5.93	5.74	
2vpo_protein	2vpo_ligand	5.310000	-7.250000	5.23	5.40	5.31	
2vvc_protein	2vvc_ligand	7.410000	-10.100000	7.30	7.57	7.34	
2vt3_protein	2vt3_ligand	5.220000	-7.110000	5.28	5.35	5.03	
