Receptor	Ligand	Score(pK)	Energy	gauss_1	gauss_2	repulsion	hydrophobic	Hydrogen	Cl	Br	I
1rnm_protein	1rnm_ligand	3.511019	-4.789030	45.13267	918.02992	2.34602	2.33361	3.19581	0.00000	0.00000	0.00000	
1rnt_protein	1rnt_ligand	3.258548	-4.444660	86.63048	1074.08473	6.80047	0.00000	5.04524	0.00000	0.00000	0.00000	
1rp7_protein	1rp7_ligand	6.627031	-9.039270	129.95544	1747.38658	6.52113	23.66017	7.29664	0.00000	0.00000	0.00000	
1rpf_protein	1rpf_ligand	3.177940	-4.334710	65.33367	993.34023	5.57735	2.28968	4.93260	0.00000	0.00000	0.00000	
1rql_protein	1rql_ligand	2.894985	-3.948760	43.43809	461.72000	1.97069	5.48235	2.92279	0.00000	0.00000	0.00000	
1rr6_protein	1rr6_ligand	5.886708	-8.029470	95.61929	1218.59146	2.37966	2.07646	3.26335	0.00000	0.00000	0.00000	
1rtf_protein	1rtf_ligand	4.241408	-5.785280	65.82751	599.07344	1.16851	8.48795	2.63194	0.00000	0.00000	0.00000	
1s5z_protein	1s5z_ligand	4.276026	-5.832500	89.29264	1218.96507	4.16590	0.00000	4.14262	0.00000	0.00000	0.00000	
1s19_protein	1s19_ligand	8.597126	-11.726480	86.61914	1901.41062	3.78053	94.37520	5.38542	0.00000	0.00000	0.00000	
1s89_protein	1s89_ligand	3.989282	-5.441380	61.82565	665.55050	4.91514	0.00000	8.33195	0.00000	0.00000	0.00000	
1sb1_protein	1sb1_ligand	5.962830	-8.133300	114.17840	1727.33276	5.53649	54.20285	2.92983	0.00000	0.00000	0.00000	
1sbg_protein	1sbg_ligand	6.506547	-8.874930	107.62373	2061.48712	3.34956	77.26810	3.47826	0.00000	0.00000	0.00000	
1sdt_protein	1sdt_ligand	8.549912	-11.662080	145.13064	2390.34974	3.98511	96.20078	5.12928	0.00000	0.00000	0.00000	
1sdu_protein	1sdu_ligand	8.281298	-11.295690	135.15004	2365.27268	3.75696	81.94167	5.36968	0.00000	0.00000	0.00000	
1sdv_protein	1sdv_ligand	8.204553	-11.191010	140.09616	2375.43296	4.28981	87.78234	5.08815	0.00000	0.00000	0.00000	
1sgu_protein	1sgu_ligand	7.380433	-10.066910	122.04030	2264.01023	4.55332	79.34746	4.67757	0.00000	0.00000	0.00000	
1sh9_protein	1sh9_ligand	5.320667	-7.257390	111.28448	2255.56762	5.98687	56.21736	4.38789	0.00000	0.00000	0.00000	
1siv_protein	1siv_ligand	6.375081	-8.695610	114.33459	2065.96465	5.58646	54.47051	10.05536	0.00000	0.00000	0.00000	
1sl3_protein	1sl3_ligand	7.912874	-10.793160	141.70357	1901.17277	3.67646	54.88766	3.68463	0.00000	0.00000	0.00000	
1sld_protein	1sld_ligand	6.479985	-8.838700	93.30827	1737.26537	3.49008	61.41946	3.38161	0.00000	0.00000	0.00000	
1sqa_protein	1sqa_ligand	5.592881	-7.628690	103.17696	1434.62069	3.81213	8.77225	4.39301	0.00000	0.00000	0.00000	
1sqo_protein	1sqo_ligand	5.600374	-7.638910	93.25029	1097.65969	3.52291	7.23306	4.99514	0.00000	0.00000	0.00000	
1sqt_protein	1sqt_ligand	5.370176	-7.324920	97.43147	1244.29952	3.59348	5.44075	3.73698	0.00000	0.00000	0.00000	
1sr7_protein	1sr7_ligand	9.143600	-12.471870	109.46467	2142.43999	1.91795	65.04762	1.49213	0.00000	0.00000	0.00000	
1srg_protein	1srg_ligand	4.480880	-6.111920	120.69590	1267.81531	10.80201	68.79051	5.42225	0.00000	0.00000	0.00000	
1ssq_protein	1ssq_ligand	2.040843	-2.783710	38.66536	475.41347	3.43787	0.00000	3.97514	0.00000	0.00000	0.00000	
1stc_protein	1stc_ligand	8.955792	-12.215700	118.64363	1978.42953	5.57921	75.09608	3.38874	0.00000	0.00000	0.00000	
1str_protein	1str_ligand	4.521584	-6.167440	86.91924	1760.65098	2.57074	34.35664	4.30586	0.00000	0.00000	0.00000	
1sv3_protein	1sv3_ligand	2.932801	-4.000340	41.40446	629.72381	1.33879	16.63905	0.49384	0.00000	0.00000	0.00000	
1sw2_protein	1sw2_ligand	3.542346	-4.831760	58.46730	639.23583	1.93462	0.00000	2.79505	0.00000	0.00000	0.00000	
1swg_protein	1swg_ligand	4.503343	-6.142560	73.57172	1001.43054	4.10953	29.15241	4.41007	0.00000	0.00000	0.00000	
1swr_protein	1swr_ligand	5.036048	-6.869170	92.69891	1106.40861	6.47387	27.90255	7.40077	0.00000	0.00000	0.00000	
1syh_protein	1syh_ligand	6.683790	-9.116690	114.13355	1095.83063	6.96667	15.73086	11.17777	0.00000	0.00000	0.00000	
1syi_protein	1syi_ligand	6.439853	-8.783960	112.16480	1126.67138	7.03203	18.27085	10.28916	0.00000	0.00000	0.00000	
1t4v_protein	1t4v_ligand	5.639025	-7.691630	95.19158	1375.37279	2.77880	54.17173	3.65915	0.00000	0.00000	0.00000	
1t5f_protein	1t5f_ligand	2.984135	-4.070360	50.03095	840.37212	5.27196	4.96548	6.81581	0.00000	0.00000	0.00000	
1t7d_protein	1t7d_ligand	5.194597	-7.085430	82.51613	1584.19394	4.13491	35.26432	4.37846	0.00000	0.00000	0.00000	
1t7j_protein	1t7j_ligand	5.835213	-7.959230	99.23237	1883.62045	3.84420	40.52049	4.38160	0.00000	0.00000	0.00000	
1t32_protein	1t32_ligand	7.874084	-10.740250	134.34013	1919.95322	4.30962	68.97807	2.83097	0.00000	0.00000	0.00000	
1ta6_protein	1ta6_ligand	6.801400	-9.277110	119.85793	1672.05809	2.97867	54.86887	3.60994	0.00000	0.00000	0.00000	
1tcx_protein	1tcx_ligand	6.561048	-8.949270	102.70378	2075.76360	3.49880	79.37907	3.95666	0.00000	0.00000	0.00000	
1td7_protein	1td7_ligand	4.640389	-6.329490	58.36293	938.65065	0.83691	33.81808	0.69670	0.00000	0.00000	0.00000	
1thz_protein	1thz_ligand	5.110271	-6.970410	100.74883	1166.55716	3.77374	37.73463	2.14398	0.00000	0.00000	0.00000	
1tjp_protein	1tjp_ligand	5.557933	-7.581020	103.85511	1277.63268	7.12286	31.51950	9.35754	0.00000	0.00000	0.00000	
1tkb_protein	1tkb_ligand	5.873886	-8.011980	124.15216	1670.26294	5.55742	48.87074	2.87473	0.00000	0.00000	0.00000	
1tng_protein	1tng_ligand	2.983343	-4.069280	38.23725	536.08586	1.87151	3.70846	2.97162	0.00000	0.00000	0.00000	
1tnh_protein	1tnh_ligand	3.484010	-4.752190	47.47701	584.58184	1.65077	3.64377	2.93693	0.00000	0.00000	0.00000	
1tni_protein	1tni_ligand	2.075579	-2.831090	68.95235	609.48578	3.98078	4.42504	2.00000	0.00000	0.00000	0.00000	
1tom_protein	1tom_ligand	6.237852	-8.508430	97.09814	1366.14967	3.48223	53.87025	4.72937	0.00000	0.00000	0.00000	
1tpw_protein	1tpw_ligand	3.883292	-5.296810	60.42922	661.27795	4.40610	0.00000	7.70326	0.00000	0.00000	0.00000	
1tq4_protein	1tq4_ligand	6.082735	-8.296850	125.36662	1300.80941	7.90196	0.00000	12.18189	0.00000	0.00000	0.00000	
1trd_protein	1trd_ligand	2.696913	-3.678590	55.60181	619.21938	5.00812	0.00000	5.93217	0.00000	0.00000	0.00000	
1tsy_protein	1tsy_ligand	5.356547	-7.306330	88.36805	1099.31425	6.10371	0.60107	9.40959	0.00000	0.00000	0.00000	
1tx7_protein	1tx7_ligand	4.219963	-5.756030	66.44226	801.34410	4.07713	2.73865	6.12308	0.00000	0.00000	0.00000	
1u0g_protein	1u0g_ligand	4.021723	-5.485630	63.29599	810.25630	6.71121	0.00000	11.53535	0.00000	0.00000	0.00000	
1u1b_protein	1u1b_ligand	5.331642	-7.272360	106.47554	1921.27922	4.33099	4.34788	5.47416	0.00000	0.00000	0.00000	
1u1w_protein	1u1w_ligand	5.578842	-7.609540	77.92286	883.48179	4.06608	19.13467	6.68702	0.00000	0.00000	0.00000	
1u33_protein	1u33_ligand	5.270916	-7.189530	116.94316	1844.84373	10.10504	0.00000	12.73445	0.00000	0.00000	0.00000	
1u71_protein	1u71_ligand	5.960374	-8.129950	91.25661	1244.50340	1.97576	26.82406	2.66135	0.00000	0.00000	0.00000	
1ua4_protein	1ua4_ligand	5.472588	-7.464610	82.50952	1598.17979	5.10854	0.00000	5.08156	0.00000	0.00000	0.00000	
1ucn_protein	1ucn_ligand	4.708864	-6.422890	98.83310	1218.98099	6.40827	0.00000	8.19785	0.00000	0.00000	0.00000	
1ugx_protein	1ugx_ligand	3.976540	-5.424000	68.83354	925.05624	3.40673	0.03039	6.68230	0.00000	0.00000	0.00000	
1ui0_protein	1ui0_ligand	3.529809	-4.814660	71.17858	523.06904	4.71864	7.56400	5.60009	0.00000	0.00000	0.00000	
1uj5_protein	1uj5_ligand	3.538812	-4.826940	78.69284	863.85693	7.84384	0.00000	10.69129	0.00000	0.00000	0.00000	
1uou_protein	1uou_ligand	5.029370	-6.860060	68.59840	1084.68716	3.78601	8.37136	4.28028	0.00000	0.00000	0.00000	
1upf_protein	1upf_ligand	2.937808	-4.007170	30.61123	513.57565	0.29802	3.81497	0.65825	0.00000	0.00000	0.00000	
1ur9_protein	1ur9_ligand	7.202676	-9.824450	135.22059	2043.56823	6.00854	42.82589	7.88818	0.00000	0.00000	0.00000	
1usi_protein	1usi_ligand	5.107331	-6.966400	98.72887	869.62047	6.57958	54.52322	6.81882	0.00000	0.00000	0.00000	
1usk_protein	1usk_ligand	3.994780	-5.448880	70.63106	641.81218	4.30215	26.07899	5.86348	0.00000	0.00000	0.00000	
1utj_protein	1utj_ligand	3.291657	-4.489820	46.76987	528.70982	1.46867	4.16806	2.68698	0.00000	0.00000	0.00000	
1utl_protein	1utl_ligand	2.858453	-3.898930	46.31995	590.24836	1.29882	8.40405	1.37264	0.00000	0.00000	0.00000	
1utm_protein	1utm_ligand	2.790440	-3.806160	27.44291	535.39220	0.45445	3.65473	1.50001	0.00000	0.00000	0.00000	
1utn_protein	1utn_ligand	3.236708	-4.414870	45.99750	543.35633	1.91638	4.51275	3.09758	0.00000	0.00000	0.00000	
1uto_protein	1uto_ligand	3.066122	-4.182190	41.04995	572.64999	0.76219	6.28351	1.36514	0.00000	0.00000	0.00000	
1uv6_protein	1uv6_ligand	2.070257	-2.823830	46.55210	668.49461	1.97998	0.00000	0.07141	0.00000	0.00000	0.00000	
1uvt_protein	1uvt_ligand	6.158629	-8.400370	118.73696	1424.49225	2.71160	69.89979	1.00000	0.00000	0.00000	0.00000	
1uw6_protein	1uw6_ligand	4.149963	-5.660550	57.72512	796.78250	1.89758	24.05620	1.00000	0.00000	0.00000	0.00000	
1uwf_protein	1uwf_ligand	4.237170	-5.779500	65.52377	936.45506	5.37379	12.03471	8.66038	0.00000	0.00000	0.00000	
1uwt_protein	1uwt_ligand	5.114135	-6.975680	91.86105	922.04262	6.79804	0.00000	10.38217	0.00000	0.00000	0.00000	
1uwu_protein	1uwu_ligand	4.283578	-5.842800	90.56916	911.22978	7.93526	0.00000	9.58619	0.00000	0.00000	0.00000	
1uz1_protein	1uz1_ligand	4.259846	-5.810430	74.74384	755.94125	5.73205	4.48686	8.10784	0.00000	0.00000	0.00000	
1uz4_protein	1uz4_ligand	4.405850	-6.009580	67.46717	744.93927	4.49231	6.76165	7.12441	0.00000	0.00000	0.00000	
1uz8_protein	1uz8_ligand	5.497947	-7.499200	92.13082	1513.73520	2.96155	13.13308	6.31343	0.00000	0.00000	0.00000	
1v0k_protein	1v0k_ligand	4.569721	-6.233100	79.05240	969.77380	5.07698	0.00000	7.36062	0.00000	0.00000	0.00000	
1v0l_protein	1v0l_ligand	5.024751	-6.853760	77.42725	898.21765	4.66385	5.99913	8.14086	0.00000	0.00000	0.00000	
1v1j_protein	1v1j_ligand	6.032001	-8.227650	71.54822	963.01479	4.34128	7.39116	9.03220	0.00000	0.00000	0.00000	
1v1m_protein	1v1m_ligand	6.795447	-9.268990	142.61149	1551.11306	6.36180	31.07115	7.21946	0.00000	0.00000	0.00000	
1v2j_protein	1v2j_ligand	3.866408	-5.273780	61.27446	589.07027	2.57882	3.66414	4.35727	0.00000	0.00000	0.00000	
1v2k_protein	1v2k_ligand	7.706151	-10.511190	136.05078	1536.69773	1.51006	41.86040	0.00000	0.00000	0.00000	0.00000	
1v2l_protein	1v2l_ligand	3.902529	-5.323050	58.91678	593.18263	1.70529	6.02950	3.16067	0.00000	0.00000	0.00000	
1v2n_protein	1v2n_ligand	6.485762	-8.846580	103.32551	1354.28852	3.10211	42.97333	4.06374	0.00000	0.00000	0.00000	
1v2o_protein	1v2o_ligand	3.769391	-5.141450	78.58094	1013.31862	4.17854	5.23882	6.14656	0.00000	0.00000	0.00000	
1v2r_protein	1v2r_ligand	3.918167	-5.344380	78.60421	1057.03781	4.11422	5.30887	6.21906	0.00000	0.00000	0.00000	
1v2s_protein	1v2s_ligand	4.052317	-5.527360	59.57230	588.94727	2.02985	4.90508	4.06252	0.00000	0.00000	0.00000	
1v2t_protein	1v2t_ligand	3.998446	-5.453880	72.76694	1026.51650	3.44328	4.92827	6.19403	0.00000	0.00000	0.00000	
1v2u_protein	1v2u_ligand	3.963666	-5.406440	59.24457	586.99092	2.46347	5.52262	4.45898	0.00000	0.00000	0.00000	
1v2w_protein	1v2w_ligand	3.885213	-5.299430	78.43970	998.18361	3.83733	5.37366	6.21404	0.00000	0.00000	0.00000	
1v11_protein	1v11_ligand	6.161078	-8.403710	142.90263	1521.82617	6.18850	26.89282	6.64819	0.00000	0.00000	0.00000	
1v16_protein	1v16_ligand	6.982324	-9.523890	142.84159	1549.02295	6.09029	31.10626	6.97953	0.00000	0.00000	0.00000	
1vso_protein	1vso_ligand	4.176620	-5.696910	78.37985	913.33046	5.49685	20.93400	7.81321	0.00000	0.00000	0.00000	
1vyf_protein	1vyf_ligand	3.624509	-4.943830	47.27238	1139.61681	2.03533	54.33538	2.59485	0.00000	0.00000	0.00000	
1vyg_protein	1vyg_ligand	4.639560	-6.328360	76.64433	1416.20275	3.22087	79.42580	2.37491	0.00000	0.00000	0.00000	
1vzq_protein	1vzq_ligand	7.919795	-10.802600	125.15736	1784.03289	4.58633	30.80974	5.23863	0.00000	0.00000	0.00000	
1w0z_protein	1w0z_ligand	4.971180	-6.780690	98.23954	1433.42049	5.58278	5.51843	9.45274	0.00000	0.00000	0.00000	
1w3j_protein	1w3j_ligand	4.147273	-5.656880	72.75525	687.01284	5.53840	0.00000	8.51974	0.00000	0.00000	0.00000	
1w3k_protein	1w3k_ligand	5.203702	-7.097850	91.90154	1139.95219	7.30681	0.00000	11.91011	0.00000	0.00000	0.00000	
1w3l_protein	1w3l_ligand	5.677632	-7.744290	121.59796	1421.78334	8.45262	0.00000	14.29813	0.00000	0.00000	0.00000	
1w4o_protein	1w4o_ligand	3.684677	-5.025900	62.04911	980.68926	4.99608	2.28599	5.20013	0.00000	0.00000	0.00000	
1w4p_protein	1w4p_ligand	3.488922	-4.758890	57.68106	936.22244	3.95124	2.80003	3.99358	0.00000	0.00000	0.00000	
1w4q_protein	1w4q_ligand	3.075015	-4.194320	70.56373	1004.05893	5.52266	3.19312	3.64390	0.00000	0.00000	0.00000	
1w5v_protein	1w5v_ligand	8.962801	-12.225260	180.93158	2718.49780	7.50055	102.22705	8.85501	0.00000	0.00000	0.00000	
1w5w_protein	1w5w_ligand	9.080704	-12.386080	177.79621	2801.90129	7.22036	101.07490	8.50436	0.00000	0.00000	0.00000	
1w5x_protein	1w5x_ligand	9.200330	-12.549250	186.62019	2841.90251	8.12699	104.67513	9.22247	0.00000	0.00000	0.00000	
1w5y_protein	1w5y_ligand	8.531019	-11.636310	166.82068	2746.01789	7.23110	95.32249	7.61070	0.00000	0.00000	0.00000	
1w7g_protein	1w7g_ligand	4.948065	-6.749160	101.46845	1639.46987	3.55263	27.21642	2.81895	0.00000	0.00000	0.00000	
1w9u_protein	1w9u_ligand	6.607485	-9.012610	145.11174	1869.74019	4.85156	38.88892	4.18095	0.00000	0.00000	0.00000	
1w9v_protein	1w9v_ligand	5.639296	-7.692000	106.00578	1511.00641	6.25608	41.64322	6.00312	0.00000	0.00000	0.00000	
1w11_protein	1w11_ligand	4.841437	-6.603720	118.94616	1583.91376	8.82482	9.88877	10.37929	0.00000	0.00000	0.00000	
1w13_protein	1w13_ligand	5.931657	-8.090780	115.05839	1618.01202	6.40636	9.88178	10.44232	0.00000	0.00000	0.00000	
1w96_protein	1w96_ligand	8.543556	-11.653410	113.10009	1727.05499	3.21664	56.83138	4.84509	0.00000	0.00000	0.00000	
1wc1_protein	1wc1_ligand	4.958109	-6.762860	89.12527	1546.10052	4.05403	0.00000	4.73490	0.00000	0.00000	0.00000	
1wcq_protein	1wcq_ligand	4.765850	-6.500620	83.84796	1073.57273	6.62086	15.80335	10.58903	0.00000	0.00000	0.00000	
1wdn_protein	1wdn_ligand	4.450007	-6.069810	77.60869	709.15821	5.56942	14.67239	9.23334	0.00000	0.00000	0.00000	
1wht_protein	1wht_ligand	3.875425	-5.286080	80.14065	942.48731	6.58612	41.78863	5.42932	0.00000	0.00000	0.00000	
1wm1_protein	1wm1_ligand	3.548974	-4.840800	72.69901	1098.20318	8.06328	17.22264	6.15392	0.00000	0.00000	0.00000	
1ws4_protein	1ws4_ligand	3.672757	-5.009640	59.78491	599.15437	2.50864	0.00000	5.23171	0.00000	0.00000	0.00000	
1wvj_protein	1wvj_ligand	6.484304	-8.844590	108.67378	1140.74238	7.46926	31.80952	10.31064	0.00000	0.00000	0.00000	
1x1z_protein	1x1z_ligand	6.557727	-8.944740	92.07277	1491.27856	8.31846	5.62511	13.01976	0.00000	0.00000	0.00000	
1x8d_protein	1x8d_ligand	3.553255	-4.846640	37.33972	696.24899	3.04861	8.84575	4.42504	0.00000	0.00000	0.00000	
1x8j_protein	1x8j_ligand	6.347911	-8.658550	30.21542	1191.51458	0.17012	52.33918	0.00000	0.00000	0.00000	0.00000	
1x8r_protein	1x8r_ligand	5.892251	-8.037030	138.54620	1550.78873	15.43949	20.27963	19.34776	0.00000	0.00000	0.00000	
1x8t_protein	1x8t_ligand	5.975323	-8.150340	125.43985	1484.88273	14.43496	20.34527	19.57946	0.00000	0.00000	0.00000	
1x38_protein	1x38_ligand	5.275088	-7.195220	107.00678	1241.28957	7.76860	29.61513	7.07539	0.00000	0.00000	0.00000	
1x39_protein	1x39_ligand	4.829018	-6.586780	103.14247	1275.67732	7.34854	5.63617	7.87860	0.00000	0.00000	0.00000	
1xap_protein	1xap_ligand	10.564824	-14.410420	99.82424	1721.65118	1.82841	135.03085	2.22021	0.00000	0.00000	0.00000	
1xbo_protein	1xbo_ligand	6.843556	-9.334610	127.95168	1600.05347	4.56257	48.11757	7.03454	0.00000	0.00000	0.00000	
1xd0_protein	1xd0_ligand	6.519611	-8.892750	149.34894	2561.84529	10.80454	5.45128	16.41595	0.00000	0.00000	0.00000	
1xff_protein	1xff_ligand	4.098937	-5.590950	62.23047	776.51486	5.89440	1.85102	9.76544	0.00000	0.00000	0.00000	
1xgi_protein	1xgi_ligand	4.185865	-5.709520	79.73668	1023.44119	6.16540	14.17516	6.70941	0.00000	0.00000	0.00000	
1xh4_protein	1xh4_ligand	8.957221	-12.217650	168.62204	2205.77717	7.18022	46.00099	7.86236	0.00000	0.00000	0.00000	
1xh5_protein	1xh5_ligand	8.995513	-12.269880	157.40419	2204.73689	5.96362	61.92950	5.98745	0.00000	0.00000	0.00000	
1xh9_protein	1xh9_ligand	9.122258	-12.442760	171.34939	2202.29084	7.12965	39.61037	8.60467	0.00000	0.00000	0.00000	
1xhy_protein	1xhy_ligand	5.547405	-7.566660	88.94318	971.62819	6.46675	25.34686	9.69989	0.00000	0.00000	0.00000	
1xjd_protein	1xjd_ligand	8.472683	-11.556740	119.72881	1964.08384	4.81685	61.39955	3.00000	0.00000	0.00000	0.00000	
1xk5_protein	1xk5_ligand	3.564523	-4.862010	110.10777	1519.14321	6.62362	5.43729	4.91989	0.00000	0.00000	0.00000	
1xk9_protein	1xk9_ligand	2.883497	-3.933090	101.79944	1022.17700	9.09604	65.54572	1.81284	0.00000	0.00000	0.00000	
1xka_protein	1xka_ligand	5.500821	-7.503120	145.95982	1530.45663	5.51975	36.68053	3.28224	0.00000	0.00000	0.00000	
1xkk_protein	1xkk_ligand	7.069362	-9.642610	141.44251	2142.63645	3.99968	69.06944	0.91422	0.59391	0.00000	0.00000	
1xow_protein	1xow_ligand	8.332698	-11.365800	78.24788	1408.86664	2.22129	55.46002	2.66515	0.00000	0.00000	0.00000	
1xr9_protein	1xr9_ligand	7.821679	-10.668770	224.79238	3209.62257	11.12003	100.81502	12.27284	0.00000	0.00000	0.00000	
1xt8_protein	1xt8_ligand	3.139897	-4.282820	62.72340	508.19724	5.46123	0.00000	8.11903	0.00000	0.00000	0.00000	
1xws_protein	1xws_ligand	7.112713	-9.701740	90.13064	1570.10869	1.59215	74.62837	0.89167	0.00000	0.00000	0.00000	
1y0l_protein	1y0l_ligand	5.290704	-7.216520	81.26994	1192.27075	2.78174	64.12075	1.00000	0.00000	0.00000	0.00000	
1y1z_protein	1y1z_ligand	4.219084	-5.754830	72.08959	588.08090	4.62616	20.74064	6.50176	0.00000	0.00000	0.00000	
1y3n_protein	1y3n_ligand	6.006782	-8.193250	90.30240	1382.46266	5.47153	7.47791	9.03103	0.00000	0.00000	0.00000	
1y3p_protein	1y3p_ligand	6.308262	-8.604470	147.93400	2548.55903	11.17033	7.35732	11.26343	0.00000	0.00000	0.00000	
1y3v_protein	1y3v_ligand	7.101034	-9.685810	108.53192	1518.06057	3.30209	33.00837	4.65615	0.00000	0.00000	0.00000	
1y3x_protein	1y3x_ligand	6.709062	-9.151160	101.41510	1461.24063	3.55050	28.08060	5.03069	0.00000	0.00000	0.00000	
1y6q_protein	1y6q_ligand	6.262522	-8.542080	110.08516	1365.51030	2.81447	7.51320	3.71568	0.00000	0.00000	0.00000	
1y6r_protein	1y6r_ligand	6.662610	-9.087800	121.51654	1390.23590	4.63091	4.18593	6.34264	0.00000	0.00000	0.00000	
1y20_protein	1y20_ligand	3.357082	-4.579060	67.56548	513.58569	5.55753	17.91065	6.76604	0.00000	0.00000	0.00000	
1yc1_protein	1yc1_ligand	6.967097	-9.503120	94.53140	1549.06569	2.55640	35.70626	2.15588	0.00000	0.00000	0.00000	
1yc4_protein	1yc4_ligand	5.906738	-8.056790	80.39606	1221.78125	2.44517	30.75792	2.18289	0.00000	0.00000	0.00000	
1ydk_protein	1ydk_ligand	3.940396	-5.374700	87.03821	1086.64587	5.41956	15.71467	9.44609	0.00000	0.00000	0.00000	
1ydr_protein	1ydr_ligand	5.544633	-7.562880	68.19202	1267.44545	2.95996	34.66336	1.28676	0.00000	0.00000	0.00000	
1yds_protein	1yds_ligand	5.459018	-7.446100	79.53339	1177.29562	2.14201	34.36889	2.23873	0.00000	0.00000	0.00000	
1ydt_protein	1ydt_ligand	6.117163	-8.343810	112.03077	1631.23525	3.44130	43.43118	2.07344	0.00000	0.00000	0.00000	
1yet_protein	1yet_ligand	7.316870	-9.980210	97.23645	1672.53783	2.74958	22.51481	4.47320	0.00000	0.00000	0.00000	
1yfz_protein	1yfz_ligand	3.551466	-4.844200	51.24304	891.65273	3.33718	0.00000	4.50048	0.00000	0.00000	0.00000	
1yp9_protein	1yp9_ligand	6.018754	-8.209580	117.39510	1453.89243	5.83234	26.16417	4.56585	0.00000	0.00000	0.00000	
1ype_protein	1ype_ligand	8.000205	-10.912280	122.13283	1753.41304	3.91524	50.35672	4.35482	0.00000	0.00000	0.00000	
1ypg_protein	1ypg_ligand	7.737339	-10.553730	115.83378	1772.51275	4.47571	56.87549	4.17718	0.00000	0.00000	0.00000	
1ypj_protein	1ypj_ligand	7.670740	-10.462890	119.11061	1751.19328	3.98028	46.94063	3.85241	0.00000	0.00000	0.00000	
1yq7_protein	1yq7_ligand	2.998072	-4.089370	61.34254	1003.05285	7.61971	9.29168	7.44651	0.00000	0.00000	0.00000	
1yqj_protein	1yqj_ligand	9.126019	-12.447890	134.23537	1743.53512	2.68489	88.11884	2.53818	0.00000	0.00000	0.00000	
1z1h_protein	1z1h_ligand	7.337771	-10.008720	99.55913	2094.68517	4.75012	64.30234	5.04415	0.00000	0.00000	0.00000	
1z4o_protein	1z4o_ligand	5.325513	-7.264000	98.86522	1127.55819	5.60728	0.00000	8.13639	0.00000	0.00000	0.00000	
1z6e_protein	1z6e_ligand	7.841738	-10.696130	160.82186	1888.39266	3.46030	32.58838	2.87087	0.00000	0.00000	0.00000	
1z6s_protein	1z6s_ligand	3.825623	-5.218150	90.35698	906.00981	3.99429	0.00000	3.78769	0.00000	0.00000	0.00000	
1z71_protein	1z71_ligand	7.371782	-10.055110	137.28559	1698.78884	3.02820	69.38847	3.09023	0.00000	0.00000	0.00000	
1z95_protein	1z95_ligand	7.562617	-10.315410	101.95973	1874.41315	3.44680	57.99980	3.07408	0.00000	0.00000	0.00000	
1zc9_protein	1zc9_ligand	2.306041	-3.145440	65.93449	940.58297	5.61909	6.33196	2.32333	0.00000	0.00000	0.00000	
1zea_protein	1zea_ligand	3.497258	-4.770260	136.94551	1825.49923	6.03656	36.46567	4.49990	0.00000	0.00000	0.00000	
1zgi_protein	1zgi_ligand	6.486474	-8.847550	106.51787	1619.53269	1.44352	38.71032	0.31172	0.00000	0.00000	0.00000	
1zhy_protein	1zhy_ligand	7.181855	-9.796050	60.36394	1622.67109	1.49182	88.35244	1.00000	0.00000	0.00000	0.00000	
1zoe_protein	1zoe_ligand	5.047757	-6.885140	55.93993	974.24337	1.45906	31.13515	0.00000	0.00000	1.27977	0.00000	
1zog_protein	1zog_ligand	4.384142	-5.979970	56.42276	927.63463	2.70759	38.90107	0.00000	0.00000	1.40354	0.00000	
1zoh_protein	1zoh_ligand	5.274450	-7.194350	60.56265	959.95472	2.10180	38.57417	0.00000	0.00000	1.57855	0.00000	
1zp8_protein	1zp8_ligand	5.171994	-7.054600	126.07792	2267.24576	9.13330	55.71935	5.45054	0.00000	0.00000	0.00000	
1zpa_protein	1zpa_ligand	4.019421	-5.482490	133.06470	2285.98098	10.92722	47.97160	4.06757	0.00000	0.00000	0.00000	
1zsf_protein	1zsf_ligand	5.674142	-7.739530	153.53794	2500.58807	9.92493	75.45776	8.19664	0.00000	0.00000	0.00000	
2a4m_protein	2a4m_ligand	0.740814	-1.010470	50.81122	841.10819	7.52414	16.29128	1.39369	0.00000	0.00000	0.00000	
2a5b_protein	2a5b_ligand	4.129626	-5.632810	56.82676	1156.33308	2.87785	4.25884	1.82882	0.00000	0.00000	0.00000	
2a5c_protein	2a5c_ligand	4.435345	-6.049810	54.14822	1073.47987	1.79695	6.60366	1.59024	0.00000	0.00000	0.00000	
2a5s_protein	2a5s_ligand	4.284648	-5.844260	74.80907	680.21298	4.79743	6.28984	8.53463	0.00000	0.00000	0.00000	
2a8g_protein	2a8g_ligand	1.726122	-2.354430	79.16193	1153.91515	9.20670	5.79641	2.72254	0.00000	0.00000	0.00000	
2a14_protein	2a14_ligand	6.865858	-9.365030	130.51021	1843.18902	7.04698	2.33639	10.20018	0.00000	0.00000	0.00000	
2aac_protein	2aac_ligand	4.822075	-6.577310	64.22559	797.12387	3.24358	12.95601	5.48827	0.00000	0.00000	0.00000	
2aj8_protein	2aj8_ligand	5.587867	-7.621850	97.39882	1349.51084	5.15921	38.71363	2.56542	0.00000	0.00000	0.00000	
2al5_protein	2al5_ligand	6.265301	-8.545870	106.35653	1028.17438	5.92083	1.77036	10.42662	0.00000	0.00000	0.00000	
2am4_protein	2am4_ligand	6.313475	-8.611580	121.58442	1937.09847	6.14403	8.74482	8.41174	0.00000	0.00000	0.00000	
